0.00.001.572 I srv  llama_server: initializing ...
0.00.171.631 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.174.046 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.176.715 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/granite-4.1-3b-Q8_0.gguf'
0.07.283.237 I cmn          init: llama threadpool init, n_threads = 6
0.07.593.161 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.07.634.627 I srv  llama_server: model loaded
0.07.634.648 I srv  llama_server: listening on http://127.0.0.1:8080
0.07.634.650 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.13.066.670 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.13.067.698 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.16.841.563 I slot print_timing: id  0 | task 0 | prompt eval time =    2222.34 ms /  1468 tokens (    1.51 ms per token,   660.56 tokens per second)
0.16.841.575 I slot print_timing: id  0 | task 0 |        eval time =    1551.44 ms /    25 tokens (   64.64 ms per token,    15.47 tokens per second)
0.16.841.577 I slot print_timing: id  0 | task 0 |       total time =    3773.78 ms /  1493 tokens
0.16.841.588 I slot print_timing: id  0 | task 0 |    graphs reused =         29
0.16.842.057 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1492, truncated = 0
0.17.410.794 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.869 (> 0.100 thold), f_keep = 1.000
0.17.411.565 I slot launch_slot_: id  0 | task 28 | processing task, is_child = 0
0.19.134.442 I slot print_timing: id  0 | task 28 | prompt eval time =     373.30 ms /   225 tokens (    1.66 ms per token,   602.73 tokens per second)
0.19.134.455 I slot print_timing: id  0 | task 28 |        eval time =    1349.51 ms /    22 tokens (   64.26 ms per token,    15.56 tokens per second)
0.19.134.458 I slot print_timing: id  0 | task 28 |       total time =    1722.81 ms /   247 tokens
0.19.134.460 I slot print_timing: id  0 | task 28 |    graphs reused =         49
0.19.134.914 I slot      release: id  0 | task 28 | stop processing: n_tokens = 1738, truncated = 0
0.19.223.268 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.837 (> 0.100 thold), f_keep = 1.000
0.19.223.886 I slot launch_slot_: id  0 | task 51 | processing task, is_child = 0
0.24.250.226 I slot print_timing: id  0 | task 51 | prompt eval time =     544.54 ms /   339 tokens (    1.61 ms per token,   622.55 tokens per second)
0.24.250.242 I slot print_timing: id  0 | task 51 |        eval time =    4481.74 ms /    70 tokens (   64.95 ms per token,    15.40 tokens per second)
0.24.250.244 I slot print_timing: id  0 | task 51 |       total time =    5026.28 ms /   409 tokens
0.24.250.247 I slot print_timing: id  0 | task 51 |    graphs reused =        118
0.24.250.763 I slot      release: id  0 | task 51 | stop processing: n_tokens = 2146, truncated = 0
0.24.334.505 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.983 (> 0.100 thold), f_keep = 1.000
0.24.335.112 I slot launch_slot_: id  0 | task 122 | processing task, is_child = 0
0.25.756.274 I slot print_timing: id  0 | task 122 | prompt eval time =     111.06 ms /    38 tokens (    2.92 ms per token,   342.17 tokens per second)
0.25.756.289 I slot print_timing: id  0 | task 122 |        eval time =    1310.05 ms /    21 tokens (   65.50 ms per token,    15.27 tokens per second)
0.25.756.291 I slot print_timing: id  0 | task 122 |       total time =    1421.10 ms /    59 tokens
0.25.756.294 I slot print_timing: id  0 | task 122 |    graphs reused =        137
0.25.756.828 I slot      release: id  0 | task 122 | stop processing: n_tokens = 2204, truncated = 0
0.25.844.989 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.862 (> 0.100 thold), f_keep = 1.000
0.25.845.556 I slot launch_slot_: id  0 | task 144 | processing task, is_child = 0
0.33.004.319 I slot print_timing: id  0 | task 144 | n_gen =    100, tg =  15.01 t/s, tg_3s =  15.16 t/s
0.36.058.741 I slot print_timing: id  0 | task 144 | n_gen =    146, tg =  15.03 t/s, tg_3s =  15.06 t/s
0.39.115.335 I slot print_timing: id  0 | task 144 | n_gen =    192, tg =  15.03 t/s, tg_3s =  15.05 t/s
0.42.169.161 I slot print_timing: id  0 | task 144 | n_gen =    238, tg =  15.04 t/s, tg_3s =  15.06 t/s
0.45.185.987 I slot print_timing: id  0 | task 144 | n_gen =    283, tg =  15.02 t/s, tg_3s =  14.92 t/s
0.48.198.546 I slot print_timing: id  0 | task 144 | n_gen =    328, tg =  15.01 t/s, tg_3s =  14.94 t/s
0.51.210.448 I slot print_timing: id  0 | task 144 | n_gen =    373, tg =  15.00 t/s, tg_3s =  14.94 t/s
0.53.688.680 I slot print_timing: id  0 | task 144 | prompt eval time =     563.83 ms /   352 tokens (    1.60 ms per token,   624.30 tokens per second)
0.53.688.695 I slot print_timing: id  0 | task 144 |        eval time =   27279.24 ms /   410 tokens (   66.70 ms per token,    14.99 tokens per second)
0.53.688.698 I slot print_timing: id  0 | task 144 |       total time =   27843.07 ms /   762 tokens
0.53.688.700 I slot print_timing: id  0 | task 144 |    graphs reused =        544
0.53.689.322 I slot      release: id  0 | task 144 | stop processing: n_tokens = 2965, truncated = 0
0.53.786.989 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.881 (> 0.100 thold), f_keep = 0.888
0.53.787.603 I slot launch_slot_: id  0 | task 555 | processing task, is_child = 0
0.55.996.177 I slot print_timing: id  0 | task 555 | prompt eval time =     586.82 ms /   354 tokens (    1.66 ms per token,   603.25 tokens per second)
0.55.996.191 I slot print_timing: id  0 | task 555 |        eval time =    1621.69 ms /    25 tokens (   67.57 ms per token,    14.80 tokens per second)
0.55.996.194 I slot print_timing: id  0 | task 555 |       total time =    2208.51 ms /   379 tokens
0.55.996.197 I slot print_timing: id  0 | task 555 |    graphs reused =        567
0.55.996.884 I slot      release: id  0 | task 555 | stop processing: n_tokens = 3010, truncated = 0
0.56.589.178 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.890 (> 0.100 thold), f_keep = 1.000
0.56.589.799 I slot launch_slot_: id  0 | task 581 | processing task, is_child = 0
1.01.976.401 I slot print_timing: id  0 | task 581 | prompt eval time =     652.47 ms /   372 tokens (    1.75 ms per token,   570.14 tokens per second)
1.01.976.414 I slot print_timing: id  0 | task 581 |        eval time =    4734.06 ms /    70 tokens (   68.61 ms per token,    14.58 tokens per second)
1.01.976.416 I slot print_timing: id  0 | task 581 |       total time =    5386.53 ms /   442 tokens
1.01.976.419 I slot print_timing: id  0 | task 581 |    graphs reused =        636
1.01.977.169 I slot      release: id  0 | task 581 | stop processing: n_tokens = 3451, truncated = 0
1.02.073.453 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.989 (> 0.100 thold), f_keep = 1.000
1.02.074.307 I slot launch_slot_: id  0 | task 652 | processing task, is_child = 0
1.09.003.349 I slot print_timing: id  0 | task 652 | n_gen =    100, tg =  14.54 t/s, tg_3s =  14.69 t/s
1.12.044.086 I slot print_timing: id  0 | task 652 | n_gen =    144, tg =  14.52 t/s, tg_3s =  14.47 t/s
1.15.089.220 I slot print_timing: id  0 | task 652 | n_gen =    188, tg =  14.50 t/s, tg_3s =  14.45 t/s
1.18.127.928 I slot print_timing: id  0 | task 652 | n_gen =    232, tg =  14.50 t/s, tg_3s =  14.48 t/s
1.21.165.401 I slot print_timing: id  0 | task 652 | n_gen =    276, tg =  14.50 t/s, tg_3s =  14.49 t/s
1.24.204.461 I slot print_timing: id  0 | task 652 | n_gen =    320, tg =  14.49 t/s, tg_3s =  14.48 t/s
1.27.271.396 I slot print_timing: id  0 | task 652 | n_gen =    364, tg =  14.48 t/s, tg_3s =  14.35 t/s
1.29.159.431 I slot print_timing: id  0 | task 652 | prompt eval time =     119.92 ms /    38 tokens (    3.16 ms per token,   316.89 tokens per second)
1.29.159.446 I slot print_timing: id  0 | task 652 |        eval time =   26965.14 ms /   391 tokens (   69.14 ms per token,    14.46 tokens per second)
1.29.159.449 I slot print_timing: id  0 | task 652 |       total time =   27085.06 ms /   429 tokens
1.29.159.451 I slot print_timing: id  0 | task 652 |    graphs reused =       1023
1.29.160.204 I slot      release: id  0 | task 652 | stop processing: n_tokens = 3879, truncated = 0
1.29.272.493 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.926 (> 0.100 thold), f_keep = 0.931
1.29.273.051 I slot launch_slot_: id  0 | task 1044 | processing task, is_child = 0
1.31.516.311 I slot print_timing: id  0 | task 1044 | prompt eval time =     548.35 ms /   290 tokens (    1.89 ms per token,   528.86 tokens per second)
1.31.516.326 I slot print_timing: id  0 | task 1044 |        eval time =    1694.85 ms /    25 tokens (   70.62 ms per token,    14.16 tokens per second)
1.31.516.329 I slot print_timing: id  0 | task 1044 |       total time =    2243.20 ms /   315 tokens
1.31.516.332 I slot print_timing: id  0 | task 1044 |    graphs reused =       1046
1.31.517.135 I slot      release: id  0 | task 1044 | stop processing: n_tokens = 3926, truncated = 0
1.32.046.203 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.946 (> 0.100 thold), f_keep = 1.000
1.32.046.767 I slot launch_slot_: id  0 | task 1070 | processing task, is_child = 0
1.39.526.613 I slot print_timing: id  0 | task 1070 | n_gen =    100, tg =  14.08 t/s, tg_3s =  14.22 t/s
1.42.576.669 I slot print_timing: id  0 | task 1070 | n_gen =    143, tg =  14.08 t/s, tg_3s =  14.10 t/s
1.45.633.466 I slot print_timing: id  0 | task 1070 | n_gen =    186, tg =  14.08 t/s, tg_3s =  14.07 t/s
1.48.634.817 I slot print_timing: id  0 | task 1070 | n_gen =    228, tg =  14.06 t/s, tg_3s =  13.99 t/s
1.51.697.849 I slot print_timing: id  0 | task 1070 | n_gen =    271, tg =  14.06 t/s, tg_3s =  14.04 t/s
1.54.759.073 I slot print_timing: id  0 | task 1070 | n_gen =    314, tg =  14.06 t/s, tg_3s =  14.05 t/s
1.57.823.784 I slot print_timing: id  0 | task 1070 | n_gen =    357, tg =  14.05 t/s, tg_3s =  14.03 t/s
2.00.245.206 I slot print_timing: id  0 | task 1070 | prompt eval time =     446.58 ms /   225 tokens (    1.98 ms per token,   503.83 tokens per second)
2.00.245.220 I slot print_timing: id  0 | task 1070 |        eval time =   27751.80 ms /   391 tokens (   71.16 ms per token,    14.05 tokens per second)
2.00.245.223 I slot print_timing: id  0 | task 1070 |       total time =   28198.38 ms /   616 tokens
2.00.245.226 I slot print_timing: id  0 | task 1070 |    graphs reused =       1434
2.00.246.143 I slot      release: id  0 | task 1070 | stop processing: n_tokens = 4541, truncated = 0
2.00.350.167 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.936 (> 0.100 thold), f_keep = 0.941
2.00.350.704 I slot launch_slot_: id  0 | task 1462 | processing task, is_child = 0
2.02.657.184 I slot print_timing: id  0 | task 1462 | prompt eval time =     579.86 ms /   290 tokens (    2.00 ms per token,   500.12 tokens per second)
2.02.657.197 I slot print_timing: id  0 | task 1462 |        eval time =    1726.56 ms /    25 tokens (   71.94 ms per token,    13.90 tokens per second)
2.02.657.199 I slot print_timing: id  0 | task 1462 |       total time =    2306.42 ms /   315 tokens
2.02.657.202 I slot print_timing: id  0 | task 1462 |    graphs reused =       1458
2.02.658.243 I slot      release: id  0 | task 1462 | stop processing: n_tokens = 4588, truncated = 0
2.03.180.685 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.953 (> 0.100 thold), f_keep = 1.000
2.03.181.226 I slot launch_slot_: id  0 | task 1488 | processing task, is_child = 0
2.10.831.202 I slot print_timing: id  0 | task 1488 | n_gen =    100, tg =  13.74 t/s, tg_3s =  13.88 t/s
2.13.884.875 I slot print_timing: id  0 | task 1488 | n_gen =    142, tg =  13.75 t/s, tg_3s =  13.75 t/s
2.16.947.113 I slot print_timing: id  0 | task 1488 | n_gen =    184, tg =  13.74 t/s, tg_3s =  13.72 t/s
2.20.000.434 I slot print_timing: id  0 | task 1488 | n_gen =    226, tg =  13.74 t/s, tg_3s =  13.76 t/s
2.23.054.724 I slot print_timing: id  0 | task 1488 | n_gen =    268, tg =  13.74 t/s, tg_3s =  13.75 t/s
