0.00.003.705 I srv  llama_server: initializing ...
0.00.578.931 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.585.766 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.591.179 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/granite-4.1-8b-UD-IQ3_XXS.gguf'
0.24.889.674 I cmn          init: llama threadpool init, n_threads = 6
0.25.496.069 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.25.557.287 I srv  llama_server: model loaded
0.25.557.313 I srv  llama_server: listening on http://127.0.0.1:8080
0.25.557.314 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.35.637.046 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.35.639.015 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.42.647.346 I slot print_timing: id  0 | task 0 | prompt eval time =    4691.29 ms /  1467 tokens (    3.20 ms per token,   312.71 tokens per second)
0.42.647.357 I slot print_timing: id  0 | task 0 |        eval time =    2316.95 ms /    25 tokens (   96.54 ms per token,    10.36 tokens per second)
0.42.647.360 I slot print_timing: id  0 | task 0 |       total time =    7008.24 ms /  1492 tokens
0.42.647.371 I slot print_timing: id  0 | task 0 |    graphs reused =         29
0.42.647.849 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1491, truncated = 0
0.43.288.926 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.870 (> 0.100 thold), f_keep = 1.000
0.43.289.544 I slot launch_slot_: id  0 | task 28 | processing task, is_child = 0
0.47.114.695 I slot print_timing: id  0 | task 28 | prompt eval time =     764.72 ms /   223 tokens (    3.43 ms per token,   291.61 tokens per second)
0.47.114.711 I slot print_timing: id  0 | task 28 |        eval time =    3060.35 ms /    33 tokens (   95.64 ms per token,    10.46 tokens per second)
0.47.114.714 I slot print_timing: id  0 | task 28 |       total time =    3825.07 ms /   256 tokens
0.47.114.717 I slot print_timing: id  0 | task 28 |    graphs reused =         60
0.47.115.178 I slot      release: id  0 | task 28 | stop processing: n_tokens = 1746, truncated = 0
0.47.206.147 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.832 (> 0.100 thold), f_keep = 1.000
0.47.206.817 I slot launch_slot_: id  0 | task 62 | processing task, is_child = 0
0.56.890.648 I slot print_timing: id  0 | task 62 | prompt eval time =    1167.52 ms /   352 tokens (    3.32 ms per token,   301.49 tokens per second)
0.56.890.663 I slot print_timing: id  0 | task 62 |        eval time =    8516.25 ms /    88 tokens (   97.89 ms per token,    10.22 tokens per second)
0.56.890.667 I slot print_timing: id  0 | task 62 |       total time =    9683.77 ms /   440 tokens
0.56.890.669 I slot print_timing: id  0 | task 62 |    graphs reused =        147
0.56.891.231 I slot      release: id  0 | task 62 | stop processing: n_tokens = 2185, truncated = 0
0.56.984.842 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.983 (> 0.100 thold), f_keep = 1.000
0.56.985.473 I slot launch_slot_: id  0 | task 151 | processing task, is_child = 0
1.06.917.577 I slot print_timing: id  0 | task 151 | n_gen =    100, tg =  10.18 t/s, tg_3s =  10.29 t/s
1.07.509.214 I slot print_timing: id  0 | task 151 | prompt eval time =     209.85 ms /    38 tokens (    5.52 ms per token,   181.08 tokens per second)
1.07.509.232 I slot print_timing: id  0 | task 151 |        eval time =   10313.83 ms /   106 tokens (   98.23 ms per token,    10.18 tokens per second)
1.07.509.235 I slot print_timing: id  0 | task 151 |       total time =   10523.67 ms /   144 tokens
1.07.509.237 I slot print_timing: id  0 | task 151 |    graphs reused =        250
1.07.509.815 I slot      release: id  0 | task 151 | stop processing: n_tokens = 2328, truncated = 0
1.07.598.413 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.956 (> 0.100 thold), f_keep = 0.972
1.07.598.979 I slot launch_slot_: id  0 | task 258 | processing task, is_child = 0
1.15.057.737 I slot print_timing: id  0 | task 258 | prompt eval time =     386.71 ms /   103 tokens (    3.75 ms per token,   266.35 tokens per second)
1.15.057.750 I slot print_timing: id  0 | task 258 |        eval time =    7071.99 ms /    71 tokens (  101.03 ms per token,     9.90 tokens per second)
1.15.057.753 I slot print_timing: id  0 | task 258 |       total time =    7458.70 ms /   174 tokens
1.15.057.756 I slot print_timing: id  0 | task 258 |    graphs reused =        319
1.15.058.369 I slot      release: id  0 | task 258 | stop processing: n_tokens = 2435, truncated = 0
1.15.153.279 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.978 (> 0.100 thold), f_keep = 0.988
1.15.153.881 I slot launch_slot_: id  0 | task 330 | processing task, is_child = 0
1.17.819.032 I slot print_timing: id  0 | task 330 | prompt eval time =     280.24 ms /    54 tokens (    5.19 ms per token,   192.69 tokens per second)
