0.00.001.828 I srv  llama_server: initializing ...
0.00.192.707 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.194.787 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.197.458 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/granite-4.1-8b-UD-IQ3_XXS.gguf'
0.10.501.109 I cmn          init: llama threadpool init, n_threads = 6
0.10.991.767 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.11.035.297 I srv  llama_server: model loaded
0.11.035.322 I srv  llama_server: listening on http://127.0.0.1:8080
0.11.035.324 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.15.159.659 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.15.159.965 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.19.601.549 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1536, progress = 0.58, t =   4.44 s / 345.83 tokens per second
0.21.210.907 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2048, progress = 0.77, t =   6.05 s / 338.47 tokens per second
0.22.848.671 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2560, progress = 0.96, t =   7.69 s / 332.96 tokens per second
0.33.620.123 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =   9.92 t/s, tg_3s =  10.02 t/s
0.36.623.285 I slot print_timing: id  0 | task 1 | n_gen =    130, tg =   9.94 t/s, tg_3s =   9.99 t/s
0.39.650.739 I slot print_timing: id  0 | task 1 | n_gen =    160, tg =   9.93 t/s, tg_3s =   9.91 t/s
0.42.690.090 I slot print_timing: id  0 | task 1 | n_gen =    190, tg =   9.92 t/s, tg_3s =   9.87 t/s
0.45.734.253 I slot print_timing: id  0 | task 1 | n_gen =    220, tg =   9.91 t/s, tg_3s =   9.85 t/s
0.48.772.922 I slot print_timing: id  0 | task 1 | n_gen =    250, tg =   9.91 t/s, tg_3s =   9.87 t/s
0.51.813.460 I slot print_timing: id  0 | task 1 | n_gen =    280, tg =   9.90 t/s, tg_3s =   9.87 t/s
0.54.852.850 I slot print_timing: id  0 | task 1 | n_gen =    310, tg =   9.90 t/s, tg_3s =   9.87 t/s
0.57.894.090 I slot print_timing: id  0 | task 1 | n_gen =    340, tg =   9.90 t/s, tg_3s =   9.86 t/s
1.00.932.695 I slot print_timing: id  0 | task 1 | n_gen =    370, tg =   9.90 t/s, tg_3s =   9.87 t/s
1.03.972.023 I slot print_timing: id  0 | task 1 | n_gen =    400, tg =   9.89 t/s, tg_3s =   9.87 t/s
1.07.050.317 I slot print_timing: id  0 | task 1 | n_gen =    430, tg =   9.88 t/s, tg_3s =   9.75 t/s
1.10.117.564 I slot print_timing: id  0 | task 1 | n_gen =    460, tg =   9.88 t/s, tg_3s =   9.78 t/s
1.13.187.569 I slot print_timing: id  0 | task 1 | n_gen =    490, tg =   9.87 t/s, tg_3s =   9.77 t/s
1.16.254.567 I slot print_timing: id  0 | task 1 | n_gen =    520, tg =   9.86 t/s, tg_3s =   9.78 t/s
1.19.319.601 I slot print_timing: id  0 | task 1 | n_gen =    550, tg =   9.86 t/s, tg_3s =   9.79 t/s
1.22.386.239 I slot print_timing: id  0 | task 1 | n_gen =    580, tg =   9.86 t/s, tg_3s =   9.78 t/s
1.25.454.593 I slot print_timing: id  0 | task 1 | n_gen =    610, tg =   9.85 t/s, tg_3s =   9.78 t/s
1.26.886.342 I slot print_timing: id  0 | task 1 | prompt eval time =    8481.21 ms /  2667 tokens (    3.18 ms per token,   314.46 tokens per second)
