0.00.001.583 I srv  llama_server: initializing ...
0.00.147.825 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.150.001 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.152.483 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/granite-4.1-8b-UD-IQ3_XXS.gguf'
0.06.870.949 I cmn          init: llama threadpool init, n_threads = 6
0.07.336.501 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.07.363.002 I srv  llama_server: model loaded
0.07.363.020 I srv  llama_server: listening on http://127.0.0.1:8080
0.07.363.021 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.15.106.669 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.15.108.632 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.22.330.444 I slot print_timing: id  0 | task 0 | prompt eval time =    4723.61 ms /  1474 tokens (    3.20 ms per token,   312.05 tokens per second)
0.22.330.456 I slot print_timing: id  0 | task 0 |        eval time =    2498.10 ms /    27 tokens (   96.08 ms per token,    10.41 tokens per second)
0.22.330.459 I slot print_timing: id  0 | task 0 |       total time =    7221.72 ms /  1501 tokens
0.22.330.470 I slot print_timing: id  0 | task 0 |    graphs reused =         31
0.22.330.974 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1500, truncated = 0
0.22.968.139 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.774 (> 0.100 thold), f_keep = 1.000
0.22.968.784 I slot launch_slot_: id  0 | task 30 | processing task, is_child = 0
0.34.050.641 I slot print_timing: id  0 | task 30 | n_gen =    100, tg =  10.34 t/s, tg_3s =  10.44 t/s
0.37.085.984 I slot print_timing: id  0 | task 30 | n_gen =    131, tg =  10.31 t/s, tg_3s =  10.21 t/s
0.40.122.450 I slot print_timing: id  0 | task 30 | n_gen =    162, tg =  10.29 t/s, tg_3s =  10.21 t/s
0.43.153.323 I slot print_timing: id  0 | task 30 | n_gen =    193, tg =  10.28 t/s, tg_3s =  10.23 t/s
0.46.172.215 I slot print_timing: id  0 | task 30 | n_gen =    224, tg =  10.28 t/s, tg_3s =  10.27 t/s
0.49.214.890 I slot print_timing: id  0 | task 30 | n_gen =    255, tg =  10.27 t/s, tg_3s =  10.19 t/s
0.52.243.586 I slot print_timing: id  0 | task 30 | n_gen =    286, tg =  10.26 t/s, tg_3s =  10.24 t/s
0.55.278.154 I slot print_timing: id  0 | task 30 | n_gen =    317, tg =  10.26 t/s, tg_3s =  10.22 t/s
