0.00.001.801 I srv  llama_server: initializing ...
0.00.200.422 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.202.643 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.205.178 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.10.902.187 I cmn          init: llama threadpool init, n_threads = 6
0.11.281.265 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.11.310.563 I srv  llama_server: model loaded
0.11.310.585 I srv  llama_server: listening on http://127.0.0.1:8080
0.11.310.587 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.17.443.807 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.17.444.988 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.20.586.666 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1440, progress = 0.92, t =   3.14 s / 458.37 tokens per second
0.20.716.520 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1488, progress = 0.95, t =   3.27 s / 454.85 tokens per second
0.20.889.906 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1568, progress = 1.00, t =   3.44 s / 455.17 tokens per second
0.26.204.832 I slot print_timing: id  0 | task 0 | prompt eval time =    3670.83 ms /  1572 tokens (    2.34 ms per token,   428.24 tokens per second)
0.26.204.839 I slot print_timing: id  0 | task 0 |        eval time =    5088.94 ms /    80 tokens (   64.42 ms per token,    15.52 tokens per second)
0.26.204.840 I slot print_timing: id  0 | task 0 |       total time =    8759.77 ms /  1652 tokens
0.26.204.847 I slot print_timing: id  0 | task 0 |    graphs reused =         83
0.26.205.135 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1651, truncated = 0
0.26.777.519 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.876 (> 0.100 thold), f_keep = 1.000
0.26.778.310 I slot launch_slot_: id  0 | task 86 | processing task, is_child = 0
0.33.196.534 I slot print_timing: id  0 | task 86 | prompt eval time =     634.73 ms /   233 tokens (    2.72 ms per token,   367.09 tokens per second)
0.33.196.548 I slot print_timing: id  0 | task 86 |        eval time =    5783.42 ms /    91 tokens (   64.26 ms per token,    15.56 tokens per second)
0.33.196.551 I slot print_timing: id  0 | task 86 |       total time =    6418.15 ms /   324 tokens
0.33.196.554 I slot print_timing: id  0 | task 86 |    graphs reused =        172
0.33.196.950 I slot      release: id  0 | task 86 | stop processing: n_tokens = 1974, truncated = 0
0.33.282.971 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.731 (> 0.100 thold), f_keep = 1.000
0.33.283.666 I slot launch_slot_: id  0 | task 180 | processing task, is_child = 0
0.41.442.262 I slot print_timing: id  0 | task 180 | n_gen =    100, tg =  15.37 t/s, tg_3s =  15.53 t/s
0.44.450.179 I slot print_timing: id  0 | task 180 | n_gen =    146, tg =  15.35 t/s, tg_3s =  15.29 t/s
0.47.510.413 I slot print_timing: id  0 | task 180 | n_gen =    193, tg =  15.35 t/s, tg_3s =  15.36 t/s
0.50.515.164 I slot print_timing: id  0 | task 180 | n_gen =    239, tg =  15.34 t/s, tg_3s =  15.31 t/s
0.53.518.181 I slot print_timing: id  0 | task 180 | n_gen =    285, tg =  15.34 t/s, tg_3s =  15.32 t/s
0.56.581.965 I slot print_timing: id  0 | task 180 | n_gen =    332, tg =  15.34 t/s, tg_3s =  15.34 t/s
0.59.598.531 I slot print_timing: id  0 | task 180 | n_gen =    378, tg =  15.33 t/s, tg_3s =  15.25 t/s
1.02.609.190 I slot print_timing: id  0 | task 180 | n_gen =    424, tg =  15.32 t/s, tg_3s =  15.28 t/s
1.05.621.951 I slot print_timing: id  0 | task 180 | n_gen =    470, tg =  15.32 t/s, tg_3s =  15.27 t/s
1.08.634.540 I slot print_timing: id  0 | task 180 | n_gen =    516, tg =  15.31 t/s, tg_3s =  15.27 t/s
1.11.651.572 I slot print_timing: id  0 | task 180 | n_gen =    562, tg =  15.31 t/s, tg_3s =  15.25 t/s
1.14.655.186 I slot print_timing: id  0 | task 180 | n_gen =    608, tg =  15.31 t/s, tg_3s =  15.31 t/s
1.14.785.540 I slot print_timing: id  0 | task 180 | prompt eval time =    1717.49 ms /   726 tokens (    2.37 ms per token,   422.71 tokens per second)
1.14.785.551 I slot print_timing: id  0 | task 180 |        eval time =   39784.31 ms /   610 tokens (   65.33 ms per token,    15.31 tokens per second)
1.14.785.554 I slot print_timing: id  0 | task 180 |       total time =   41501.79 ms /  1336 tokens
1.14.785.557 I slot print_timing: id  0 | task 180 |    graphs reused =        780
1.14.786.090 I slot      release: id  0 | task 180 | stop processing: n_tokens = 3309, truncated = 0
1.14.891.397 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.903 (> 0.100 thold), f_keep = 0.910
1.14.892.047 I slot launch_slot_: id  0 | task 794 | processing task, is_child = 0
1.20.910.505 I slot print_timing: id  0 | task 794 | prompt eval time =    1527.72 ms /   639 tokens (    2.39 ms per token,   418.27 tokens per second)
1.20.910.516 I slot print_timing: id  0 | task 794 |        eval time =    4490.67 ms /    69 tokens (   66.04 ms per token,    15.14 tokens per second)
1.20.910.519 I slot print_timing: id  0 | task 794 |       total time =    6018.39 ms /   708 tokens
1.20.910.521 I slot print_timing: id  0 | task 794 |    graphs reused =        848
1.20.911.124 I slot      release: id  0 | task 794 | stop processing: n_tokens = 3403, truncated = 0
1.21.360.995 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.990 (> 0.100 thold), f_keep = 1.000
1.21.361.629 I slot launch_slot_: id  0 | task 866 | processing task, is_child = 0
1.28.159.280 I slot print_timing: id  0 | task 866 | n_gen =    100, tg =  15.20 t/s, tg_3s =  15.35 t/s
1.29.538.328 I slot print_timing: id  0 | task 866 | prompt eval time =     284.26 ms /    34 tokens (    8.36 ms per token,   119.61 tokens per second)
1.29.538.342 I slot print_timing: id  0 | task 866 |        eval time =    7892.37 ms /   121 tokens (   65.77 ms per token,    15.20 tokens per second)
1.29.538.345 I slot print_timing: id  0 | task 866 |       total time =    8176.63 ms /   155 tokens
1.29.538.347 I slot print_timing: id  0 | task 866 |    graphs reused =        967
1.29.538.962 I slot      release: id  0 | task 866 | stop processing: n_tokens = 3557, truncated = 0
1.29.680.909 I srv    operator(): operator(): cleaning up before exit...
