0.00.001.840 I srv  llama_server: initializing ...
0.00.240.279 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.242.562 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.244.269 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.10.932.723 I cmn          init: llama threadpool init, n_threads = 6
0.11.329.115 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.11.351.629 I srv  llama_server: model loaded
0.11.351.648 I srv  llama_server: listening on http://127.0.0.1:8080
0.11.351.649 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.17.452.601 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.17.454.124 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.20.595.961 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1448, progress = 0.92, t =   3.14 s / 460.89 tokens per second
0.20.738.133 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1492, progress = 0.94, t =   3.28 s / 454.34 tokens per second
0.20.911.454 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1576, progress = 1.00, t =   3.46 s / 455.86 tokens per second
0.26.316.010 I slot print_timing: id  0 | task 0 | prompt eval time =    3697.62 ms /  1580 tokens (    2.34 ms per token,   427.30 tokens per second)
0.26.316.022 I slot print_timing: id  0 | task 0 |        eval time =    5164.17 ms /    81 tokens (   64.55 ms per token,    15.49 tokens per second)
0.26.316.025 I slot print_timing: id  0 | task 0 |       total time =    8861.79 ms /  1661 tokens
0.26.316.035 I slot print_timing: id  0 | task 0 |    graphs reused =         84
0.26.316.461 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1660, truncated = 0
0.26.882.211 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.774 (> 0.100 thold), f_keep = 1.000
0.26.883.025 I slot launch_slot_: id  0 | task 87 | processing task, is_child = 0
0.34.475.189 I slot print_timing: id  0 | task 87 | n_gen =    100, tg =  15.44 t/s, tg_3s =  15.59 t/s
0.37.505.175 I slot print_timing: id  0 | task 87 | n_gen =    147, tg =  15.46 t/s, tg_3s =  15.51 t/s
0.40.559.450 I slot print_timing: id  0 | task 87 | n_gen =    194, tg =  15.44 t/s, tg_3s =  15.39 t/s
0.43.601.887 I slot print_timing: id  0 | task 87 | n_gen =    241, tg =  15.44 t/s, tg_3s =  15.45 t/s
0.46.643.212 I slot print_timing: id  0 | task 87 | n_gen =    288, tg =  15.45 t/s, tg_3s =  15.45 t/s
0.47.743.519 I slot print_timing: id  0 | task 87 | prompt eval time =    1179.09 ms /   484 tokens (    2.44 ms per token,   410.49 tokens per second)
0.47.743.534 I slot print_timing: id  0 | task 87 |        eval time =   19681.33 ms /   305 tokens (   64.74 ms per token,    15.45 tokens per second)
0.47.743.537 I slot print_timing: id  0 | task 87 |       total time =   20860.42 ms /   789 tokens
0.47.743.540 I slot print_timing: id  0 | task 87 |    graphs reused =        386
0.47.743.979 I slot      release: id  0 | task 87 | stop processing: n_tokens = 2448, truncated = 0
0.49.683.535 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.669 (> 0.100 thold), f_keep = 0.645
0.49.684.125 I slot launch_slot_: id  0 | task 396 | processing task, is_child = 0
0.57.968.653 I slot print_timing: id  0 | task 396 | prompt eval time =    2000.23 ms /   784 tokens (    2.55 ms per token,   391.96 tokens per second)
0.57.968.667 I slot print_timing: id  0 | task 396 |        eval time =    6284.23 ms /    98 tokens (   64.79 ms per token,    15.44 tokens per second)
0.57.968.669 I slot print_timing: id  0 | task 396 |       total time =    8284.46 ms /   882 tokens
0.57.968.672 I slot print_timing: id  0 | task 396 |    graphs reused =        484
0.57.969.143 I slot      release: id  0 | task 396 | stop processing: n_tokens = 2457, truncated = 0
0.58.115.545 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.136 (> 0.100 thold), f_keep = 0.994
0.58.116.049 I slot launch_slot_: id  0 | task 499 | processing task, is_child = 0
1.01.323.596 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   1536, progress = 0.22, t =   3.21 s / 478.88 tokens per second
1.02.466.297 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   2048, progress = 0.25, t =   4.35 s / 470.78 tokens per second
1.03.616.509 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   2560, progress = 0.27, t =   5.50 s / 465.42 tokens per second
1.04.772.671 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   3072, progress = 0.30, t =   6.66 s / 461.50 tokens per second
1.05.940.700 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   3584, progress = 0.33, t =   7.82 s / 458.04 tokens per second
1.07.116.117 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   4096, progress = 0.36, t =   9.00 s / 455.11 tokens per second
1.08.298.586 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   4608, progress = 0.39, t =  10.18 s / 452.54 tokens per second
1.09.487.984 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   5120, progress = 0.42, t =  11.37 s / 450.23 tokens per second
1.10.682.927 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   5632, progress = 0.45, t =  12.57 s / 448.16 tokens per second
1.11.879.166 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   6144, progress = 0.47, t =  13.76 s / 446.41 tokens per second
1.13.080.243 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   6656, progress = 0.50, t =  14.96 s / 444.80 tokens per second
1.14.288.090 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   7168, progress = 0.53, t =  16.17 s / 443.24 tokens per second
1.15.501.279 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   7680, progress = 0.56, t =  17.39 s / 441.76 tokens per second
1.16.729.484 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   8192, progress = 0.59, t =  18.61 s / 440.11 tokens per second
1.17.962.913 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   8704, progress = 0.62, t =  19.85 s / 438.56 tokens per second
1.19.200.235 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   9216, progress = 0.65, t =  21.08 s / 437.11 tokens per second
1.20.445.824 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =   9728, progress = 0.67, t =  22.33 s / 435.65 tokens per second
1.21.701.026 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  10240, progress = 0.70, t =  23.58 s / 434.18 tokens per second
1.22.963.386 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  10752, progress = 0.73, t =  24.85 s / 432.72 tokens per second
1.24.232.222 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  11264, progress = 0.76, t =  26.12 s / 431.30 tokens per second
1.25.506.331 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  11776, progress = 0.79, t =  27.39 s / 429.93 tokens per second
1.26.787.360 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  12288, progress = 0.82, t =  28.67 s / 428.58 tokens per second
1.28.074.821 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  12800, progress = 0.85, t =  29.96 s / 427.25 tokens per second
1.29.369.621 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  13312, progress = 0.87, t =  31.25 s / 425.94 tokens per second
1.30.671.710 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  13824, progress = 0.90, t =  32.56 s / 424.63 tokens per second
1.31.979.788 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  14336, progress = 0.93, t =  33.86 s / 423.34 tokens per second
1.33.296.017 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  14848, progress = 0.96, t =  35.18 s / 422.06 tokens per second
1.34.615.301 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  15360, progress = 0.99, t =  36.50 s / 420.83 tokens per second
1.34.915.937 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  15426, progress = 0.99, t =  36.80 s / 419.19 tokens per second
1.35.187.335 I slot print_timing: id  0 | task 499 | prompt processing, n_tokens =  15554, progress = 1.00, t =  37.07 s / 419.57 tokens per second
1.43.405.686 I slot print_timing: id  0 | task 499 | n_gen =    100, tg =  12.58 t/s, tg_3s =  12.71 t/s
1.46.424.158 I slot print_timing: id  0 | task 499 | n_gen =    138, tg =  12.58 t/s, tg_3s =  12.59 t/s
1.49.430.577 I slot print_timing: id  0 | task 499 | n_gen =    176, tg =  12.59 t/s, tg_3s =  12.64 t/s
1.52.431.751 I slot print_timing: id  0 | task 499 | n_gen =    214, tg =  12.61 t/s, tg_3s =  12.66 t/s
1.55.443.506 I slot print_timing: id  0 | task 499 | n_gen =    252, tg =  12.61 t/s, tg_3s =  12.62 t/s
1.58.476.194 I slot print_timing: id  0 | task 499 | n_gen =    290, tg =  12.60 t/s, tg_3s =  12.53 t/s
2.01.499.296 I slot print_timing: id  0 | task 499 | n_gen =    328, tg =  12.59 t/s, tg_3s =  12.57 t/s
2.04.523.562 I slot print_timing: id  0 | task 499 | n_gen =    366, tg =  12.59 t/s, tg_3s =  12.57 t/s
2.07.549.821 I slot print_timing: id  0 | task 499 | n_gen =    404, tg =  12.59 t/s, tg_3s =  12.56 t/s
2.10.576.205 I slot print_timing: id  0 | task 499 | n_gen =    442, tg =  12.59 t/s, tg_3s =  12.56 t/s
2.13.599.343 I slot print_timing: id  0 | task 499 | n_gen =    480, tg =  12.58 t/s, tg_3s =  12.57 t/s
2.16.608.809 I slot print_timing: id  0 | task 499 | n_gen =    518, tg =  12.59 t/s, tg_3s =  12.63 t/s
2.17.021.109 I slot print_timing: id  0 | task 499 | prompt eval time =   37419.07 ms / 15558 tokens (    2.41 ms per token,   415.78 tokens per second)
2.17.021.124 I slot print_timing: id  0 | task 499 |        eval time =   41485.92 ms /   523 tokens (   79.47 ms per token,    12.58 tokens per second)
2.17.021.127 I slot print_timing: id  0 | task 499 |       total time =   78904.99 ms / 16081 tokens
2.17.021.130 I slot print_timing: id  0 | task 499 |    graphs reused =       1061
2.17.022.876 I slot      release: id  0 | task 499 | stop processing: n_tokens = 18436, truncated = 0
2.17.182.197 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
2.17.182.743 I slot launch_slot_: id  0 | task 1055 | processing task, is_child = 0
2.23.757.293 I slot print_timing: id  0 | task 1055 | prompt eval time =     353.75 ms /    54 tokens (    6.55 ms per token,   152.65 tokens per second)
2.23.757.307 I slot print_timing: id  0 | task 1055 |        eval time =    6220.74 ms /    79 tokens (   79.75 ms per token,    12.54 tokens per second)
2.23.757.310 I slot print_timing: id  0 | task 1055 |       total time =    6574.48 ms /   133 tokens
2.23.757.312 I slot print_timing: id  0 | task 1055 |    graphs reused =       1138
2.23.759.110 I slot      release: id  0 | task 1055 | stop processing: n_tokens = 18568, truncated = 0
2.24.270.757 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
2.24.271.328 I slot launch_slot_: id  0 | task 1136 | processing task, is_child = 0
2.32.763.729 I slot print_timing: id  0 | task 1136 | n_gen =    100, tg =  12.50 t/s, tg_3s =  12.63 t/s
2.34.917.766 I slot print_timing: id  0 | task 1136 | prompt eval time =     575.15 ms /   144 tokens (    3.99 ms per token,   250.37 tokens per second)
2.34.917.779 I slot print_timing: id  0 | task 1136 |        eval time =   10071.22 ms /   127 tokens (   79.93 ms per token,    12.51 tokens per second)
2.34.917.781 I slot print_timing: id  0 | task 1136 |       total time =   10646.37 ms /   271 tokens
2.34.917.784 I slot print_timing: id  0 | task 1136 |    graphs reused =       1263
2.34.919.526 I slot      release: id  0 | task 1136 | stop processing: n_tokens = 18838, truncated = 0
2.36.947.455 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.128 (> 0.100 thold), f_keep = 0.125
2.37.464.192 I slot launch_slot_: id  0 | task 1267 | processing task, is_child = 0
2.40.734.445 I slot print_timing: id  0 | task 1267 | prompt processing, n_tokens =   1536, progress = 0.21, t =   3.27 s / 469.70 tokens per second
2.41.879.025 I slot print_timing: id  0 | task 1267 | prompt processing, n_tokens =   2048, progress = 0.24, t =   4.41 s / 463.90 tokens per second
2.43.032.775 I slot print_timing: id  0 | task 1267 | prompt processing, n_tokens =   2560, progress = 0.27, t =   5.57 s / 459.73 tokens per second
2.44.190.636 I slot print_timing: id  0 | task 1267 | prompt processing, n_tokens =   3072, progress = 0.29, t =   6.73 s / 456.71 tokens per second
2.45.357.379 I slot print_timing: id  0 | task 1267 | prompt processing, n_tokens =   3584, progress = 0.32, t =   7.89 s / 454.07 tokens per second
2.46.531.080 I slot print_timing: id  0 | task 1267 | prompt processing, n_tokens =   4096, progress = 0.35, t =   9.07 s / 451.76 tokens per second
2.47.711.464 I slot print_timing: id  0 | task 1267 | prompt processing, n_tokens =   4608, progress = 0.38, t =  10.25 s / 449.69 tokens per second
2.48.899.359 I slot print_timing: id  0 | task 1267 | prompt processing, n_tokens =   5120, progress = 0.41, t =  11.44 s / 447.75 tokens per second
2.50.095.907 I slot print_timing: id  0 | task 1267 | prompt processing, n_tokens =   5632, progress = 0.43, t =  12.63 s / 445.87 tokens per second
