0.00.001.347 I srv  llama_server: initializing ...
0.00.235.120 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.237.178 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.239.812 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.10.225.191 I cmn          init: llama threadpool init, n_threads = 6
0.10.590.046 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.10.619.455 I srv  llama_server: model loaded
0.10.619.481 I srv  llama_server: listening on http://127.0.0.1:8080
0.10.619.484 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.14.715.027 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.14.716.304 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.17.882.819 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1492, progress = 0.08, t =   3.17 s / 471.19 tokens per second
0.18.886.217 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2004, progress = 0.10, t =   4.17 s / 480.60 tokens per second
0.20.002.093 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2516, progress = 0.13, t =   5.29 s / 476.00 tokens per second
0.21.123.165 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3028, progress = 0.15, t =   6.41 s / 472.63 tokens per second
0.22.249.339 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3540, progress = 0.18, t =   7.53 s / 469.94 tokens per second
0.23.381.991 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4052, progress = 0.20, t =   8.67 s / 467.60 tokens per second
0.24.520.559 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4564, progress = 0.23, t =   9.80 s / 465.52 tokens per second
0.25.670.966 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5076, progress = 0.26, t =  10.95 s / 463.37 tokens per second
0.26.824.852 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5588, progress = 0.28, t =  12.11 s / 461.50 tokens per second
0.27.989.713 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6100, progress = 0.31, t =  13.27 s / 459.57 tokens per second
0.29.161.630 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6612, progress = 0.33, t =  14.45 s / 457.73 tokens per second
0.30.341.427 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7124, progress = 0.36, t =  15.63 s / 455.93 tokens per second
0.31.526.462 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7636, progress = 0.39, t =  16.81 s / 454.25 tokens per second
0.32.717.771 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8148, progress = 0.41, t =  18.00 s / 452.63 tokens per second
0.33.916.149 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8660, progress = 0.44, t =  19.20 s / 451.05 tokens per second
0.35.119.855 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9172, progress = 0.46, t =  20.40 s / 449.53 tokens per second
0.36.331.790 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9684, progress = 0.49, t =  21.62 s / 448.01 tokens per second
0.37.551.910 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10196, progress = 0.52, t =  22.84 s / 446.50 tokens per second
0.38.781.155 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10708, progress = 0.54, t =  24.06 s / 444.97 tokens per second
0.40.014.934 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11220, progress = 0.57, t =  25.30 s / 443.50 tokens per second
0.41.254.827 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11732, progress = 0.59, t =  26.54 s / 442.08 tokens per second
0.42.503.881 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12244, progress = 0.62, t =  27.79 s / 440.63 tokens per second
0.43.760.281 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12756, progress = 0.65, t =  29.04 s / 439.20 tokens per second
0.45.025.584 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13268, progress = 0.67, t =  30.31 s / 437.75 tokens per second
0.46.297.374 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13780, progress = 0.70, t =  31.58 s / 436.34 tokens per second
0.47.575.870 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14292, progress = 0.72, t =  32.86 s / 434.94 tokens per second
0.48.857.452 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14804, progress = 0.75, t =  34.14 s / 433.61 tokens per second
0.50.146.974 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15316, progress = 0.77, t =  35.43 s / 432.28 tokens per second
0.51.439.301 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15828, progress = 0.80, t =  36.72 s / 431.01 tokens per second
0.52.739.370 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16340, progress = 0.83, t =  38.02 s / 429.74 tokens per second
0.54.047.852 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16852, progress = 0.85, t =  39.33 s / 428.46 tokens per second
0.55.362.813 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17364, progress = 0.88, t =  40.65 s / 427.20 tokens per second
0.56.686.474 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17876, progress = 0.90, t =  41.97 s / 425.92 tokens per second
0.58.019.536 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18388, progress = 0.93, t =  43.30 s / 424.63 tokens per second
0.59.356.620 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18900, progress = 0.96, t =  44.64 s / 423.38 tokens per second
1.00.695.160 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19412, progress = 0.98, t =  45.98 s / 422.19 tokens per second
1.01.447.899 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19643, progress = 0.99, t =  46.73 s / 420.34 tokens per second
1.01.733.323 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19695, progress = 1.00, t =  47.02 s / 418.89 tokens per second
1.01.926.707 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19722, progress = 1.00, t =  47.21 s / 417.75 tokens per second
1.02.091.766 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19771, progress = 1.00, t =  47.38 s / 417.33 tokens per second
1.10.409.071 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  12.28 t/s, tg_3s =  12.41 t/s
1.13.482.216 I slot print_timing: id  0 | task 1 | n_gen =    138, tg =  12.31 t/s, tg_3s =  12.37 t/s
1.16.554.974 I slot print_timing: id  0 | task 1 | n_gen =    176, tg =  12.32 t/s, tg_3s =  12.37 t/s
1.17.121.855 I slot print_timing: id  0 | task 1 | prompt eval time =   47632.38 ms / 19775 tokens (    2.41 ms per token,   415.16 tokens per second)
1.17.121.869 I slot print_timing: id  0 | task 1 |        eval time =   14773.08 ms /   183 tokens (   81.17 ms per token,    12.32 tokens per second)
1.17.121.872 I slot print_timing: id  0 | task 1 |       total time =   62405.46 ms / 19958 tokens
1.17.121.881 I slot print_timing: id  0 | task 1 |    graphs reused =        256
1.17.123.909 I slot      release: id  0 | task 1 | stop processing: n_tokens = 19957, truncated = 0
1.17.323.636 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.619 (> 0.100 thold), f_keep = 1.000
1.17.324.666 I slot launch_slot_: id  0 | task 227 | processing task, is_child = 0
