0.00.001.803 I srv  llama_server: initializing ...
0.00.238.177 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.240.535 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.243.415 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.11.523.465 I cmn          init: llama threadpool init, n_threads = 6
0.11.924.455 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.11.953.627 I srv  llama_server: model loaded
0.11.953.651 I srv  llama_server: listening on http://127.0.0.1:8080
0.11.953.653 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.16.686.321 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.16.688.356 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.19.852.012 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1489, progress = 0.04, t =   3.16 s / 470.67 tokens per second
0.20.855.261 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2001, progress = 0.06, t =   4.17 s / 480.23 tokens per second
0.21.971.166 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2513, progress = 0.07, t =   5.28 s / 475.70 tokens per second
0.23.093.909 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3025, progress = 0.09, t =   6.41 s / 472.25 tokens per second
0.24.219.995 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3537, progress = 0.10, t =   7.53 s / 469.63 tokens per second
0.25.352.420 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4049, progress = 0.12, t =   8.66 s / 467.34 tokens per second
0.26.492.331 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4561, progress = 0.13, t =   9.80 s / 465.22 tokens per second
0.27.644.839 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5073, progress = 0.15, t =  10.96 s / 463.02 tokens per second
0.28.796.946 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5585, progress = 0.16, t =  12.11 s / 461.25 tokens per second
0.29.958.793 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6097, progress = 0.17, t =  13.27 s / 459.45 tokens per second
0.31.131.580 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6609, progress = 0.19, t =  14.44 s / 457.59 tokens per second
0.32.310.211 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7121, progress = 0.20, t =  15.62 s / 455.84 tokens per second
0.33.493.223 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7633, progress = 0.22, t =  16.80 s / 454.22 tokens per second
0.34.682.698 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8145, progress = 0.23, t =  17.99 s / 452.64 tokens per second
0.35.880.512 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8657, progress = 0.25, t =  19.19 s / 451.07 tokens per second
0.37.083.748 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9169, progress = 0.26, t =  20.40 s / 449.57 tokens per second
0.38.295.190 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9681, progress = 0.28, t =  21.61 s / 448.05 tokens per second
0.39.511.465 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10193, progress = 0.29, t =  22.82 s / 446.61 tokens per second
0.40.738.205 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10705, progress = 0.31, t =  24.05 s / 445.12 tokens per second
0.41.971.211 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11217, progress = 0.32, t =  25.28 s / 443.66 tokens per second
0.43.210.367 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11729, progress = 0.34, t =  26.52 s / 442.24 tokens per second
0.44.462.380 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12241, progress = 0.35, t =  27.77 s / 440.74 tokens per second
0.45.719.453 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12753, progress = 0.36, t =  29.03 s / 439.29 tokens per second
0.46.982.054 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13265, progress = 0.38, t =  30.29 s / 437.88 tokens per second
0.48.252.396 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13777, progress = 0.39, t =  31.56 s / 436.48 tokens per second
0.49.531.362 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14289, progress = 0.41, t =  32.84 s / 435.07 tokens per second
0.50.817.632 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14801, progress = 0.42, t =  34.13 s / 433.68 tokens per second
0.52.107.818 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15313, progress = 0.44, t =  35.42 s / 432.33 tokens per second
0.53.405.074 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15825, progress = 0.45, t =  36.72 s / 431.00 tokens per second
0.54.707.913 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16337, progress = 0.47, t =  38.02 s / 429.70 tokens per second
0.56.018.888 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16849, progress = 0.48, t =  39.33 s / 428.40 tokens per second
0.57.332.656 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17361, progress = 0.50, t =  40.64 s / 427.15 tokens per second
0.58.652.268 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17873, progress = 0.51, t =  41.96 s / 425.91 tokens per second
0.59.977.524 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18385, progress = 0.53, t =  43.29 s / 424.70 tokens per second
1.01.308.645 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18897, progress = 0.54, t =  44.62 s / 423.51 tokens per second
1.01.706.717 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18964, progress = 0.54, t =  45.02 s / 421.25 tokens per second
1.02.994.510 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19476, progress = 0.56, t =  46.31 s / 420.59 tokens per second
1.04.348.027 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19988, progress = 0.57, t =  47.66 s / 419.39 tokens per second
1.05.710.267 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  20500, progress = 0.59, t =  49.02 s / 418.18 tokens per second
1.07.076.916 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  21012, progress = 0.60, t =  50.39 s / 417.00 tokens per second
1.08.451.583 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  21524, progress = 0.62, t =  51.76 s / 415.82 tokens per second
1.09.830.528 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  22036, progress = 0.63, t =  53.14 s / 414.66 tokens per second
1.11.216.180 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  22548, progress = 0.64, t =  54.53 s / 413.51 tokens per second
