0.00.003.826 I srv  llama_server: initializing ...
0.00.850.908 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.857.034 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.862.427 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.23.197.990 I cmn          init: llama threadpool init, n_threads = 6
0.23.724.843 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.23.774.674 I srv  llama_server: model loaded
0.23.774.692 I srv  llama_server: listening on http://127.0.0.1:8080
0.23.774.694 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.29.272.490 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.29.274.639 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.32.436.044 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1494, progress = 0.08, t =   3.16 s / 472.59 tokens per second
0.33.441.525 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2006, progress = 0.10, t =   4.17 s / 481.43 tokens per second
0.34.556.006 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2518, progress = 0.13, t =   5.28 s / 476.78 tokens per second
0.35.675.540 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3030, progress = 0.16, t =   6.40 s / 473.38 tokens per second
0.36.800.727 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3542, progress = 0.19, t =   7.53 s / 470.64 tokens per second
0.37.933.411 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4054, progress = 0.21, t =   8.66 s / 468.20 tokens per second
0.39.071.409 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4566, progress = 0.24, t =   9.80 s / 466.08 tokens per second
0.40.218.647 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5078, progress = 0.27, t =  10.94 s / 464.00 tokens per second
0.41.371.023 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5590, progress = 0.29, t =  12.10 s / 462.13 tokens per second
0.42.531.531 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6102, progress = 0.32, t =  13.26 s / 460.29 tokens per second
0.43.703.764 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6614, progress = 0.35, t =  14.43 s / 458.38 tokens per second
0.44.883.189 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7126, progress = 0.37, t =  15.61 s / 456.55 tokens per second
0.46.069.058 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7638, progress = 0.40, t =  16.79 s / 454.80 tokens per second
0.47.260.385 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8150, progress = 0.43, t =  17.99 s / 453.14 tokens per second
0.48.456.669 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8662, progress = 0.45, t =  19.18 s / 451.57 tokens per second
0.49.660.407 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9174, progress = 0.48, t =  20.39 s / 450.02 tokens per second
0.50.871.673 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9686, progress = 0.51, t =  21.60 s / 448.49 tokens per second
0.52.087.872 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10198, progress = 0.53, t =  22.81 s / 447.02 tokens per second
0.53.312.837 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10710, progress = 0.56, t =  24.04 s / 445.54 tokens per second
0.54.544.116 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11222, progress = 0.59, t =  25.27 s / 444.09 tokens per second
