0.00.003.907 I srv  llama_server: initializing ...
0.00.896.153 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.902.940 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.908.254 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.24.187.928 I cmn          init: llama threadpool init, n_threads = 6
0.24.732.746 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.24.781.712 I srv  llama_server: model loaded
0.24.781.736 I srv  llama_server: listening on http://127.0.0.1:8080
0.24.781.738 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.30.376.727 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.30.378.911 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.33.541.145 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1490, progress = 0.06, t =   3.16 s / 471.20 tokens per second
0.34.542.284 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2002, progress = 0.08, t =   4.16 s / 480.87 tokens per second
0.35.657.753 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2514, progress = 0.10, t =   5.28 s / 476.25 tokens per second
0.36.778.186 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3026, progress = 0.12, t =   6.40 s / 472.87 tokens per second
0.37.905.071 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3538, progress = 0.14, t =   7.53 s / 470.10 tokens per second
0.39.037.690 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4050, progress = 0.16, t =   8.66 s / 467.74 tokens per second
0.40.178.311 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4562, progress = 0.18, t =   9.80 s / 465.54 tokens per second
0.41.327.705 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5074, progress = 0.20, t =  10.95 s / 463.43 tokens per second
0.42.483.571 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5586, progress = 0.23, t =  12.10 s / 461.48 tokens per second
