0.00.003.971 I srv  llama_server: initializing ...
0.00.847.342 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.853.887 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.859.055 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.24.337.006 I cmn          init: llama threadpool init, n_threads = 6
0.24.901.170 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.24.952.227 I srv  llama_server: model loaded
0.24.952.252 I srv  llama_server: listening on http://127.0.0.1:8080
0.24.952.254 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.29.349.388 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.29.351.812 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.32.533.131 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1494, progress = 0.08, t =   3.18 s / 469.63 tokens per second
0.33.539.698 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2006, progress = 0.10, t =   4.19 s / 479.01 tokens per second
0.34.658.348 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2518, progress = 0.13, t =   5.31 s / 474.52 tokens per second
0.35.782.447 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3030, progress = 0.15, t =   6.43 s / 471.19 tokens per second
0.36.911.688 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3542, progress = 0.18, t =   7.56 s / 468.53 tokens per second
0.38.047.086 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4054, progress = 0.20, t =   8.70 s / 466.24 tokens per second
0.39.188.507 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4566, progress = 0.23, t =   9.84 s / 464.19 tokens per second
0.40.335.181 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5078, progress = 0.26, t =  10.98 s / 462.34 tokens per second
0.41.489.397 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5590, progress = 0.28, t =  12.14 s / 460.56 tokens per second
0.42.652.563 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6102, progress = 0.31, t =  13.30 s / 458.77 tokens per second
0.43.823.028 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6614, progress = 0.33, t =  14.47 s / 457.05 tokens per second
0.45.001.603 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7126, progress = 0.36, t =  15.65 s / 455.34 tokens per second
0.46.184.418 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7638, progress = 0.38, t =  16.83 s / 453.77 tokens per second
0.47.376.096 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8150, progress = 0.41, t =  18.02 s / 452.17 tokens per second
0.48.574.107 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8662, progress = 0.44, t =  19.22 s / 450.63 tokens per second
0.49.776.483 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9174, progress = 0.46, t =  20.42 s / 449.17 tokens per second
0.50.986.576 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9686, progress = 0.49, t =  21.63 s / 447.71 tokens per second
0.52.206.545 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10198, progress = 0.51, t =  22.85 s / 446.21 tokens per second
0.53.431.854 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10710, progress = 0.54, t =  24.08 s / 444.77 tokens per second
0.54.663.259 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11222, progress = 0.56, t =  25.31 s / 443.36 tokens per second
0.55.903.451 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11734, progress = 0.59, t =  26.55 s / 441.93 tokens per second
