0.00.003.888 I srv  llama_server: initializing ...
0.00.860.131 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.866.035 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.871.098 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.24.395.239 I cmn          init: llama threadpool init, n_threads = 6
0.24.995.923 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.25.043.282 I srv  llama_server: model loaded
0.25.043.300 I srv  llama_server: listening on http://127.0.0.1:8080
0.25.043.301 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.33.742.509 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.33.745.879 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.36.878.462 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1447, progress = 0.92, t =   3.13 s / 461.93 tokens per second
0.37.021.262 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1491, progress = 0.94, t =   3.28 s / 455.23 tokens per second
0.37.193.507 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1575, progress = 1.00, t =   3.45 s / 456.85 tokens per second
0.41.284.336 I slot print_timing: id  0 | task 0 | prompt eval time =    3698.50 ms /  1579 tokens (    2.34 ms per token,   426.93 tokens per second)
0.41.284.350 I slot print_timing: id  0 | task 0 |        eval time =    3839.86 ms /    60 tokens (   65.08 ms per token,    15.37 tokens per second)
0.41.284.353 I slot print_timing: id  0 | task 0 |       total time =    7538.36 ms /  1639 tokens
0.41.284.364 I slot print_timing: id  0 | task 0 |    graphs reused =         63
0.41.284.750 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1638, truncated = 0
0.42.001.920 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.772 (> 0.100 thold), f_keep = 1.000
0.42.002.483 I slot launch_slot_: id  0 | task 66 | processing task, is_child = 0
0.49.560.029 I slot print_timing: id  0 | task 66 | n_gen =    100, tg =  15.51 t/s, tg_3s =  15.66 t/s
0.52.594.958 I slot print_timing: id  0 | task 66 | n_gen =    147, tg =  15.50 t/s, tg_3s =  15.49 t/s
0.55.639.286 I slot print_timing: id  0 | task 66 | n_gen =    194, tg =  15.48 t/s, tg_3s =  15.44 t/s
0.58.670.030 I slot print_timing: id  0 | task 66 | n_gen =    241, tg =  15.49 t/s, tg_3s =  15.51 t/s
1.01.190.083 I slot print_timing: id  0 | task 66 | prompt eval time =    1172.73 ms /   484 tokens (    2.42 ms per token,   412.71 tokens per second)
1.01.190.095 I slot print_timing: id  0 | task 66 |        eval time =   18014.81 ms /   280 tokens (   64.57 ms per token,    15.49 tokens per second)
1.01.190.098 I slot print_timing: id  0 | task 66 |       total time =   19187.53 ms /   764 tokens
1.01.190.101 I slot print_timing: id  0 | task 66 |    graphs reused =        340
1.01.190.566 I slot      release: id  0 | task 66 | stop processing: n_tokens = 2401, truncated = 0
1.03.214.334 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.668 (> 0.100 thold), f_keep = 0.657
1.03.214.858 I slot launch_slot_: id  0 | task 350 | processing task, is_child = 0
1.11.421.730 I slot print_timing: id  0 | task 350 | prompt eval time =    1987.39 ms /   787 tokens (    2.53 ms per token,   396.00 tokens per second)
1.11.421.741 I slot print_timing: id  0 | task 350 |        eval time =    6219.42 ms /    97 tokens (   64.79 ms per token,    15.44 tokens per second)
1.11.421.744 I slot print_timing: id  0 | task 350 |       total time =    8206.81 ms /   884 tokens
1.11.421.746 I slot print_timing: id  0 | task 350 |    graphs reused =        437
1.11.422.202 I slot      release: id  0 | task 350 | stop processing: n_tokens = 2458, truncated = 0
1.11.574.313 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.137 (> 0.100 thold), f_keep = 1.000
1.11.575.248 I slot launch_slot_: id  0 | task 452 | processing task, is_child = 0
1.14.692.559 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   1536, progress = 0.22, t =   3.12 s / 492.75 tokens per second
1.15.832.168 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   2048, progress = 0.25, t =   4.26 s / 481.11 tokens per second
1.16.978.792 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   2560, progress = 0.28, t =   5.40 s / 473.77 tokens per second
1.18.131.712 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   3072, progress = 0.31, t =   6.56 s / 468.55 tokens per second
1.19.294.356 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   3584, progress = 0.34, t =   7.72 s / 464.31 tokens per second
1.20.468.115 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   4096, progress = 0.37, t =   8.89 s / 460.60 tokens per second
1.21.646.329 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   4608, progress = 0.39, t =  10.07 s / 457.55 tokens per second
1.22.832.890 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   5120, progress = 0.42, t =  11.26 s / 454.81 tokens per second
1.24.023.081 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   5632, progress = 0.45, t =  12.45 s / 452.45 tokens per second
1.25.222.679 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   6144, progress = 0.48, t =  13.65 s / 450.20 tokens per second
1.26.427.420 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   6656, progress = 0.51, t =  14.85 s / 448.15 tokens per second
1.27.638.722 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   7168, progress = 0.54, t =  16.06 s / 446.23 tokens per second
1.28.859.092 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   7680, progress = 0.57, t =  17.28 s / 444.35 tokens per second
1.30.087.599 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   8192, progress = 0.59, t =  18.51 s / 442.52 tokens per second
1.31.323.861 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   8704, progress = 0.62, t =  19.75 s / 440.74 tokens per second
1.32.567.025 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   9216, progress = 0.65, t =  20.99 s / 439.03 tokens per second
1.33.819.082 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =   9728, progress = 0.68, t =  22.24 s / 437.34 tokens per second
1.35.075.374 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  10240, progress = 0.71, t =  23.50 s / 435.74 tokens per second
1.36.338.741 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  10752, progress = 0.74, t =  24.76 s / 434.19 tokens per second
1.37.611.449 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  11264, progress = 0.77, t =  26.04 s / 432.63 tokens per second
1.38.885.859 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  11776, progress = 0.79, t =  27.31 s / 431.19 tokens per second
1.40.169.465 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  12288, progress = 0.82, t =  28.59 s / 429.74 tokens per second
1.41.459.201 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  12800, progress = 0.85, t =  29.88 s / 428.32 tokens per second
1.42.754.902 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  13312, progress = 0.88, t =  31.18 s / 426.95 tokens per second
1.44.056.564 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  13824, progress = 0.91, t =  32.48 s / 425.60 tokens per second
1.45.365.242 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  14336, progress = 0.94, t =  33.79 s / 424.27 tokens per second
1.46.680.291 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  14848, progress = 0.97, t =  35.10 s / 422.96 tokens per second
1.48.070.899 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  15326, progress = 0.99, t =  36.50 s / 419.94 tokens per second
1.48.370.085 I slot print_timing: id  0 | task 452 | prompt processing, n_tokens =  15454, progress = 1.00, t =  36.79 s / 420.01 tokens per second
1.56.604.972 I slot print_timing: id  0 | task 452 | n_gen =    100, tg =  12.55 t/s, tg_3s =  12.68 t/s
1.59.608.715 I slot print_timing: id  0 | task 452 | n_gen =    138, tg =  12.58 t/s, tg_3s =  12.65 t/s
2.02.617.651 I slot print_timing: id  0 | task 452 | n_gen =    176, tg =  12.59 t/s, tg_3s =  12.63 t/s
2.05.623.950 I slot print_timing: id  0 | task 452 | n_gen =    214, tg =  12.60 t/s, tg_3s =  12.64 t/s
2.08.630.561 I slot print_timing: id  0 | task 452 | n_gen =    252, tg =  12.61 t/s, tg_3s =  12.64 t/s
2.11.658.612 I slot print_timing: id  0 | task 452 | n_gen =    290, tg =  12.60 t/s, tg_3s =  12.55 t/s
2.14.672.796 I slot print_timing: id  0 | task 452 | n_gen =    328, tg =  12.60 t/s, tg_3s =  12.61 t/s
2.17.688.721 I slot print_timing: id  0 | task 452 | n_gen =    366, tg =  12.60 t/s, tg_3s =  12.60 t/s
2.20.701.971 I slot print_timing: id  0 | task 452 | n_gen =    404, tg =  12.60 t/s, tg_3s =  12.61 t/s
2.23.715.864 I slot print_timing: id  0 | task 452 | n_gen =    442, tg =  12.60 t/s, tg_3s =  12.61 t/s
2.26.732.476 I slot print_timing: id  0 | task 452 | n_gen =    480, tg =  12.60 t/s, tg_3s =  12.60 t/s
2.29.755.591 I slot print_timing: id  0 | task 452 | n_gen =    518, tg =  12.60 t/s, tg_3s =  12.57 t/s
2.30.797.942 I slot print_timing: id  0 | task 452 | prompt eval time =   37143.89 ms / 15458 tokens (    2.40 ms per token,   416.17 tokens per second)
2.30.797.957 I slot print_timing: id  0 | task 452 |        eval time =   42078.73 ms /   531 tokens (   79.39 ms per token,    12.60 tokens per second)
2.30.797.959 I slot print_timing: id  0 | task 452 |       total time =   79222.62 ms / 15989 tokens
2.30.797.963 I slot print_timing: id  0 | task 452 |    graphs reused =       1022
2.30.799.728 I slot      release: id  0 | task 452 | stop processing: n_tokens = 18446, truncated = 0
2.30.966.753 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
2.30.967.337 I slot launch_slot_: id  0 | task 1015 | processing task, is_child = 0
2.38.357.883 I slot print_timing: id  0 | task 1015 | prompt eval time =     445.38 ms /    53 tokens (    8.40 ms per token,   119.00 tokens per second)
2.38.357.896 I slot print_timing: id  0 | task 1015 |        eval time =    6945.10 ms /    88 tokens (   79.83 ms per token,    12.53 tokens per second)
2.38.357.899 I slot print_timing: id  0 | task 1015 |       total time =    7390.49 ms /   141 tokens
2.38.357.901 I slot print_timing: id  0 | task 1015 |    graphs reused =       1108
2.38.359.742 I slot      release: id  0 | task 1015 | stop processing: n_tokens = 18586, truncated = 0
2.38.941.550 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
2.38.942.096 I slot launch_slot_: id  0 | task 1105 | processing task, is_child = 0
2.46.593.618 I slot print_timing: id  0 | task 1105 | prompt eval time =     573.66 ms /   143 tokens (    4.01 ms per token,   249.28 tokens per second)
2.46.593.630 I slot print_timing: id  0 | task 1105 |        eval time =    7077.80 ms /    89 tokens (   80.43 ms per token,    12.43 tokens per second)
2.46.593.633 I slot print_timing: id  0 | task 1105 |       total time =    7651.46 ms /   232 tokens
2.46.593.635 I slot print_timing: id  0 | task 1105 |    graphs reused =       1195
2.46.596.397 I slot      release: id  0 | task 1105 | stop processing: n_tokens = 18817, truncated = 0
2.47.103.594 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.981 (> 0.100 thold), f_keep = 1.000
2.47.104.582 I slot launch_slot_: id  0 | task 1197 | processing task, is_child = 0
2.56.231.138 I slot print_timing: id  0 | task 1197 | n_gen =    100, tg =  12.38 t/s, tg_3s =  12.50 t/s
2.59.293.327 I slot print_timing: id  0 | task 1197 | n_gen =    138, tg =  12.39 t/s, tg_3s =  12.41 t/s
