0.00.001.599 I srv  llama_server: initializing ...
0.00.238.755 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.240.835 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.243.899 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.10.844.484 I cmn          init: llama threadpool init, n_threads = 6
0.11.224.312 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.11.244.909 I srv  llama_server: model loaded
0.11.244.922 I srv  llama_server: listening on http://127.0.0.1:8080
0.11.244.924 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.17.523.463 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.17.524.542 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.20.668.910 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1450, progress = 0.92, t =   3.14 s / 461.16 tokens per second
0.20.823.699 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1494, progress = 0.94, t =   3.30 s / 452.85 tokens per second
0.20.997.825 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1578, progress = 1.00, t =   3.47 s / 454.34 tokens per second
0.26.322.177 I slot print_timing: id  0 | task 0 | prompt eval time =    3712.39 ms /  1582 tokens (    2.35 ms per token,   426.14 tokens per second)
0.26.322.192 I slot print_timing: id  0 | task 0 |        eval time =    5085.16 ms /    80 tokens (   64.37 ms per token,    15.54 tokens per second)
0.26.322.195 I slot print_timing: id  0 | task 0 |       total time =    8797.55 ms /  1662 tokens
0.26.322.206 I slot print_timing: id  0 | task 0 |    graphs reused =         83
0.26.322.575 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1661, truncated = 0
0.26.894.355 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.774 (> 0.100 thold), f_keep = 1.000
0.26.895.168 I slot launch_slot_: id  0 | task 86 | processing task, is_child = 0
0.34.488.608 I slot print_timing: id  0 | task 86 | n_gen =    100, tg =  15.43 t/s, tg_3s =  15.58 t/s
0.37.532.135 I slot print_timing: id  0 | task 86 | n_gen =    147, tg =  15.43 t/s, tg_3s =  15.44 t/s
0.40.589.747 I slot print_timing: id  0 | task 86 | n_gen =    194, tg =  15.42 t/s, tg_3s =  15.37 t/s
0.43.636.946 I slot print_timing: id  0 | task 86 | n_gen =    241, tg =  15.42 t/s, tg_3s =  15.42 t/s
0.46.676.625 I slot print_timing: id  0 | task 86 | n_gen =    288, tg =  15.43 t/s, tg_3s =  15.46 t/s
0.49.718.790 I slot print_timing: id  0 | task 86 | prompt eval time =    1175.45 ms /   484 tokens (    2.43 ms per token,   411.76 tokens per second)
0.49.718.802 I slot print_timing: id  0 | task 86 |        eval time =   21648.10 ms /   335 tokens (   64.81 ms per token,    15.43 tokens per second)
0.49.718.805 I slot print_timing: id  0 | task 86 |       total time =   22823.55 ms /   819 tokens
0.49.718.808 I slot print_timing: id  0 | task 86 |    graphs reused =        415
0.49.719.230 I slot      release: id  0 | task 86 | stop processing: n_tokens = 2479, truncated = 0
0.51.643.219 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.661 (> 0.100 thold), f_keep = 0.637
0.51.643.789 I slot launch_slot_: id  0 | task 425 | processing task, is_child = 0
0.59.374.838 I slot print_timing: id  0 | task 425 | prompt eval time =    2061.28 ms /   812 tokens (    2.54 ms per token,   393.93 tokens per second)
0.59.374.851 I slot print_timing: id  0 | task 425 |        eval time =    5669.71 ms /    88 tokens (   65.17 ms per token,    15.34 tokens per second)
0.59.374.854 I slot print_timing: id  0 | task 425 |       total time =    7730.99 ms /   900 tokens
0.59.374.857 I slot print_timing: id  0 | task 425 |    graphs reused =        503
0.59.375.322 I slot      release: id  0 | task 425 | stop processing: n_tokens = 2477, truncated = 0
0.59.522.793 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.138 (> 0.100 thold), f_keep = 1.000
0.59.523.294 I slot launch_slot_: id  0 | task 518 | processing task, is_child = 0
1.02.643.440 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   1536, progress = 0.22, t =   3.12 s / 492.30 tokens per second
1.03.783.492 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   2048, progress = 0.25, t =   4.26 s / 480.74 tokens per second
1.04.933.557 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   2560, progress = 0.28, t =   5.41 s / 473.18 tokens per second
1.06.087.146 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   3072, progress = 0.31, t =   6.56 s / 468.02 tokens per second
1.07.247.865 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   3584, progress = 0.34, t =   7.72 s / 463.98 tokens per second
1.08.423.494 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   4096, progress = 0.37, t =   8.90 s / 460.22 tokens per second
1.09.603.944 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   4608, progress = 0.40, t =  10.08 s / 457.12 tokens per second
1.10.791.510 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   5120, progress = 0.42, t =  11.27 s / 454.38 tokens per second
1.11.985.300 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   5632, progress = 0.45, t =  12.46 s / 451.94 tokens per second
1.13.185.945 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   6144, progress = 0.48, t =  13.66 s / 449.70 tokens per second
1.14.393.409 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   6656, progress = 0.51, t =  14.87 s / 447.61 tokens per second
1.15.608.780 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   7168, progress = 0.54, t =  16.09 s / 445.62 tokens per second
1.16.832.759 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   7680, progress = 0.57, t =  17.31 s / 443.69 tokens per second
1.18.064.321 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   8192, progress = 0.59, t =  18.54 s / 441.83 tokens per second
1.19.300.617 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   8704, progress = 0.62, t =  19.78 s / 440.10 tokens per second
1.20.545.596 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   9216, progress = 0.65, t =  21.02 s / 438.39 tokens per second
1.21.801.116 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =   9728, progress = 0.68, t =  22.28 s / 436.67 tokens per second
1.23.063.029 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  10240, progress = 0.71, t =  23.54 s / 435.01 tokens per second
1.24.329.948 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  10752, progress = 0.74, t =  24.81 s / 433.43 tokens per second
1.25.604.076 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  11264, progress = 0.77, t =  26.08 s / 431.89 tokens per second
1.26.884.999 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  11776, progress = 0.79, t =  27.36 s / 430.38 tokens per second
1.28.174.676 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  12288, progress = 0.82, t =  28.65 s / 428.88 tokens per second
1.29.467.493 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  12800, progress = 0.85, t =  29.94 s / 427.46 tokens per second
1.30.767.264 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  13312, progress = 0.88, t =  31.24 s / 426.07 tokens per second
1.32.072.912 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  13824, progress = 0.91, t =  32.55 s / 424.71 tokens per second
1.33.383.670 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  14336, progress = 0.94, t =  33.86 s / 423.39 tokens per second
1.34.702.804 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  14848, progress = 0.97, t =  35.18 s / 422.06 tokens per second
1.36.099.091 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  15326, progress = 0.99, t =  36.58 s / 419.02 tokens per second
1.36.398.776 I slot print_timing: id  0 | task 518 | prompt processing, n_tokens =  15454, progress = 1.00, t =  36.88 s / 419.09 tokens per second
1.44.626.823 I slot print_timing: id  0 | task 518 | n_gen =    100, tg =  12.56 t/s, tg_3s =  12.69 t/s
1.47.638.956 I slot print_timing: id  0 | task 518 | n_gen =    138, tg =  12.58 t/s, tg_3s =  12.62 t/s
1.50.652.260 I slot print_timing: id  0 | task 518 | n_gen =    176, tg =  12.59 t/s, tg_3s =  12.61 t/s
1.53.663.059 I slot print_timing: id  0 | task 518 | n_gen =    214, tg =  12.59 t/s, tg_3s =  12.62 t/s
1.56.693.205 I slot print_timing: id  0 | task 518 | n_gen =    252, tg =  12.58 t/s, tg_3s =  12.54 t/s
1.59.710.587 I slot print_timing: id  0 | task 518 | n_gen =    290, tg =  12.59 t/s, tg_3s =  12.59 t/s
2.02.723.871 I slot print_timing: id  0 | task 518 | n_gen =    328, tg =  12.59 t/s, tg_3s =  12.61 t/s
2.05.733.512 I slot print_timing: id  0 | task 518 | n_gen =    366, tg =  12.59 t/s, tg_3s =  12.63 t/s
2.08.744.502 I slot print_timing: id  0 | task 518 | n_gen =    404, tg =  12.59 t/s, tg_3s =  12.62 t/s
2.11.751.240 I slot print_timing: id  0 | task 518 | n_gen =    442, tg =  12.60 t/s, tg_3s =  12.64 t/s
2.14.757.277 I slot print_timing: id  0 | task 518 | n_gen =    480, tg =  12.60 t/s, tg_3s =  12.64 t/s
2.17.786.873 I slot print_timing: id  0 | task 518 | n_gen =    518, tg =  12.60 t/s, tg_3s =  12.54 t/s
2.20.804.226 I slot print_timing: id  0 | task 518 | n_gen =    556, tg =  12.60 t/s, tg_3s =  12.59 t/s
2.23.831.431 I slot print_timing: id  0 | task 518 | n_gen =    594, tg =  12.59 t/s, tg_3s =  12.55 t/s
2.26.862.661 I slot print_timing: id  0 | task 518 | n_gen =    632, tg =  12.59 t/s, tg_3s =  12.54 t/s
2.29.895.237 I slot print_timing: id  0 | task 518 | n_gen =    670, tg =  12.59 t/s, tg_3s =  12.53 t/s
2.32.928.696 I slot print_timing: id  0 | task 518 | n_gen =    708, tg =  12.58 t/s, tg_3s =  12.53 t/s
2.35.961.254 I slot print_timing: id  0 | task 518 | n_gen =    746, tg =  12.58 t/s, tg_3s =  12.53 t/s
2.39.017.924 I slot print_timing: id  0 | task 518 | n_gen =    784, tg =  12.57 t/s, tg_3s =  12.43 t/s
2.42.056.595 I slot print_timing: id  0 | task 518 | n_gen =    822, tg =  12.57 t/s, tg_3s =  12.51 t/s
2.45.096.566 I slot print_timing: id  0 | task 518 | n_gen =    860, tg =  12.57 t/s, tg_3s =  12.50 t/s
2.48.126.806 I slot print_timing: id  0 | task 518 | n_gen =    898, tg =  12.57 t/s, tg_3s =  12.54 t/s
2.48.922.393 I slot print_timing: id  0 | task 518 | prompt eval time =   37223.87 ms / 15458 tokens (    2.41 ms per token,   415.27 tokens per second)
2.48.922.407 I slot print_timing: id  0 | task 518 |        eval time =   72175.16 ms /   908 tokens (   79.58 ms per token,    12.57 tokens per second)
2.48.922.410 I slot print_timing: id  0 | task 518 |       total time =  109399.03 ms / 16366 tokens
2.48.922.413 I slot print_timing: id  0 | task 518 |    graphs reused =       1465
2.48.924.182 I slot      release: id  0 | task 518 | stop processing: n_tokens = 18842, truncated = 0
2.49.085.541 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
2.49.086.092 I slot launch_slot_: id  0 | task 1458 | processing task, is_child = 0
2.56.449.138 I slot print_timing: id  0 | task 1458 | prompt eval time =     347.19 ms /    56 tokens (    6.20 ms per token,   161.30 tokens per second)
2.56.449.151 I slot print_timing: id  0 | task 1458 |        eval time =    7015.80 ms /    88 tokens (   80.64 ms per token,    12.40 tokens per second)
2.56.449.153 I slot print_timing: id  0 | task 1458 |       total time =    7362.98 ms /   144 tokens
2.56.449.157 I slot print_timing: id  0 | task 1458 |    graphs reused =       1550
2.56.450.997 I slot      release: id  0 | task 1458 | stop processing: n_tokens = 18985, truncated = 0
2.56.962.731 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.992 (> 0.100 thold), f_keep = 1.000
2.56.963.752 I slot launch_slot_: id  0 | task 1548 | processing task, is_child = 0
3.05.306.222 I slot print_timing: id  0 | task 1548 | prompt eval time =     582.02 ms /   146 tokens (    3.99 ms per token,   250.85 tokens per second)
3.05.306.234 I slot print_timing: id  0 | task 1548 |        eval time =    7760.38 ms /    97 tokens (   80.84 ms per token,    12.37 tokens per second)
3.05.306.237 I slot print_timing: id  0 | task 1548 |       total time =    8342.40 ms /   243 tokens
3.05.306.240 I slot print_timing: id  0 | task 1548 |    graphs reused =       1644
3.05.308.151 I slot      release: id  0 | task 1548 | stop processing: n_tokens = 19227, truncated = 0
3.05.800.497 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.981 (> 0.100 thold), f_keep = 1.000
3.05.801.015 I slot launch_slot_: id  0 | task 1648 | processing task, is_child = 0
3.14.968.940 I slot print_timing: id  0 | task 1648 | n_gen =    100, tg =  12.31 t/s, tg_3s =  12.43 t/s
3.17.987.946 I slot print_timing: id  0 | task 1648 | n_gen =    137, tg =  12.29 t/s, tg_3s =  12.26 t/s
3.20.994.076 I slot print_timing: id  0 | task 1648 | n_gen =    174, tg =  12.30 t/s, tg_3s =  12.31 t/s
3.23.997.606 I slot print_timing: id  0 | task 1648 | n_gen =    211, tg =  12.30 t/s, tg_3s =  12.32 t/s
3.25.377.215 I slot print_timing: id  0 | task 1648 | prompt eval time =    1124.89 ms /   369 tokens (    3.05 ms per token,   328.03 tokens per second)
3.25.377.229 I slot print_timing: id  0 | task 1648 |        eval time =   18451.25 ms /   228 tokens (   81.28 ms per token,    12.30 tokens per second)
3.25.377.232 I slot print_timing: id  0 | task 1648 |       total time =   19576.14 ms /   597 tokens
3.25.377.235 I slot print_timing: id  0 | task 1648 |    graphs reused =       1869
3.25.379.135 I slot      release: id  0 | task 1648 | stop processing: n_tokens = 19823, truncated = 0
3.27.373.039 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.126 (> 0.100 thold), f_keep = 0.120
3.28.024.630 I slot launch_slot_: id  0 | task 1880 | processing task, is_child = 0
3.31.312.214 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   1536, progress = 0.21, t =   3.29 s / 467.22 tokens per second
3.32.457.025 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   2048, progress = 0.23, t =   4.43 s / 462.06 tokens per second
3.33.607.540 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   2560, progress = 0.26, t =   5.58 s / 458.55 tokens per second
3.34.763.864 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   3072, progress = 0.29, t =   6.74 s / 455.84 tokens per second
3.35.931.683 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   3584, progress = 0.31, t =   7.91 s / 453.27 tokens per second
3.37.106.297 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   4096, progress = 0.34, t =   9.08 s / 451.02 tokens per second
3.38.288.647 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   4608, progress = 0.37, t =  10.26 s / 448.95 tokens per second
3.39.479.296 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   5120, progress = 0.40, t =  11.45 s / 446.98 tokens per second
3.40.676.774 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   5632, progress = 0.42, t =  12.65 s / 445.15 tokens per second
3.41.875.801 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   6144, progress = 0.45, t =  13.85 s / 443.58 tokens per second
3.43.084.997 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   6656, progress = 0.48, t =  15.06 s / 441.96 tokens per second
3.44.301.440 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   7168, progress = 0.50, t =  16.28 s / 440.38 tokens per second
3.45.522.319 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   7680, progress = 0.53, t =  17.50 s / 438.92 tokens per second
3.46.753.326 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   8192, progress = 0.56, t =  18.73 s / 437.41 tokens per second
3.47.990.687 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   8704, progress = 0.58, t =  19.97 s / 435.94 tokens per second
3.49.233.820 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   9216, progress = 0.61, t =  21.21 s / 434.53 tokens per second
3.50.485.584 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =   9728, progress = 0.64, t =  22.46 s / 433.11 tokens per second
3.51.746.033 I slot print_timing: id  0 | task 1880 | prompt processing, n_tokens =  10240, progress = 0.67, t =  23.72 s / 431.68 tokens per second
