0.00.001.528 I srv  llama_server: initializing ...
0.00.213.599 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.215.904 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.218.535 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.08.097.508 I cmn          init: llama threadpool init, n_threads = 6
0.08.477.934 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.08.505.300 I srv  llama_server: model loaded
0.08.505.315 I srv  llama_server: listening on http://127.0.0.1:8080
0.08.505.316 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.12.540.863 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.12.542.766 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.15.712.074 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1491, progress = 0.03, t =   3.17 s / 470.46 tokens per second
0.16.719.008 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2003, progress = 0.04, t =   4.18 s / 479.63 tokens per second
0.17.835.659 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2515, progress = 0.05, t =   5.29 s / 475.17 tokens per second
0.18.956.564 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3027, progress = 0.06, t =   6.41 s / 471.96 tokens per second
0.20.083.452 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3539, progress = 0.07, t =   7.54 s / 469.33 tokens per second
0.21.215.336 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4051, progress = 0.08, t =   8.67 s / 467.11 tokens per second
0.22.355.690 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4563, progress = 0.10, t =   9.81 s / 465.00 tokens per second
0.23.505.995 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5075, progress = 0.11, t =  10.96 s / 462.92 tokens per second
0.24.663.550 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5587, progress = 0.12, t =  12.12 s / 460.95 tokens per second
0.25.827.930 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6099, progress = 0.13, t =  13.29 s / 459.09 tokens per second
0.27.001.553 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6611, progress = 0.14, t =  14.46 s / 457.23 tokens per second
0.28.182.148 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7123, progress = 0.15, t =  15.64 s / 455.46 tokens per second
0.29.365.530 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7635, progress = 0.16, t =  16.82 s / 453.85 tokens per second
0.30.557.829 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8147, progress = 0.17, t =  18.01 s / 452.24 tokens per second
0.31.755.285 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8659, progress = 0.18, t =  19.21 s / 450.70 tokens per second
0.32.957.552 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9171, progress = 0.19, t =  20.41 s / 449.24 tokens per second
0.34.167.801 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9683, progress = 0.20, t =  21.62 s / 447.77 tokens per second
0.35.386.247 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10195, progress = 0.21, t =  22.84 s / 446.30 tokens per second
