0.00.004.050 I srv  llama_server: initializing ...
0.00.883.459 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.890.308 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.895.666 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.24.413.420 I cmn          init: llama threadpool init, n_threads = 6
0.24.955.537 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.25.002.374 I srv  llama_server: model loaded
0.25.002.396 I srv  llama_server: listening on http://127.0.0.1:8080
0.25.002.398 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.29.542.653 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.29.544.247 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.32.723.950 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1495, progress = 0.08, t =   3.18 s / 470.18 tokens per second
0.33.731.946 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2007, progress = 0.10, t =   4.19 s / 479.27 tokens per second
0.34.850.010 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2519, progress = 0.13, t =   5.31 s / 474.78 tokens per second
0.35.973.952 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3031, progress = 0.16, t =   6.43 s / 471.41 tokens per second
0.37.104.903 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3543, progress = 0.18, t =   7.56 s / 468.62 tokens per second
0.38.240.344 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4055, progress = 0.21, t =   8.70 s / 466.31 tokens per second
0.39.382.016 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4567, progress = 0.23, t =   9.84 s / 464.24 tokens per second
0.40.530.669 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5079, progress = 0.26, t =  10.99 s / 462.30 tokens per second
0.41.684.007 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5591, progress = 0.29, t =  12.14 s / 460.56 tokens per second
0.42.845.660 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6103, progress = 0.31, t =  13.30 s / 458.83 tokens per second
0.44.018.063 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6615, progress = 0.34, t =  14.47 s / 457.04 tokens per second
0.45.197.134 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7127, progress = 0.37, t =  15.65 s / 455.32 tokens per second
0.46.390.618 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7639, progress = 0.39, t =  16.85 s / 453.45 tokens per second
0.47.581.350 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8151, progress = 0.42, t =  18.04 s / 451.90 tokens per second
0.48.779.251 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8663, progress = 0.45, t =  19.23 s / 450.38 tokens per second
0.49.983.609 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9175, progress = 0.47, t =  20.44 s / 448.89 tokens per second
0.51.197.506 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9687, progress = 0.50, t =  21.65 s / 447.37 tokens per second
0.52.415.899 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10199, progress = 0.52, t =  22.87 s / 445.93 tokens per second
0.53.640.970 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10711, progress = 0.55, t =  24.10 s / 444.50 tokens per second
0.54.875.763 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11223, progress = 0.58, t =  25.33 s / 443.05 tokens per second
0.56.118.436 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11735, progress = 0.60, t =  26.57 s / 441.60 tokens per second
0.57.367.933 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12247, progress = 0.63, t =  27.82 s / 440.17 tokens per second
0.58.624.442 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12759, progress = 0.66, t =  29.08 s / 438.75 tokens per second
0.59.888.717 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13271, progress = 0.68, t =  30.34 s / 437.35 tokens per second
1.01.159.370 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13783, progress = 0.71, t =  31.62 s / 435.96 tokens per second
1.02.437.182 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14295, progress = 0.73, t =  32.89 s / 434.59 tokens per second
1.03.721.704 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14807, progress = 0.76, t =  34.18 s / 433.24 tokens per second
1.05.011.528 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15319, progress = 0.79, t =  35.47 s / 431.92 tokens per second
1.06.307.729 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15831, progress = 0.81, t =  36.76 s / 430.62 tokens per second
1.07.610.557 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16343, progress = 0.84, t =  38.07 s / 429.33 tokens per second
1.08.918.954 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16855, progress = 0.87, t =  39.37 s / 428.07 tokens per second
1.10.232.914 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17367, progress = 0.89, t =  40.69 s / 426.83 tokens per second
1.11.558.485 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17879, progress = 0.92, t =  42.01 s / 425.55 tokens per second
1.12.890.607 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18391, progress = 0.95, t =  43.35 s / 424.28 tokens per second
1.14.227.113 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18903, progress = 0.97, t =  44.68 s / 423.05 tokens per second
1.15.604.984 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19326, progress = 0.99, t =  46.06 s / 419.58 tokens per second
1.15.784.652 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19369, progress = 1.00, t =  46.24 s / 418.88 tokens per second
1.15.979.989 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19425, progress = 1.00, t =  46.44 s / 418.32 tokens per second
1.16.174.893 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19454, progress = 1.00, t =  46.63 s / 417.19 tokens per second
1.24.855.003 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  11.71 t/s, tg_3s =  11.83 t/s
1.27.919.681 I slot print_timing: id  0 | task 1 | n_gen =    136, tg =  11.72 t/s, tg_3s =  11.75 t/s
1.29.022.619 I slot print_timing: id  0 | task 1 | prompt eval time =   46859.29 ms / 19458 tokens (    2.41 ms per token,   415.24 tokens per second)
1.29.022.631 I slot print_timing: id  0 | task 1 |        eval time =   12618.99 ms /   149 tokens (   85.26 ms per token,    11.73 tokens per second)
1.29.022.634 I slot print_timing: id  0 | task 1 |       total time =   59478.28 ms / 19607 tokens
1.29.022.645 I slot print_timing: id  0 | task 1 |    graphs reused =        221
1.29.024.841 I slot      release: id  0 | task 1 | stop processing: n_tokens = 19606, truncated = 0
