0.00.003.744 I srv  llama_server: initializing ...
0.00.882.379 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.889.185 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.894.462 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.24.658.785 I cmn          init: llama threadpool init, n_threads = 6
0.25.254.652 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.25.292.327 I srv  llama_server: model loaded
0.25.292.346 I srv  llama_server: listening on http://127.0.0.1:8080
0.25.292.349 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.35.860.181 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.35.862.537 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.39.000.710 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1448, progress = 0.92, t =   3.14 s / 461.43 tokens per second
0.39.147.810 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1492, progress = 0.94, t =   3.29 s / 454.16 tokens per second
0.39.321.653 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1576, progress = 1.00, t =   3.46 s / 455.62 tokens per second
0.44.382.874 I slot print_timing: id  0 | task 0 | prompt eval time =    3715.04 ms /  1580 tokens (    2.35 ms per token,   425.30 tokens per second)
0.44.382.887 I slot print_timing: id  0 | task 0 |        eval time =    4805.19 ms /    71 tokens (   68.65 ms per token,    14.57 tokens per second)
0.44.382.890 I slot print_timing: id  0 | task 0 |       total time =    8520.23 ms /  1651 tokens
0.44.382.900 I slot print_timing: id  0 | task 0 |    graphs reused =         74
0.44.383.340 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1650, truncated = 0
0.45.012.187 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.773 (> 0.100 thold), f_keep = 1.000
0.45.013.098 I slot launch_slot_: id  0 | task 77 | processing task, is_child = 0
0.53.000.687 I slot print_timing: id  0 | task 77 | n_gen =    100, tg =  14.55 t/s, tg_3s =  14.70 t/s
0.56.062.811 I slot print_timing: id  0 | task 77 | n_gen =    145, tg =  14.60 t/s, tg_3s =  14.70 t/s
0.59.081.965 I slot print_timing: id  0 | task 77 | n_gen =    189, tg =  14.59 t/s, tg_3s =  14.57 t/s
1.02.103.355 I slot print_timing: id  0 | task 77 | n_gen =    233, tg =  14.59 t/s, tg_3s =  14.56 t/s
1.05.123.731 I slot print_timing: id  0 | task 77 | n_gen =    277, tg =  14.58 t/s, tg_3s =  14.57 t/s
1.08.136.291 I slot print_timing: id  0 | task 77 | n_gen =    321, tg =  14.59 t/s, tg_3s =  14.61 t/s
1.11.150.801 I slot print_timing: id  0 | task 77 | n_gen =    365, tg =  14.59 t/s, tg_3s =  14.60 t/s
1.14.167.706 I slot print_timing: id  0 | task 77 | n_gen =    409, tg =  14.59 t/s, tg_3s =  14.58 t/s
1.15.772.275 I slot print_timing: id  0 | task 77 | prompt eval time =    1183.87 ms /   484 tokens (    2.45 ms per token,   408.83 tokens per second)
1.15.772.287 I slot print_timing: id  0 | task 77 |        eval time =   29575.23 ms /   432 tokens (   68.62 ms per token,    14.57 tokens per second)
1.15.772.290 I slot print_timing: id  0 | task 77 |       total time =   30759.09 ms /   916 tokens
1.15.772.293 I slot print_timing: id  0 | task 77 |    graphs reused =        502
1.15.772.776 I slot      release: id  0 | task 77 | stop processing: n_tokens = 2565, truncated = 0
1.17.803.230 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.657 (> 0.100 thold), f_keep = 0.615
1.17.804.249 I slot launch_slot_: id  0 | task 513 | processing task, is_child = 0
1.24.922.463 I slot print_timing: id  0 | task 513 | prompt eval time =    2091.56 ms /   825 tokens (    2.54 ms per token,   394.44 tokens per second)
1.24.922.478 I slot print_timing: id  0 | task 513 |        eval time =    5026.57 ms /    74 tokens (   68.86 ms per token,    14.52 tokens per second)
1.24.922.481 I slot print_timing: id  0 | task 513 |       total time =    7118.13 ms /   899 tokens
1.24.922.484 I slot print_timing: id  0 | task 513 |    graphs reused =        576
1.24.922.931 I slot      release: id  0 | task 513 | stop processing: n_tokens = 2474, truncated = 0
1.25.072.101 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.138 (> 0.100 thold), f_keep = 1.000
1.25.072.650 I slot launch_slot_: id  0 | task 592 | processing task, is_child = 0
1.28.198.167 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   1536, progress = 0.22, t =   3.13 s / 491.45 tokens per second
1.29.336.904 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   2048, progress = 0.25, t =   4.26 s / 480.28 tokens per second
1.30.484.535 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   2560, progress = 0.28, t =   5.41 s / 473.04 tokens per second
1.31.637.263 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   3072, progress = 0.31, t =   6.56 s / 467.97 tokens per second
1.32.799.934 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   3584, progress = 0.34, t =   7.73 s / 463.82 tokens per second
1.33.970.950 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   4096, progress = 0.37, t =   8.90 s / 460.32 tokens per second
1.35.150.086 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   4608, progress = 0.39, t =  10.08 s / 457.26 tokens per second
1.36.335.259 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   5120, progress = 0.42, t =  11.26 s / 454.60 tokens per second
1.37.524.710 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   5632, progress = 0.45, t =  12.45 s / 452.30 tokens per second
1.38.724.463 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   6144, progress = 0.48, t =  13.65 s / 450.05 tokens per second
1.39.928.621 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   6656, progress = 0.51, t =  14.86 s / 448.04 tokens per second
1.41.141.712 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   7168, progress = 0.54, t =  16.07 s / 446.08 tokens per second
1.42.361.667 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   7680, progress = 0.57, t =  17.29 s / 444.21 tokens per second
1.43.592.348 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   8192, progress = 0.59, t =  18.52 s / 442.34 tokens per second
1.44.825.575 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   8704, progress = 0.62, t =  19.75 s / 440.65 tokens per second
1.46.064.629 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   9216, progress = 0.65, t =  20.99 s / 439.03 tokens per second
1.47.311.996 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =   9728, progress = 0.68, t =  22.24 s / 437.42 tokens per second
1.48.569.203 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  10240, progress = 0.71, t =  23.50 s / 435.81 tokens per second
1.49.832.516 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  10752, progress = 0.74, t =  24.76 s / 434.25 tokens per second
1.51.104.262 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  11264, progress = 0.77, t =  26.03 s / 432.71 tokens per second
1.52.382.416 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  11776, progress = 0.79, t =  27.31 s / 431.20 tokens per second
1.53.665.984 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  12288, progress = 0.82, t =  28.59 s / 429.75 tokens per second
1.54.955.287 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  12800, progress = 0.85, t =  29.88 s / 428.34 tokens per second
1.56.247.929 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  13312, progress = 0.88, t =  31.18 s / 427.01 tokens per second
1.57.550.365 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  13824, progress = 0.91, t =  32.48 s / 425.65 tokens per second
1.58.857.982 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  14336, progress = 0.94, t =  33.79 s / 424.33 tokens per second
2.00.170.818 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  14848, progress = 0.97, t =  35.10 s / 423.04 tokens per second
2.01.560.681 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  15326, progress = 0.99, t =  36.49 s / 420.03 tokens per second
2.01.858.279 I slot print_timing: id  0 | task 592 | prompt processing, n_tokens =  15454, progress = 1.00, t =  36.79 s / 420.11 tokens per second
2.10.455.539 I slot print_timing: id  0 | task 592 | n_gen =    100, tg =  12.00 t/s, tg_3s =  12.12 t/s
2.13.457.807 I slot print_timing: id  0 | task 592 | n_gen =    136, tg =  12.00 t/s, tg_3s =  11.99 t/s
2.16.462.797 I slot print_timing: id  0 | task 592 | n_gen =    172, tg =  12.00 t/s, tg_3s =  11.98 t/s
2.19.462.878 I slot print_timing: id  0 | task 592 | n_gen =    208, tg =  12.00 t/s, tg_3s =  12.00 t/s
2.22.466.575 I slot print_timing: id  0 | task 592 | n_gen =    244, tg =  11.99 t/s, tg_3s =  11.99 t/s
2.25.498.839 I slot print_timing: id  0 | task 592 | n_gen =    280, tg =  11.98 t/s, tg_3s =  11.87 t/s
2.28.512.149 I slot print_timing: id  0 | task 592 | n_gen =    316, tg =  11.97 t/s, tg_3s =  11.95 t/s
2.31.525.008 I slot print_timing: id  0 | task 592 | n_gen =    352, tg =  11.97 t/s, tg_3s =  11.95 t/s
2.34.539.044 I slot print_timing: id  0 | task 592 | n_gen =    388, tg =  11.97 t/s, tg_3s =  11.94 t/s
2.37.557.006 I slot print_timing: id  0 | task 592 | n_gen =    424, tg =  11.97 t/s, tg_3s =  11.93 t/s
2.40.581.088 I slot print_timing: id  0 | task 592 | n_gen =    460, tg =  11.96 t/s, tg_3s =  11.90 t/s
2.43.593.603 I slot print_timing: id  0 | task 592 | n_gen =    496, tg =  11.96 t/s, tg_3s =  11.95 t/s
2.46.628.532 I slot print_timing: id  0 | task 592 | n_gen =    532, tg =  11.95 t/s, tg_3s =  11.86 t/s
2.49.639.941 I slot print_timing: id  0 | task 592 | n_gen =    568, tg =  11.95 t/s, tg_3s =  11.95 t/s
2.52.649.440 I slot print_timing: id  0 | task 592 | n_gen =    604, tg =  11.95 t/s, tg_3s =  11.96 t/s
2.55.657.495 I slot print_timing: id  0 | task 592 | n_gen =    640, tg =  11.95 t/s, tg_3s =  11.97 t/s
2.55.740.818 I slot print_timing: id  0 | task 592 | prompt eval time =   37134.34 ms / 15458 tokens (    2.40 ms per token,   416.27 tokens per second)
2.55.740.829 I slot print_timing: id  0 | task 592 |        eval time =   53533.76 ms /   641 tokens (   83.65 ms per token,    11.96 tokens per second)
2.55.740.832 I slot print_timing: id  0 | task 592 |       total time =   90668.10 ms / 16099 tokens
2.55.740.835 I slot print_timing: id  0 | task 592 |    graphs reused =       1272
2.55.742.549 I slot      release: id  0 | task 592 | stop processing: n_tokens = 18572, truncated = 0
2.55.902.734 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.997 (> 0.100 thold), f_keep = 1.000
2.55.903.767 I slot launch_slot_: id  0 | task 1265 | processing task, is_child = 0
3.03.530.963 I slot print_timing: id  0 | task 1265 | prompt eval time =     389.87 ms /    54 tokens (    7.22 ms per token,   138.51 tokens per second)
3.03.530.975 I slot print_timing: id  0 | task 1265 |        eval time =    7237.25 ms /    87 tokens (   84.15 ms per token,    11.88 tokens per second)
