0.00.001.972 I srv  llama_server: initializing ...
0.00.205.369 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.207.314 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.209.791 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.07.935.812 I cmn          init: llama threadpool init, n_threads = 6
0.08.332.062 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.08.359.320 I srv  llama_server: model loaded
0.08.359.345 I srv  llama_server: listening on http://127.0.0.1:8080
0.08.359.347 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.12.379.313 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.12.380.611 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.15.541.861 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1492, progress = 0.04, t =   3.16 s / 471.98 tokens per second
0.16.544.543 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2004, progress = 0.06, t =   4.16 s / 481.29 tokens per second
0.17.659.319 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2516, progress = 0.07, t =   5.28 s / 476.64 tokens per second
0.18.779.964 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3028, progress = 0.09, t =   6.40 s / 473.18 tokens per second
0.19.905.931 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3540, progress = 0.10, t =   7.53 s / 470.42 tokens per second
0.21.037.063 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4052, progress = 0.12, t =   8.66 s / 468.10 tokens per second
0.22.177.774 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4564, progress = 0.13, t =   9.80 s / 465.85 tokens per second
0.23.331.874 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5076, progress = 0.15, t =  10.95 s / 463.51 tokens per second
0.24.485.349 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5588, progress = 0.16, t =  12.10 s / 461.64 tokens per second
0.25.648.112 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6100, progress = 0.17, t =  13.27 s / 459.77 tokens per second
0.26.821.531 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6612, progress = 0.19, t =  14.44 s / 457.87 tokens per second
0.28.001.302 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7124, progress = 0.20, t =  15.62 s / 456.06 tokens per second
0.29.186.618 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7636, progress = 0.22, t =  16.81 s / 454.36 tokens per second
0.30.377.346 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8148, progress = 0.23, t =  18.00 s / 452.75 tokens per second
0.31.573.004 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8660, progress = 0.25, t =  19.19 s / 451.22 tokens per second
0.32.777.726 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9172, progress = 0.26, t =  20.40 s / 449.67 tokens per second
0.33.990.818 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9684, progress = 0.28, t =  21.61 s / 448.12 tokens per second
0.35.207.745 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10196, progress = 0.29, t =  22.83 s / 446.66 tokens per second
0.36.435.701 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10708, progress = 0.31, t =  24.05 s / 445.15 tokens per second
0.37.667.781 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11220, progress = 0.32, t =  25.29 s / 443.70 tokens per second
0.38.902.390 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11732, progress = 0.34, t =  26.52 s / 442.35 tokens per second
0.40.148.092 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12244, progress = 0.35, t =  27.77 s / 440.95 tokens per second
0.41.403.329 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12756, progress = 0.36, t =  29.02 s / 439.52 tokens per second
0.42.665.138 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13268, progress = 0.38, t =  30.28 s / 438.11 tokens per second
0.43.933.253 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13780, progress = 0.39, t =  31.55 s / 436.73 tokens per second
0.45.209.706 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14292, progress = 0.41, t =  32.83 s / 435.35 tokens per second
0.46.495.158 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14804, progress = 0.42, t =  34.11 s / 433.95 tokens per second
0.47.784.897 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15316, progress = 0.44, t =  35.40 s / 432.60 tokens per second
0.49.080.802 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15828, progress = 0.45, t =  36.70 s / 431.28 tokens per second
0.50.384.153 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16340, progress = 0.47, t =  38.00 s / 429.96 tokens per second
0.51.692.382 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16852, progress = 0.48, t =  39.31 s / 428.68 tokens per second
0.53.009.519 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17364, progress = 0.50, t =  40.63 s / 427.38 tokens per second
0.54.330.828 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17876, progress = 0.51, t =  41.95 s / 426.13 tokens per second
0.55.659.705 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18388, progress = 0.53, t =  43.28 s / 424.87 tokens per second
0.56.409.303 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18629, progress = 0.53, t =  44.03 s / 423.11 tokens per second
0.57.662.807 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19141, progress = 0.55, t =  45.28 s / 422.71 tokens per second
0.59.008.738 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  19653, progress = 0.56, t =  46.63 s / 421.48 tokens per second
1.00.361.200 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  20165, progress = 0.58, t =  47.98 s / 420.27 tokens per second
1.01.721.317 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  20677, progress = 0.59, t =  49.34 s / 419.07 tokens per second
1.03.087.259 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  21189, progress = 0.61, t =  50.71 s / 417.87 tokens per second
