0.00.003.747 I srv  llama_server: initializing ...
0.00.850.064 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.856.014 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.860.997 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.24.556.979 I cmn          init: llama threadpool init, n_threads = 6
0.25.112.217 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.25.158.125 I srv  llama_server: model loaded
0.25.158.148 I srv  llama_server: listening on http://127.0.0.1:8080
0.25.158.150 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.35.739.023 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.35.740.620 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.38.851.628 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1424, progress = 0.92, t =   3.11 s / 457.74 tokens per second
0.38.977.372 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1491, progress = 0.96, t =   3.24 s / 460.66 tokens per second
0.39.165.475 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1552, progress = 1.00, t =   3.42 s / 453.17 tokens per second
0.46.144.938 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  14.64 t/s, tg_3s =  14.79 t/s
0.46.686.631 I slot print_timing: id  0 | task 1 | prompt eval time =    3640.90 ms /  1556 tokens (    2.34 ms per token,   427.37 tokens per second)
0.46.686.643 I slot print_timing: id  0 | task 1 |        eval time =    7305.03 ms /   108 tokens (   68.27 ms per token,    14.65 tokens per second)
0.46.686.646 I slot print_timing: id  0 | task 1 |       total time =   10945.93 ms /  1664 tokens
0.46.686.658 I slot print_timing: id  0 | task 1 |    graphs reused =        111
0.46.687.091 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1663, truncated = 0
0.47.267.936 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.693 (> 0.100 thold), f_keep = 1.000
0.47.268.804 I slot launch_slot_: id  0 | task 115 | processing task, is_child = 0
0.55.841.536 I slot print_timing: id  0 | task 115 | n_gen =    100, tg =  14.50 t/s, tg_3s =  14.65 t/s
0.58.867.218 I slot print_timing: id  0 | task 115 | n_gen =    144, tg =  14.51 t/s, tg_3s =  14.54 t/s
1.01.920.307 I slot print_timing: id  0 | task 115 | n_gen =    188, tg =  14.49 t/s, tg_3s =  14.41 t/s
1.03.503.329 I slot print_timing: id  0 | task 115 | prompt eval time =    1745.98 ms /   738 tokens (    2.37 ms per token,   422.69 tokens per second)
1.03.503.342 I slot print_timing: id  0 | task 115 |        eval time =   14488.48 ms /   211 tokens (   68.99 ms per token,    14.49 tokens per second)
1.03.503.344 I slot print_timing: id  0 | task 115 |       total time =   16234.45 ms /   949 tokens
1.03.503.347 I slot print_timing: id  0 | task 115 |    graphs reused =        320
1.03.503.783 I slot      release: id  0 | task 115 | stop processing: n_tokens = 2611, truncated = 0
1.03.600.895 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.618 (> 0.100 thold), f_keep = 1.000
1.03.601.804 I slot launch_slot_: id  0 | task 330 | processing task, is_child = 0
1.06.784.257 I slot print_timing: id  0 | task 330 | prompt processing, n_tokens =   1483, progress = 0.97, t =   3.18 s / 466.00 tokens per second
1.07.023.183 I slot print_timing: id  0 | task 330 | prompt processing, n_tokens =   1611, progress = 1.00, t =   3.42 s / 470.87 tokens per second
