0.00.003.774 I srv  llama_server: initializing ...
0.00.884.772 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.891.646 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.897.211 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.24.172.871 I cmn          init: llama threadpool init, n_threads = 6
0.24.714.469 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.24.766.665 I srv  llama_server: model loaded
0.24.766.689 I srv  llama_server: listening on http://127.0.0.1:8080
0.24.766.691 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.30.175.237 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.30.175.503 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.39.435.505 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  14.49 t/s, tg_3s =  14.63 t/s
0.42.444.817 I slot print_timing: id  0 | task 1 | n_gen =    144, tg =  14.53 t/s, tg_3s =  14.62 t/s
0.45.452.606 I slot print_timing: id  0 | task 1 | n_gen =    188, tg =  14.55 t/s, tg_3s =  14.63 t/s
0.48.473.772 I slot print_timing: id  0 | task 1 | n_gen =    232, tg =  14.55 t/s, tg_3s =  14.56 t/s
0.51.509.324 I slot print_timing: id  0 | task 1 | n_gen =    276, tg =  14.54 t/s, tg_3s =  14.49 t/s
0.54.510.533 I slot print_timing: id  0 | task 1 | n_gen =    319, tg =  14.52 t/s, tg_3s =  14.33 t/s
0.57.558.078 I slot print_timing: id  0 | task 1 | n_gen =    363, tg =  14.51 t/s, tg_3s =  14.44 t/s
1.00.593.325 I slot print_timing: id  0 | task 1 | n_gen =    407, tg =  14.50 t/s, tg_3s =  14.50 t/s
1.03.645.639 I slot print_timing: id  0 | task 1 | n_gen =    451, tg =  14.50 t/s, tg_3s =  14.42 t/s
1.06.679.946 I slot print_timing: id  0 | task 1 | n_gen =    495, tg =  14.50 t/s, tg_3s =  14.50 t/s
1.09.734.778 I slot print_timing: id  0 | task 1 | n_gen =    539, tg =  14.49 t/s, tg_3s =  14.40 t/s
1.12.791.620 I slot print_timing: id  0 | task 1 | n_gen =    583, tg =  14.48 t/s, tg_3s =  14.39 t/s
