0.00.003.828 I srv  llama_server: initializing ...
0.00.868.980 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.875.740 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.881.170 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q4_K_M.gguf'
0.24.098.770 I cmn          init: llama threadpool init, n_threads = 6
0.24.650.633 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.24.699.975 I srv  llama_server: model loaded
0.24.700.000 I srv  llama_server: listening on http://127.0.0.1:8080
0.24.700.003 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.33.672.119 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.33.674.453 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.36.819.937 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1451, progress = 0.92, t =   3.15 s / 461.32 tokens per second
0.36.968.000 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1495, progress = 0.94, t =   3.29 s / 453.93 tokens per second
0.37.143.993 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1579, progress = 1.00, t =   3.47 s / 455.12 tokens per second
0.42.525.036 I slot print_timing: id  0 | task 0 | prompt eval time =    3718.55 ms /  1583 tokens (    2.35 ms per token,   425.70 tokens per second)
0.42.525.052 I slot print_timing: id  0 | task 0 |        eval time =    5131.92 ms /    76 tokens (   68.43 ms per token,    14.61 tokens per second)
0.42.525.055 I slot print_timing: id  0 | task 0 |       total time =    8850.47 ms /  1659 tokens
0.42.525.065 I slot print_timing: id  0 | task 0 |    graphs reused =         79
0.42.525.440 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1658, truncated = 0
0.43.143.579 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.774 (> 0.100 thold), f_keep = 1.000
0.43.144.428 I slot launch_slot_: id  0 | task 82 | processing task, is_child = 0
0.51.127.148 I slot print_timing: id  0 | task 82 | n_gen =    100, tg =  14.55 t/s, tg_3s =  14.70 t/s
0.54.138.017 I slot print_timing: id  0 | task 82 | n_gen =    144, tg =  14.57 t/s, tg_3s =  14.61 t/s
0.57.163.135 I slot print_timing: id  0 | task 82 | n_gen =    188, tg =  14.56 t/s, tg_3s =  14.54 t/s
1.00.174.304 I slot print_timing: id  0 | task 82 | n_gen =    232, tg =  14.57 t/s, tg_3s =  14.61 t/s
1.03.190.955 I slot print_timing: id  0 | task 82 | n_gen =    276, tg =  14.57 t/s, tg_3s =  14.59 t/s
1.03.946.272 I slot print_timing: id  0 | task 82 | prompt eval time =    1178.31 ms /   484 tokens (    2.43 ms per token,   410.76 tokens per second)
1.03.946.284 I slot print_timing: id  0 | task 82 |        eval time =   19623.46 ms /   287 tokens (   68.61 ms per token,    14.57 tokens per second)
1.03.946.286 I slot print_timing: id  0 | task 82 |       total time =   20801.77 ms /   771 tokens
1.03.946.289 I slot print_timing: id  0 | task 82 |    graphs reused =        363
