0.00.001.610 I srv  llama_server: initializing ...
0.00.175.444 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.178.354 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.181.154 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q8_0.gguf'
0.10.927.312 I cmn          init: llama threadpool init, n_threads = 6
0.11.299.100 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.11.328.862 I srv  llama_server: model loaded
0.11.328.886 I srv  llama_server: listening on http://127.0.0.1:8080
0.11.328.888 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.17.432.623 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.17.434.341 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.20.558.713 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1488, progress = 0.94, t =   3.12 s / 476.32 tokens per second
0.20.727.666 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1574, progress = 1.00, t =   3.29 s / 478.00 tokens per second
0.25.435.875 I slot print_timing: id  0 | task 0 | prompt eval time =    3551.80 ms /  1578 tokens (    2.25 ms per token,   444.28 tokens per second)
0.25.435.890 I slot print_timing: id  0 | task 0 |        eval time =    4449.29 ms /    57 tokens (   79.45 ms per token,    12.59 tokens per second)
0.25.435.892 I slot print_timing: id  0 | task 0 |       total time =    8001.09 ms /  1635 tokens
0.25.435.907 I slot print_timing: id  0 | task 0 |    graphs reused =         60
0.25.436.311 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1634, truncated = 0
0.25.536.043 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.971 (> 0.100 thold), f_keep = 1.000
0.25.536.866 I slot launch_slot_: id  0 | task 63 | processing task, is_child = 0
0.33.660.330 I slot print_timing: id  0 | task 63 | n_gen =    100, tg =  12.66 t/s, tg_3s =  12.79 t/s
0.36.665.460 I slot print_timing: id  0 | task 63 | n_gen =    138, tg =  12.66 t/s, tg_3s =  12.65 t/s
0.38.168.280 I slot print_timing: id  0 | task 63 | prompt eval time =     303.24 ms /    48 tokens (    6.32 ms per token,   158.29 tokens per second)
0.38.168.306 I slot print_timing: id  0 | task 63 |        eval time =   12327.69 ms /   157 tokens (   79.02 ms per token,    12.65 tokens per second)
0.38.168.310 I slot print_timing: id  0 | task 63 |       total time =   12630.93 ms /   205 tokens
0.38.168.317 I slot print_timing: id  0 | task 63 |    graphs reused =        214
0.38.169.242 I slot      release: id  0 | task 63 | stop processing: n_tokens = 1838, truncated = 0
0.38.377.234 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.462 (> 0.100 thold), f_keep = 1.000
0.38.378.441 I slot launch_slot_: id  0 | task 222 | processing task, is_child = 0
0.42.397.465 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   2011, progress = 0.97, t =   4.02 s / 500.38 tokens per second
0.42.638.093 I slot print_timing: id  0 | task 222 | prompt processing, n_tokens =   2139, progress = 1.00, t =   4.26 s / 502.16 tokens per second
0.50.951.336 I slot print_timing: id  0 | task 222 | n_gen =    100, tg =  12.36 t/s, tg_3s =  12.48 t/s
0.53.959.624 I slot print_timing: id  0 | task 222 | n_gen =    137, tg =  12.34 t/s, tg_3s =  12.30 t/s
0.57.037.757 I slot print_timing: id  0 | task 222 | n_gen =    175, tg =  12.34 t/s, tg_3s =  12.35 t/s
1.00.113.128 I slot print_timing: id  0 | task 222 | n_gen =    213, tg =  12.35 t/s, tg_3s =  12.36 t/s
1.03.190.803 I slot print_timing: id  0 | task 222 | n_gen =    251, tg =  12.35 t/s, tg_3s =  12.35 t/s
1.06.262.194 I slot print_timing: id  0 | task 222 | n_gen =    289, tg =  12.35 t/s, tg_3s =  12.37 t/s
1.09.337.730 I slot print_timing: id  0 | task 222 | n_gen =    327, tg =  12.35 t/s, tg_3s =  12.36 t/s
1.12.418.549 I slot print_timing: id  0 | task 222 | n_gen =    365, tg =  12.35 t/s, tg_3s =  12.33 t/s
1.15.438.811 I slot print_timing: id  0 | task 222 | n_gen =    402, tg =  12.34 t/s, tg_3s =  12.25 t/s
1.18.450.343 I slot print_timing: id  0 | task 222 | n_gen =    439, tg =  12.33 t/s, tg_3s =  12.29 t/s
1.21.460.914 I slot print_timing: id  0 | task 222 | n_gen =    476, tg =  12.33 t/s, tg_3s =  12.29 t/s
