0.00.001.828 I srv  llama_server: initializing ...
0.00.209.844 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.212.205 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.215.024 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q8_0.gguf'
0.16.282.536 I cmn          init: llama threadpool init, n_threads = 6
0.16.702.470 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.16.728.246 I srv  llama_server: model loaded
0.16.728.264 I srv  llama_server: listening on http://127.0.0.1:8080
0.16.728.265 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.23.571.918 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.23.573.427 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.26.699.878 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1492, progress = 0.94, t =   3.13 s / 477.23 tokens per second
0.26.867.153 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1576, progress = 1.00, t =   3.29 s / 478.50 tokens per second
0.32.359.742 I slot print_timing: id  0 | task 0 | prompt eval time =    3551.41 ms /  1580 tokens (    2.25 ms per token,   444.89 tokens per second)
0.32.359.755 I slot print_timing: id  0 | task 0 |        eval time =    5234.80 ms /    67 tokens (   79.32 ms per token,    12.61 tokens per second)
0.32.359.758 I slot print_timing: id  0 | task 0 |       total time =    8786.21 ms /  1647 tokens
0.32.359.768 I slot print_timing: id  0 | task 0 |    graphs reused =         70
0.32.360.128 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1646, truncated = 0
0.32.941.612 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.773 (> 0.100 thold), f_keep = 1.000
0.32.942.499 I slot launch_slot_: id  0 | task 73 | processing task, is_child = 0
0.41.902.209 I slot print_timing: id  0 | task 73 | n_gen =    100, tg =  12.64 t/s, tg_3s =  12.77 t/s
0.44.980.728 I slot print_timing: id  0 | task 73 | n_gen =    139, tg =  12.65 t/s, tg_3s =  12.67 t/s
0.47.993.256 I slot print_timing: id  0 | task 73 | n_gen =    177, tg =  12.64 t/s, tg_3s =  12.61 t/s
0.50.997.786 I slot print_timing: id  0 | task 73 | n_gen =    215, tg =  12.64 t/s, tg_3s =  12.65 t/s
0.51.551.609 I slot print_timing: id  0 | task 73 | prompt eval time =    1126.14 ms /   484 tokens (    2.33 ms per token,   429.78 tokens per second)
0.51.551.623 I slot print_timing: id  0 | task 73 |        eval time =   17482.89 ms /   222 tokens (   79.11 ms per token,    12.64 tokens per second)
0.51.551.626 I slot print_timing: id  0 | task 73 |       total time =   18609.04 ms /   706 tokens
0.51.551.629 I slot print_timing: id  0 | task 73 |    graphs reused =        289
0.51.552.041 I slot      release: id  0 | task 73 | stop processing: n_tokens = 2351, truncated = 0
