0.00.001.416 I srv  llama_server: initializing ...
0.00.189.003 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.191.213 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.193.832 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q8_0.gguf'
0.16.446.909 I cmn          init: llama threadpool init, n_threads = 6
0.16.854.798 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.16.883.824 I srv  llama_server: model loaded
0.16.883.849 I srv  llama_server: listening on http://127.0.0.1:8080
0.16.883.851 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.21.627.054 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.21.627.262 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.24.861.120 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1598, progress = 0.57, t =   3.23 s / 494.16 tokens per second
0.25.900.408 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2110, progress = 0.76, t =   4.27 s / 493.79 tokens per second
0.26.945.149 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2622, progress = 0.94, t =   5.32 s / 493.06 tokens per second
0.27.161.177 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2657, progress = 0.95, t =   5.53 s / 480.14 tokens per second
0.27.376.190 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2785, progress = 1.00, t =   5.75 s / 484.45 tokens per second
0.35.626.749 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  12.45 t/s, tg_3s =  12.57 t/s
0.38.662.299 I slot print_timing: id  0 | task 1 | n_gen =    138, tg =  12.47 t/s, tg_3s =  12.52 t/s
0.41.697.784 I slot print_timing: id  0 | task 1 | n_gen =    176, tg =  12.48 t/s, tg_3s =  12.52 t/s
0.44.747.249 I slot print_timing: id  0 | task 1 | n_gen =    214, tg =  12.47 t/s, tg_3s =  12.46 t/s
0.47.786.740 I slot print_timing: id  0 | task 1 | n_gen =    252, tg =  12.48 t/s, tg_3s =  12.50 t/s
0.50.840.601 I slot print_timing: id  0 | task 1 | n_gen =    290, tg =  12.47 t/s, tg_3s =  12.44 t/s
0.53.895.079 I slot print_timing: id  0 | task 1 | n_gen =    328, tg =  12.47 t/s, tg_3s =  12.44 t/s
0.56.945.655 I slot print_timing: id  0 | task 1 | n_gen =    366, tg =  12.47 t/s, tg_3s =  12.46 t/s
1.00.000.022 I slot print_timing: id  0 | task 1 | n_gen =    404, tg =  12.47 t/s, tg_3s =  12.44 t/s
1.03.057.225 I slot print_timing: id  0 | task 1 | n_gen =    442, tg =  12.46 t/s, tg_3s =  12.43 t/s
1.06.107.758 I slot print_timing: id  0 | task 1 | n_gen =    480, tg =  12.46 t/s, tg_3s =  12.46 t/s
1.09.155.677 I slot print_timing: id  0 | task 1 | n_gen =    518, tg =  12.46 t/s, tg_3s =  12.47 t/s
1.12.223.245 I slot print_timing: id  0 | task 1 | n_gen =    556, tg =  12.46 t/s, tg_3s =  12.39 t/s
1.15.276.597 I slot print_timing: id  0 | task 1 | n_gen =    594, tg =  12.46 t/s, tg_3s =  12.45 t/s
1.18.330.543 I slot print_timing: id  0 | task 1 | n_gen =    632, tg =  12.46 t/s, tg_3s =  12.44 t/s
1.21.386.404 I slot print_timing: id  0 | task 1 | n_gen =    670, tg =  12.45 t/s, tg_3s =  12.44 t/s
1.24.445.255 I slot print_timing: id  0 | task 1 | n_gen =    708, tg =  12.45 t/s, tg_3s =  12.42 t/s
1.27.497.007 I slot print_timing: id  0 | task 1 | n_gen =    746, tg =  12.45 t/s, tg_3s =  12.45 t/s
1.30.555.111 I slot print_timing: id  0 | task 1 | n_gen =    784, tg =  12.45 t/s, tg_3s =  12.43 t/s
1.33.555.662 I slot print_timing: id  0 | task 1 | n_gen =    821, tg =  12.45 t/s, tg_3s =  12.33 t/s
1.36.621.821 I slot print_timing: id  0 | task 1 | n_gen =    859, tg =  12.44 t/s, tg_3s =  12.39 t/s
1.39.701.669 I slot print_timing: id  0 | task 1 | n_gen =    897, tg =  12.44 t/s, tg_3s =  12.34 t/s
1.42.776.393 I slot print_timing: id  0 | task 1 | n_gen =    935, tg =  12.44 t/s, tg_3s =  12.36 t/s
