0.00.004.012 I srv  llama_server: initializing ...
0.00.894.807 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.901.637 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.907.384 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q8_0.gguf'
0.36.862.781 I cmn          init: llama threadpool init, n_threads = 6
0.37.462.276 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.37.519.733 I srv  llama_server: model loaded
0.37.519.754 I srv  llama_server: listening on http://127.0.0.1:8080
0.37.519.755 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.48.423.983 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.48.429.524 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.51.552.862 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1490, progress = 0.96, t =   3.12 s / 477.07 tokens per second
0.51.742.218 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1551, progress = 1.00, t =   3.31 s / 468.21 tokens per second
0.57.251.551 I slot print_timing: id  0 | task 1 | prompt eval time =    3554.13 ms /  1555 tokens (    2.29 ms per token,   437.52 tokens per second)
0.57.251.563 I slot print_timing: id  0 | task 1 |        eval time =    5267.78 ms /    67 tokens (   79.81 ms per token,    12.53 tokens per second)
0.57.251.565 I slot print_timing: id  0 | task 1 |       total time =    8821.91 ms /  1622 tokens
0.57.251.575 I slot print_timing: id  0 | task 1 |    graphs reused =         70
0.57.252.405 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1621, truncated = 0
0.58.136.624 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.687 (> 0.100 thold), f_keep = 1.000
0.58.137.479 I slot launch_slot_: id  0 | task 74 | processing task, is_child = 0
1.07.666.649 I slot print_timing: id  0 | task 74 | n_gen =    100, tg =  12.57 t/s, tg_3s =  12.70 t/s
1.10.686.381 I slot print_timing: id  0 | task 74 | n_gen =    138, tg =  12.57 t/s, tg_3s =  12.58 t/s
1.12.832.742 I slot print_timing: id  0 | task 74 | prompt eval time =    1653.76 ms /   738 tokens (    2.24 ms per token,   446.25 tokens per second)
1.12.832.757 I slot print_timing: id  0 | task 74 |        eval time =   13041.07 ms /   165 tokens (   79.52 ms per token,    12.58 tokens per second)
1.12.832.760 I slot print_timing: id  0 | task 74 |       total time =   14694.83 ms /   903 tokens
1.12.832.763 I slot print_timing: id  0 | task 74 |    graphs reused =        234
1.12.839.256 I slot      release: id  0 | task 74 | stop processing: n_tokens = 2523, truncated = 0
1.12.975.687 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.548 (> 0.100 thold), f_keep = 1.000
1.12.976.509 I slot launch_slot_: id  0 | task 243 | processing task, is_child = 0
1.16.978.576 I slot print_timing: id  0 | task 243 | prompt processing, n_tokens =   1952, progress = 0.97, t =   4.00 s / 487.76 tokens per second
1.17.148.583 I slot print_timing: id  0 | task 243 | prompt processing, n_tokens =   2080, progress = 1.00, t =   4.17 s / 498.56 tokens per second
1.25.558.486 I slot print_timing: id  0 | task 243 | n_gen =    100, tg =  12.22 t/s, tg_3s =  12.34 t/s
1.28.567.111 I slot print_timing: id  0 | task 243 | n_gen =    137, tg =  12.24 t/s, tg_3s =  12.30 t/s
1.31.577.597 I slot print_timing: id  0 | task 243 | n_gen =    174, tg =  12.25 t/s, tg_3s =  12.29 t/s
1.34.582.394 I slot print_timing: id  0 | task 243 | n_gen =    211, tg =  12.26 t/s, tg_3s =  12.31 t/s
1.37.586.514 I slot print_timing: id  0 | task 243 | n_gen =    248, tg =  12.27 t/s, tg_3s =  12.32 t/s
1.40.608.487 I slot print_timing: id  0 | task 243 | n_gen =    285, tg =  12.27 t/s, tg_3s =  12.24 t/s
1.43.617.672 I slot print_timing: id  0 | task 243 | n_gen =    322, tg =  12.27 t/s, tg_3s =  12.30 t/s
1.46.627.939 I slot print_timing: id  0 | task 243 | n_gen =    359, tg =  12.27 t/s, tg_3s =  12.29 t/s
1.49.639.990 I slot print_timing: id  0 | task 243 | n_gen =    396, tg =  12.27 t/s, tg_3s =  12.28 t/s
1.52.652.979 I slot print_timing: id  0 | task 243 | n_gen =    433, tg =  12.27 t/s, tg_3s =  12.28 t/s
1.55.664.747 I slot print_timing: id  0 | task 243 | n_gen =    470, tg =  12.27 t/s, tg_3s =  12.29 t/s
1.58.676.965 I slot print_timing: id  0 | task 243 | n_gen =    507, tg =  12.28 t/s, tg_3s =  12.28 t/s
2.01.711.290 I slot print_timing: id  0 | task 243 | n_gen =    544, tg =  12.27 t/s, tg_3s =  12.19 t/s
2.04.730.957 I slot print_timing: id  0 | task 243 | n_gen =    581, tg =  12.27 t/s, tg_3s =  12.25 t/s
2.07.751.451 I slot print_timing: id  0 | task 243 | n_gen =    618, tg =  12.27 t/s, tg_3s =  12.25 t/s
2.10.780.487 I slot print_timing: id  0 | task 243 | n_gen =    655, tg =  12.26 t/s, tg_3s =  12.22 t/s
2.13.806.284 I slot print_timing: id  0 | task 243 | n_gen =    692, tg =  12.26 t/s, tg_3s =  12.23 t/s
2.16.833.384 I slot print_timing: id  0 | task 243 | n_gen =    729, tg =  12.26 t/s, tg_3s =  12.22 t/s
2.19.857.160 I slot print_timing: id  0 | task 243 | n_gen =    766, tg =  12.26 t/s, tg_3s =  12.24 t/s
2.22.903.214 I slot print_timing: id  0 | task 243 | n_gen =    803, tg =  12.25 t/s, tg_3s =  12.15 t/s
2.25.940.786 I slot print_timing: id  0 | task 243 | n_gen =    840, tg =  12.25 t/s, tg_3s =  12.18 t/s
2.28.971.447 I slot print_timing: id  0 | task 243 | n_gen =    877, tg =  12.25 t/s, tg_3s =  12.21 t/s
2.32.002.893 I slot print_timing: id  0 | task 243 | n_gen =    914, tg =  12.25 t/s, tg_3s =  12.20 t/s
2.35.033.321 I slot print_timing: id  0 | task 243 | n_gen =    951, tg =  12.25 t/s, tg_3s =  12.21 t/s
2.38.065.905 I slot print_timing: id  0 | task 243 | n_gen =    988, tg =  12.24 t/s, tg_3s =  12.20 t/s
2.41.097.736 I slot print_timing: id  0 | task 243 | n_gen =   1025, tg =  12.24 t/s, tg_3s =  12.20 t/s
2.44.154.107 I slot print_timing: id  0 | task 243 | n_gen =   1062, tg =  12.24 t/s, tg_3s =  12.11 t/s
2.47.194.084 I slot print_timing: id  0 | task 243 | n_gen =   1099, tg =  12.24 t/s, tg_3s =  12.17 t/s
2.50.246.620 I slot print_timing: id  0 | task 243 | n_gen =   1136, tg =  12.23 t/s, tg_3s =  12.12 t/s
2.53.303.936 I slot print_timing: id  0 | task 243 | n_gen =   1173, tg =  12.23 t/s, tg_3s =  12.10 t/s
2.56.348.336 I slot print_timing: id  0 | task 243 | n_gen =   1210, tg =  12.23 t/s, tg_3s =  12.15 t/s
2.59.393.498 I slot print_timing: id  0 | task 243 | n_gen =   1247, tg =  12.22 t/s, tg_3s =  12.15 t/s
3.02.461.682 I slot print_timing: id  0 | task 243 | n_gen =   1284, tg =  12.22 t/s, tg_3s =  12.06 t/s
3.05.533.424 I slot print_timing: id  0 | task 243 | n_gen =   1321, tg =  12.21 t/s, tg_3s =  12.05 t/s
