0.00.004.009 I srv  llama_server: initializing ...
0.00.869.590 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.875.581 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.880.598 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q8_0.gguf'
0.37.301.641 I cmn          init: llama threadpool init, n_threads = 6
0.37.867.169 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.37.922.353 I srv  llama_server: model loaded
0.37.922.377 I srv  llama_server: listening on http://127.0.0.1:8080
0.37.922.379 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.44.141.757 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.44.143.557 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.47.199.483 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1490, progress = 0.27, t =   3.06 s / 487.60 tokens per second
0.48.137.388 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2002, progress = 0.36, t =   3.99 s / 501.29 tokens per second
0.49.184.419 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2514, progress = 0.46, t =   5.04 s / 498.74 tokens per second
0.50.233.778 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3026, progress = 0.55, t =   6.09 s / 496.87 tokens per second
0.51.287.702 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3538, progress = 0.64, t =   7.14 s / 495.24 tokens per second
0.52.345.431 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4050, progress = 0.73, t =   8.20 s / 493.80 tokens per second
0.53.411.363 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4562, progress = 0.83, t =   9.27 s / 492.25 tokens per second
0.54.482.242 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5074, progress = 0.92, t =  10.34 s / 490.78 tokens per second
0.55.327.754 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5387, progress = 0.98, t =  11.18 s / 481.67 tokens per second
0.55.514.038 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5459, progress = 0.99, t =  11.37 s / 480.11 tokens per second
0.55.707.824 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5515, progress = 1.00, t =  11.56 s / 476.90 tokens per second
1.04.145.139 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  12.09 t/s, tg_3s =  12.21 t/s
1.07.205.465 I slot print_timing: id  0 | task 1 | n_gen =    137, tg =  12.09 t/s, tg_3s =  12.09 t/s
1.10.253.094 I slot print_timing: id  0 | task 1 | n_gen =    174, tg =  12.10 t/s, tg_3s =  12.14 t/s
1.13.297.950 I slot print_timing: id  0 | task 1 | n_gen =    211, tg =  12.11 t/s, tg_3s =  12.15 t/s
1.16.346.091 I slot print_timing: id  0 | task 1 | n_gen =    248, tg =  12.11 t/s, tg_3s =  12.14 t/s
1.18.979.871 I slot print_timing: id  0 | task 1 | prompt eval time =   11809.54 ms /  5519 tokens (    2.14 ms per token,   467.33 tokens per second)
1.18.979.886 I slot print_timing: id  0 | task 1 |        eval time =   23026.66 ms /   280 tokens (   82.53 ms per token,    12.12 tokens per second)
1.18.979.889 I slot print_timing: id  0 | task 1 |       total time =   34836.19 ms /  5799 tokens
1.18.979.899 I slot print_timing: id  0 | task 1 |    graphs reused =        297
1.18.980.667 I slot      release: id  0 | task 1 | stop processing: n_tokens = 5798, truncated = 0
1.19.144.562 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.941 (> 0.100 thold), f_keep = 1.000
1.19.145.486 I slot launch_slot_: id  0 | task 295 | processing task, is_child = 0
1.28.272.592 I slot print_timing: id  0 | task 295 | n_gen =    100, tg =  12.08 t/s, tg_3s =  12.20 t/s
1.31.326.198 I slot print_timing: id  0 | task 295 | n_gen =    137, tg =  12.09 t/s, tg_3s =  12.12 t/s
1.34.384.140 I slot print_timing: id  0 | task 295 | n_gen =    174, tg =  12.09 t/s, tg_3s =  12.10 t/s
1.37.445.976 I slot print_timing: id  0 | task 295 | n_gen =    211, tg =  12.09 t/s, tg_3s =  12.08 t/s
1.40.517.385 I slot print_timing: id  0 | task 295 | n_gen =    248, tg =  12.08 t/s, tg_3s =  12.05 t/s
1.43.583.524 I slot print_timing: id  0 | task 295 | n_gen =    285, tg =  12.08 t/s, tg_3s =  12.07 t/s
1.46.647.329 I slot print_timing: id  0 | task 295 | n_gen =    322, tg =  12.08 t/s, tg_3s =  12.08 t/s
1.49.709.684 I slot print_timing: id  0 | task 295 | n_gen =    359, tg =  12.08 t/s, tg_3s =  12.08 t/s
1.52.774.218 I slot print_timing: id  0 | task 295 | n_gen =    396, tg =  12.08 t/s, tg_3s =  12.07 t/s
1.55.839.994 I slot print_timing: id  0 | task 295 | n_gen =    433, tg =  12.08 t/s, tg_3s =  12.07 t/s
1.58.903.872 I slot print_timing: id  0 | task 295 | n_gen =    470, tg =  12.08 t/s, tg_3s =  12.08 t/s
2.01.904.782 I slot print_timing: id  0 | task 295 | n_gen =    506, tg =  12.07 t/s, tg_3s =  12.00 t/s
2.04.983.801 I slot print_timing: id  0 | task 295 | n_gen =    543, tg =  12.07 t/s, tg_3s =  12.02 t/s
2.08.060.886 I slot print_timing: id  0 | task 295 | n_gen =    580, tg =  12.07 t/s, tg_3s =  12.02 t/s
2.11.140.674 I slot print_timing: id  0 | task 295 | n_gen =    617, tg =  12.06 t/s, tg_3s =  12.01 t/s
2.14.217.627 I slot print_timing: id  0 | task 295 | n_gen =    654, tg =  12.06 t/s, tg_3s =  12.02 t/s
2.17.219.046 I slot print_timing: id  0 | task 295 | n_gen =    690, tg =  12.06 t/s, tg_3s =  11.99 t/s
2.20.219.343 I slot print_timing: id  0 | task 295 | n_gen =    726, tg =  12.05 t/s, tg_3s =  12.00 t/s
2.23.235.051 I slot print_timing: id  0 | task 295 | n_gen =    762, tg =  12.05 t/s, tg_3s =  11.94 t/s
2.25.573.915 I slot print_timing: id  0 | task 295 | prompt eval time =     929.44 ms /   366 tokens (    2.54 ms per token,   393.78 tokens per second)
2.25.573.928 I slot print_timing: id  0 | task 295 |        eval time =   65498.91 ms /   790 tokens (   83.02 ms per token,    12.05 tokens per second)
2.25.573.931 I slot print_timing: id  0 | task 295 |       total time =   66428.36 ms /  1156 tokens
2.25.573.934 I slot print_timing: id  0 | task 295 |    graphs reused =       1082
