0.00.003.753 I srv  llama_server: initializing ...
0.00.852.335 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.859.088 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.864.392 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/NeoHorse-1-4B-Q8_0.gguf'
0.36.808.375 I cmn          init: llama threadpool init, n_threads = 6
0.37.382.281 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.37.432.609 I srv  llama_server: model loaded
0.37.432.633 I srv  llama_server: listening on http://127.0.0.1:8080
0.37.432.635 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.43.524.903 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.43.526.766 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.46.567.927 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1494, progress = 0.21, t =   3.04 s / 491.27 tokens per second
0.47.504.765 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2006, progress = 0.29, t =   3.98 s / 504.29 tokens per second
0.48.547.299 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2518, progress = 0.36, t =   5.02 s / 501.55 tokens per second
0.49.589.743 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3030, progress = 0.43, t =   6.06 s / 499.76 tokens per second
0.50.642.324 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3542, progress = 0.51, t =   7.12 s / 497.79 tokens per second
0.51.695.433 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4054, progress = 0.58, t =   8.17 s / 496.29 tokens per second
0.52.757.880 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4566, progress = 0.66, t =   9.23 s / 494.64 tokens per second
0.53.826.732 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5078, progress = 0.73, t =  10.30 s / 493.02 tokens per second
0.54.901.859 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5590, progress = 0.80, t =  11.38 s / 491.43 tokens per second
0.55.988.589 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6102, progress = 0.88, t =  12.46 s / 489.66 tokens per second
0.57.080.150 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6614, progress = 0.95, t =  13.55 s / 488.00 tokens per second
0.57.684.504 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6835, progress = 0.98, t =  14.16 s / 482.78 tokens per second
0.57.920.760 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6934, progress = 1.00, t =  14.39 s / 481.73 tokens per second
0.58.141.992 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6963, progress = 1.00, t =  14.62 s / 476.42 tokens per second
1.06.421.881 I slot print_timing: id  0 | task 1 | prompt eval time =   14832.79 ms /  6967 tokens (    2.13 ms per token,   469.70 tokens per second)
1.06.421.896 I slot print_timing: id  0 | task 1 |        eval time =    8062.23 ms /    97 tokens (   83.98 ms per token,    11.91 tokens per second)
1.06.421.899 I slot print_timing: id  0 | task 1 |       total time =   22895.02 ms /  7064 tokens
1.06.421.908 I slot print_timing: id  0 | task 1 |    graphs reused =        120
1.06.422.993 I slot      release: id  0 | task 1 | stop processing: n_tokens = 7063, truncated = 0
1.06.589.843 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.993 (> 0.100 thold), f_keep = 1.000
1.06.590.312 I slot launch_slot_: id  0 | task 115 | processing task, is_child = 0
