0.00.003.750 I srv  llama_server: initializing ...
0.00.864.467 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.871.223 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.876.498 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.03.541.913 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.03.541.930 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.03.541.948 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.03.541.955 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.03.541.962 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.03.541.984 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.03.541.990 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.03.541.997 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.03.542.004 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.03.542.010 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.03.542.017 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.03.542.026 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.03.542.033 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.03.542.042 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.03.542.061 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
1.21.091.657 I cmn          init: llama threadpool init, n_threads = 6
1.22.029.591 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
1.22.130.305 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
1.22.130.482 I srv  llama_server: model loaded
1.22.130.502 I srv  llama_server: listening on http://127.0.0.1:8080
1.22.130.504 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.36.214.277 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.36.215.874 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.40.809.761 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1454, progress = 0.92, t =   4.59 s / 316.51 tokens per second
1.41.050.200 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1498, progress = 0.94, t =   4.83 s / 309.87 tokens per second
1.41.303.997 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1582, progress = 1.00, t =   5.09 s / 310.93 tokens per second
1.49.374.271 I slot print_timing: id  0 | task 0 | prompt eval time =    5510.16 ms /  1586 tokens (    3.47 ms per token,   287.83 tokens per second)
1.49.374.287 I slot print_timing: id  0 | task 0 |        eval time =    7648.14 ms /    79 tokens (   98.05 ms per token,    10.20 tokens per second)
1.49.374.290 I slot print_timing: id  0 | task 0 |       total time =   13158.30 ms /  1665 tokens
1.49.374.300 I slot print_timing: id  0 | task 0 |    graphs reused =         82
1.49.374.730 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1664, truncated = 0
1.49.976.027 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.777 (> 0.100 thold), f_keep = 1.000
1.49.976.862 I slot launch_slot_: id  0 | task 85 | processing task, is_child = 0
2.01.413.505 I slot print_timing: id  0 | task 85 | n_gen =    100, tg =  10.23 t/s, tg_3s =  10.33 t/s
2.04.435.745 I slot print_timing: id  0 | task 85 | n_gen =    131, tg =  10.23 t/s, tg_3s =  10.26 t/s
2.07.455.147 I slot print_timing: id  0 | task 85 | n_gen =    162, tg =  10.24 t/s, tg_3s =  10.27 t/s
2.10.499.704 I slot print_timing: id  0 | task 85 | n_gen =    193, tg =  10.23 t/s, tg_3s =  10.18 t/s
2.13.518.215 I slot print_timing: id  0 | task 85 | n_gen =    224, tg =  10.24 t/s, tg_3s =  10.27 t/s
2.16.545.153 I slot print_timing: id  0 | task 85 | n_gen =    255, tg =  10.24 t/s, tg_3s =  10.24 t/s
2.19.569.915 I slot print_timing: id  0 | task 85 | n_gen =    286, tg =  10.24 t/s, tg_3s =  10.25 t/s
2.22.594.819 I slot print_timing: id  0 | task 85 | n_gen =    317, tg =  10.24 t/s, tg_3s =  10.25 t/s
2.25.620.790 I slot print_timing: id  0 | task 85 | n_gen =    348, tg =  10.24 t/s, tg_3s =  10.24 t/s
2.28.641.217 I slot print_timing: id  0 | task 85 | n_gen =    379, tg =  10.24 t/s, tg_3s =  10.26 t/s
