0.00.003.742 I srv  llama_server: initializing ...
0.00.862.407 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.869.178 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.874.543 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.03.518.791 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.03.518.808 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.03.518.826 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.03.518.833 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.03.518.839 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.03.518.862 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.03.518.868 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.03.518.875 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.03.518.881 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.03.518.888 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.03.518.894 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.03.518.905 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.03.518.912 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.03.518.921 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.03.518.942 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.49.608.265 I cmn          init: llama threadpool init, n_threads = 6
0.50.277.153 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.50.326.041 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.50.326.884 I srv  llama_server: model loaded
0.50.326.903 I srv  llama_server: listening on http://127.0.0.1:8080
0.50.326.905 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.55.583.280 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.55.585.157 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.00.240.972 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1498, progress = 0.07, t =   4.66 s / 321.75 tokens per second
1.01.739.215 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2010, progress = 0.09, t =   6.15 s / 326.62 tokens per second
1.03.381.602 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2522, progress = 0.11, t =   7.80 s / 323.49 tokens per second
1.05.030.574 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3034, progress = 0.14, t =   9.45 s / 321.22 tokens per second
1.06.684.776 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3546, progress = 0.16, t =  11.10 s / 319.47 tokens per second
1.08.345.188 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4058, progress = 0.18, t =  12.76 s / 318.03 tokens per second
1.10.008.503 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4570, progress = 0.20, t =  14.42 s / 316.85 tokens per second
1.11.677.936 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5082, progress = 0.23, t =  16.09 s / 315.80 tokens per second
1.13.353.283 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5594, progress = 0.25, t =  17.77 s / 314.84 tokens per second
1.15.036.866 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6106, progress = 0.27, t =  19.45 s / 313.91 tokens per second
1.16.728.896 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6618, progress = 0.30, t =  21.14 s / 313.00 tokens per second
1.18.430.642 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7130, progress = 0.32, t =  22.85 s / 312.10 tokens per second
1.20.138.946 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7642, progress = 0.34, t =  24.55 s / 311.24 tokens per second
1.21.854.595 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8154, progress = 0.36, t =  26.27 s / 310.40 tokens per second
1.23.576.959 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8666, progress = 0.39, t =  27.99 s / 309.59 tokens per second
1.25.304.014 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9178, progress = 0.41, t =  29.72 s / 308.83 tokens per second
1.27.040.655 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9690, progress = 0.43, t =  31.46 s / 308.06 tokens per second
1.28.783.260 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10202, progress = 0.46, t =  33.20 s / 307.31 tokens per second
1.30.532.978 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10714, progress = 0.48, t =  34.95 s / 306.57 tokens per second
1.32.288.996 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11226, progress = 0.50, t =  36.70 s / 305.85 tokens per second
1.34.049.843 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11738, progress = 0.52, t =  38.46 s / 305.16 tokens per second
1.35.820.686 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12250, progress = 0.55, t =  40.24 s / 304.46 tokens per second
1.37.599.171 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12762, progress = 0.57, t =  42.01 s / 303.76 tokens per second
1.39.383.929 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13274, progress = 0.59, t =  43.80 s / 303.07 tokens per second
1.41.175.667 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13786, progress = 0.62, t =  45.59 s / 302.39 tokens per second
1.42.974.844 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14298, progress = 0.64, t =  47.39 s / 301.71 tokens per second
1.44.779.444 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14810, progress = 0.66, t =  49.19 s / 301.05 tokens per second
1.46.588.263 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15322, progress = 0.68, t =  51.00 s / 300.41 tokens per second
1.48.404.937 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15834, progress = 0.71, t =  52.82 s / 299.77 tokens per second
1.50.226.407 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16346, progress = 0.73, t =  54.64 s / 299.15 tokens per second
1.52.057.959 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16858, progress = 0.75, t =  56.47 s / 298.52 tokens per second
