0.00.001.845 I srv  llama_server: initializing ...
0.00.239.125 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.241.482 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.244.098 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.02.729.620 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.02.729.637 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.02.729.654 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.02.729.661 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.02.729.667 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.02.729.690 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.02.729.696 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.02.729.703 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.02.729.709 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.02.729.716 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.02.729.723 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.02.729.733 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.02.729.740 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.02.729.748 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.02.729.768 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.15.969.539 I cmn          init: llama threadpool init, n_threads = 6
0.16.452.597 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.16.481.749 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.16.481.990 I srv  llama_server: model loaded
0.16.482.009 I srv  llama_server: listening on http://127.0.0.1:8080
0.16.482.011 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.23.606.153 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.23.607.221 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.28.189.038 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1455, progress = 0.92, t =   4.58 s / 317.57 tokens per second
0.28.430.215 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1499, progress = 0.94, t =   4.82 s / 310.81 tokens per second
0.28.684.223 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1583, progress = 1.00, t =   5.08 s / 311.80 tokens per second
0.38.949.035 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  10.05 t/s, tg_3s =  10.15 t/s
0.41.050.929 I slot print_timing: id  0 | task 0 | prompt eval time =    5492.98 ms /  1587 tokens (    3.46 ms per token,   288.91 tokens per second)
0.41.050.946 I slot print_timing: id  0 | task 0 |        eval time =   11950.64 ms /   121 tokens (   99.59 ms per token,    10.04 tokens per second)
0.41.050.950 I slot print_timing: id  0 | task 0 |       total time =   17443.62 ms /  1708 tokens
0.41.050.962 I slot print_timing: id  0 | task 0 |    graphs reused =        124
0.41.051.362 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1707, truncated = 0
0.41.625.711 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.782 (> 0.100 thold), f_keep = 1.000
0.41.626.607 I slot launch_slot_: id  0 | task 127 | processing task, is_child = 0
0.53.321.828 I slot print_timing: id  0 | task 127 | n_gen =    100, tg =   9.97 t/s, tg_3s =  10.07 t/s
0.56.344.299 I slot print_timing: id  0 | task 127 | n_gen =    130, tg =   9.96 t/s, tg_3s =   9.93 t/s
0.59.364.687 I slot print_timing: id  0 | task 127 | n_gen =    160, tg =   9.96 t/s, tg_3s =   9.93 t/s
1.02.386.828 I slot print_timing: id  0 | task 127 | n_gen =    190, tg =   9.95 t/s, tg_3s =   9.93 t/s
1.05.416.241 I slot print_timing: id  0 | task 127 | n_gen =    220, tg =   9.94 t/s, tg_3s =   9.90 t/s
1.08.442.330 I slot print_timing: id  0 | task 127 | n_gen =    250, tg =   9.94 t/s, tg_3s =   9.91 t/s
1.11.467.415 I slot print_timing: id  0 | task 127 | n_gen =    280, tg =   9.94 t/s, tg_3s =   9.92 t/s
1.14.501.954 I slot print_timing: id  0 | task 127 | n_gen =    310, tg =   9.93 t/s, tg_3s =   9.89 t/s
1.17.532.345 I slot print_timing: id  0 | task 127 | n_gen =    340, tg =   9.93 t/s, tg_3s =   9.90 t/s
1.20.562.269 I slot print_timing: id  0 | task 127 | n_gen =    370, tg =   9.93 t/s, tg_3s =   9.90 t/s
1.23.614.814 I slot print_timing: id  0 | task 127 | n_gen =    400, tg =   9.92 t/s, tg_3s =   9.83 t/s
1.26.658.904 I slot print_timing: id  0 | task 127 | n_gen =    430, tg =   9.92 t/s, tg_3s =   9.86 t/s
1.29.700.753 I slot print_timing: id  0 | task 127 | n_gen =    460, tg =   9.91 t/s, tg_3s =   9.86 t/s
1.32.730.275 I slot print_timing: id  0 | task 127 | n_gen =    490, tg =   9.91 t/s, tg_3s =   9.90 t/s
1.35.766.865 I slot print_timing: id  0 | task 127 | n_gen =    520, tg =   9.91 t/s, tg_3s =   9.88 t/s
1.38.799.680 I slot print_timing: id  0 | task 127 | n_gen =    550, tg =   9.91 t/s, tg_3s =   9.89 t/s
1.41.120.759 I slot print_timing: id  0 | task 127 | prompt eval time =    1766.28 ms /   477 tokens (    3.70 ms per token,   270.06 tokens per second)
1.41.120.771 I slot print_timing: id  0 | task 127 |        eval time =   57727.80 ms /   573 tokens (  100.92 ms per token,     9.91 tokens per second)
1.41.120.774 I slot print_timing: id  0 | task 127 |       total time =   59494.08 ms /  1050 tokens
1.41.120.777 I slot print_timing: id  0 | task 127 |    graphs reused =        694
1.41.121.212 I slot      release: id  0 | task 127 | stop processing: n_tokens = 2756, truncated = 0
1.43.107.928 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.980 (> 0.100 thold), f_keep = 1.000
1.43.108.485 I slot launch_slot_: id  0 | task 704 | processing task, is_child = 0
1.53.837.086 I slot print_timing: id  0 | task 704 | n_gen =    100, tg =   9.82 t/s, tg_3s =   9.92 t/s
1.56.879.071 I slot print_timing: id  0 | task 704 | n_gen =    130, tg =   9.83 t/s, tg_3s =   9.86 t/s
1.59.934.909 I slot print_timing: id  0 | task 704 | n_gen =    160, tg =   9.83 t/s, tg_3s =   9.82 t/s
2.00.341.420 I slot print_timing: id  0 | task 704 | prompt eval time =     648.00 ms /    55 tokens (   11.78 ms per token,    84.88 tokens per second)
2.00.341.433 I slot print_timing: id  0 | task 704 |        eval time =   16584.86 ms /   164 tokens (  101.75 ms per token,     9.83 tokens per second)
2.00.341.436 I slot print_timing: id  0 | task 704 |       total time =   17232.86 ms /   219 tokens
2.00.341.438 I slot print_timing: id  0 | task 704 |    graphs reused =        855
2.00.341.962 I slot      release: id  0 | task 704 | stop processing: n_tokens = 2974, truncated = 0
2.00.464.925 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.982 (> 0.100 thold), f_keep = 1.000
2.00.465.659 I slot launch_slot_: id  0 | task 871 | processing task, is_child = 0
2.11.047.815 I slot print_timing: id  0 | task 871 | n_gen =    100, tg =   9.81 t/s, tg_3s =   9.91 t/s
2.13.180.757 I slot print_timing: id  0 | task 871 | prompt eval time =     488.86 ms /    56 tokens (    8.73 ms per token,   114.55 tokens per second)
2.13.180.768 I slot print_timing: id  0 | task 871 |        eval time =   12226.16 ms /   121 tokens (  101.88 ms per token,     9.82 tokens per second)
2.13.180.770 I slot print_timing: id  0 | task 871 |       total time =   12715.02 ms /   177 tokens
2.13.180.773 I slot print_timing: id  0 | task 871 |    graphs reused =        973
2.13.181.334 I slot      release: id  0 | task 871 | stop processing: n_tokens = 3150, truncated = 0
2.13.284.508 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.506 (> 0.100 thold), f_keep = 1.000
2.13.285.386 I slot launch_slot_: id  0 | task 994 | processing task, is_child = 0
2.16.308.353 I slot print_timing: id  0 | task 994 | prompt processing, n_tokens =   1024, progress = 0.67, t =   3.02 s / 338.75 tokens per second
2.17.977.994 I slot print_timing: id  0 | task 994 | prompt processing, n_tokens =   1536, progress = 0.75, t =   4.69 s / 327.33 tokens per second
2.19.655.654 I slot print_timing: id  0 | task 994 | prompt processing, n_tokens =   2048, progress = 0.83, t =   6.37 s / 321.50 tokens per second
2.21.340.742 I slot print_timing: id  0 | task 994 | prompt processing, n_tokens =   2560, progress = 0.92, t =   8.06 s / 317.80 tokens per second
2.22.950.922 I slot print_timing: id  0 | task 994 | prompt processing, n_tokens =   2948, progress = 0.98, t =   9.67 s / 305.00 tokens per second
2.23.182.801 I slot print_timing: id  0 | task 994 | prompt processing, n_tokens =   3076, progress = 1.00, t =   9.90 s / 310.79 tokens per second
2.34.316.010 I slot print_timing: id  0 | task 994 | n_gen =    100, tg =   9.29 t/s, tg_3s =   9.38 t/s
2.35.581.433 I slot print_timing: id  0 | task 994 | prompt eval time =   10374.57 ms /  3080 tokens (    3.37 ms per token,   296.88 tokens per second)
2.35.581.446 I slot print_timing: id  0 | task 994 |        eval time =   11921.39 ms /   112 tokens (  107.40 ms per token,     9.31 tokens per second)
2.35.581.449 I slot print_timing: id  0 | task 994 |       total time =   22295.96 ms /  3192 tokens
2.35.581.452 I slot print_timing: id  0 | task 994 |    graphs reused =       1094
2.35.582.295 I slot      release: id  0 | task 994 | stop processing: n_tokens = 6341, truncated = 0
2.35.694.596 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.994 (> 0.100 thold), f_keep = 1.000
