0.00.003.947 I srv  llama_server: initializing ...
0.00.859.024 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.865.810 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.871.084 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.03.538.220 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.03.538.237 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.03.538.256 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.03.538.262 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.03.538.269 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.03.538.291 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.03.538.298 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.03.538.305 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.03.538.311 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.03.538.318 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.03.538.325 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.03.538.335 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.03.538.342 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.03.538.350 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.03.538.375 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.49.393.145 I cmn          init: llama threadpool init, n_threads = 6
0.50.043.277 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.50.090.777 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.50.090.963 I srv  llama_server: model loaded
0.50.090.984 I srv  llama_server: listening on http://127.0.0.1:8080
0.50.090.986 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.55.709.552 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.55.711.153 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.00.347.676 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1499, progress = 0.08, t =   4.64 s / 323.31 tokens per second
1.01.844.349 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2011, progress = 0.10, t =   6.13 s / 327.89 tokens per second
1.03.482.720 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2523, progress = 0.13, t =   7.77 s / 324.65 tokens per second
1.05.127.846 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3035, progress = 0.16, t =   9.42 s / 322.30 tokens per second
1.06.777.390 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3547, progress = 0.18, t =  11.07 s / 320.53 tokens per second
1.08.433.506 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4059, progress = 0.21, t =  12.72 s / 319.05 tokens per second
1.10.096.040 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4571, progress = 0.24, t =  14.38 s / 317.77 tokens per second
1.11.767.777 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5083, progress = 0.26, t =  16.06 s / 316.57 tokens per second
1.13.443.432 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5595, progress = 0.29, t =  17.73 s / 315.53 tokens per second
1.15.128.681 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6107, progress = 0.32, t =  19.42 s / 314.51 tokens per second
1.16.822.440 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6619, progress = 0.34, t =  21.11 s / 313.53 tokens per second
1.18.525.939 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7131, progress = 0.37, t =  22.81 s / 312.56 tokens per second
1.20.233.032 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7643, progress = 0.40, t =  24.52 s / 311.68 tokens per second
1.21.943.953 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8155, progress = 0.42, t =  26.23 s / 310.87 tokens per second
1.23.662.497 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8667, progress = 0.45, t =  27.95 s / 310.08 tokens per second
1.25.384.770 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9179, progress = 0.48, t =  29.67 s / 309.33 tokens per second
1.27.110.553 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9691, progress = 0.50, t =  31.40 s / 308.64 tokens per second
