0.00.001.652 I srv  llama_server: initializing ...
0.00.237.235 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.239.266 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.241.966 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.02.732.009 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.02.732.027 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.02.732.045 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.02.732.052 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.02.732.058 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.02.732.080 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.02.732.087 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.02.732.093 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.02.732.100 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.02.732.106 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.02.732.113 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.02.732.123 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.02.732.130 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.02.732.138 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.02.732.159 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.15.977.169 I cmn          init: llama threadpool init, n_threads = 6
0.16.472.531 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.16.500.506 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.16.500.647 I srv  llama_server: model loaded
0.16.500.661 I srv  llama_server: listening on http://127.0.0.1:8080
0.16.500.663 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.23.529.414 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.23.530.497 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.28.096.332 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1424, progress = 0.92, t =   4.57 s / 311.89 tokens per second
0.28.291.342 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1491, progress = 0.96, t =   4.76 s / 313.18 tokens per second
0.28.575.345 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1552, progress = 1.00, t =   5.04 s / 307.65 tokens per second
0.37.935.733 I slot print_timing: id  0 | task 1 | prompt eval time =    5411.67 ms /  1556 tokens (    3.48 ms per token,   287.53 tokens per second)
0.37.935.745 I slot print_timing: id  0 | task 1 |        eval time =    8993.47 ms /    93 tokens (   97.76 ms per token,    10.23 tokens per second)
0.37.935.747 I slot print_timing: id  0 | task 1 |       total time =   14405.14 ms /  1649 tokens
0.37.935.758 I slot print_timing: id  0 | task 1 |    graphs reused =         96
0.37.936.322 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1648, truncated = 0
0.38.466.541 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.691 (> 0.100 thold), f_keep = 1.000
0.38.467.541 I slot launch_slot_: id  0 | task 100 | processing task, is_child = 0
0.50.803.581 I slot print_timing: id  0 | task 100 | n_gen =    100, tg =  10.15 t/s, tg_3s =  10.25 t/s
0.53.829.909 I slot print_timing: id  0 | task 100 | n_gen =    131, tg =  10.17 t/s, tg_3s =  10.24 t/s
0.56.861.977 I slot print_timing: id  0 | task 100 | n_gen =    162, tg =  10.18 t/s, tg_3s =  10.22 t/s
0.57.941.492 I slot print_timing: id  0 | task 100 | prompt eval time =    2578.72 ms /   738 tokens (    3.49 ms per token,   286.19 tokens per second)
0.57.941.505 I slot print_timing: id  0 | task 100 |        eval time =   16895.15 ms /   173 tokens (   98.23 ms per token,    10.18 tokens per second)
0.57.941.508 I slot print_timing: id  0 | task 100 |       total time =   19473.88 ms /   911 tokens
0.57.941.511 I slot print_timing: id  0 | task 100 |    graphs reused =        268
0.57.941.942 I slot      release: id  0 | task 100 | stop processing: n_tokens = 2558, truncated = 0
0.58.046.457 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.551 (> 0.100 thold), f_keep = 1.000
0.58.047.088 I slot launch_slot_: id  0 | task 277 | processing task, is_child = 0
1.02.602.028 I slot print_timing: id  0 | task 277 | prompt processing, n_tokens =   1536, progress = 0.88, t =   4.55 s / 337.22 tokens per second
1.04.307.418 I slot print_timing: id  0 | task 277 | prompt processing, n_tokens =   1952, progress = 0.97, t =   6.26 s / 311.81 tokens per second
1.04.563.306 I slot print_timing: id  0 | task 277 | prompt processing, n_tokens =   2080, progress = 1.00, t =   6.52 s / 319.21 tokens per second
1.14.959.249 I slot print_timing: id  0 | task 277 | n_gen =    100, tg =   9.97 t/s, tg_3s =  10.07 t/s
1.18.059.461 I slot print_timing: id  0 | task 277 | n_gen =    131, tg =   9.98 t/s, tg_3s =  10.00 t/s
1.21.076.103 I slot print_timing: id  0 | task 277 | n_gen =    161, tg =   9.97 t/s, tg_3s =   9.94 t/s
1.24.084.352 I slot print_timing: id  0 | task 277 | n_gen =    191, tg =   9.97 t/s, tg_3s =   9.97 t/s
1.27.102.047 I slot print_timing: id  0 | task 277 | n_gen =    221, tg =   9.97 t/s, tg_3s =   9.94 t/s
1.30.164.052 I slot print_timing: id  0 | task 277 | n_gen =    251, tg =   9.95 t/s, tg_3s =   9.80 t/s
1.33.222.707 I slot print_timing: id  0 | task 277 | n_gen =    281, tg =   9.93 t/s, tg_3s =   9.81 t/s
