0.00.001.364 I srv  llama_server: initializing ...
0.00.249.413 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.252.408 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.255.437 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.02.785.314 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.02.785.331 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.02.785.349 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.02.785.356 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.02.785.363 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.02.785.385 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.02.785.391 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.02.785.398 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.02.785.405 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.02.785.411 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.02.785.418 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.02.785.427 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.02.785.434 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.02.785.442 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.02.785.462 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.15.662.692 I cmn          init: llama threadpool init, n_threads = 6
0.16.154.594 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.16.187.686 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.16.188.228 I srv  llama_server: model loaded
0.16.188.245 I srv  llama_server: listening on http://127.0.0.1:8080
0.16.188.246 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.20.655.533 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.20.655.913 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.23.989.665 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1086, progress = 0.72, t =   3.33 s / 325.77 tokens per second
0.25.157.261 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1384, progress = 0.91, t =   4.50 s / 307.47 tokens per second
0.25.445.214 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1512, progress = 1.00, t =   4.79 s / 315.71 tokens per second
0.35.883.978 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =   9.92 t/s, tg_3s =  10.02 t/s
0.38.898.622 I slot print_timing: id  0 | task 1 | n_gen =    130, tg =   9.93 t/s, tg_3s =   9.95 t/s
0.41.899.728 I slot print_timing: id  0 | task 1 | n_gen =    160, tg =   9.94 t/s, tg_3s =  10.00 t/s
0.44.998.509 I slot print_timing: id  0 | task 1 | n_gen =    191, tg =   9.95 t/s, tg_3s =  10.00 t/s
0.48.007.224 I slot print_timing: id  0 | task 1 | n_gen =    221, tg =   9.96 t/s, tg_3s =   9.97 t/s
0.51.017.846 I slot print_timing: id  0 | task 1 | n_gen =    251, tg =   9.96 t/s, tg_3s =   9.96 t/s
0.54.043.913 I slot print_timing: id  0 | task 1 | n_gen =    281, tg =   9.95 t/s, tg_3s =   9.91 t/s
0.57.071.093 I slot print_timing: id  0 | task 1 | n_gen =    311, tg =   9.95 t/s, tg_3s =   9.91 t/s
1.00.093.316 I slot print_timing: id  0 | task 1 | n_gen =    341, tg =   9.95 t/s, tg_3s =   9.93 t/s
1.03.193.324 I slot print_timing: id  0 | task 1 | n_gen =    372, tg =   9.95 t/s, tg_3s =  10.00 t/s
1.06.195.949 I slot print_timing: id  0 | task 1 | n_gen =    402, tg =   9.95 t/s, tg_3s =   9.99 t/s
1.09.206.429 I slot print_timing: id  0 | task 1 | n_gen =    432, tg =   9.95 t/s, tg_3s =   9.97 t/s
1.12.220.833 I slot print_timing: id  0 | task 1 | n_gen =    462, tg =   9.95 t/s, tg_3s =   9.95 t/s
1.15.233.617 I slot print_timing: id  0 | task 1 | n_gen =    492, tg =   9.95 t/s, tg_3s =   9.96 t/s
1.18.242.382 I slot print_timing: id  0 | task 1 | n_gen =    522, tg =   9.96 t/s, tg_3s =   9.97 t/s
1.21.279.760 I slot print_timing: id  0 | task 1 | n_gen =    552, tg =   9.95 t/s, tg_3s =   9.88 t/s
1.24.303.654 I slot print_timing: id  0 | task 1 | n_gen =    582, tg =   9.95 t/s, tg_3s =   9.92 t/s
1.27.327.340 I slot print_timing: id  0 | task 1 | n_gen =    612, tg =   9.95 t/s, tg_3s =   9.92 t/s
1.30.349.949 I slot print_timing: id  0 | task 1 | n_gen =    642, tg =   9.95 t/s, tg_3s =   9.93 t/s
1.33.374.655 I slot print_timing: id  0 | task 1 | n_gen =    672, tg =   9.95 t/s, tg_3s =   9.92 t/s
1.36.396.629 I slot print_timing: id  0 | task 1 | n_gen =    702, tg =   9.94 t/s, tg_3s =   9.93 t/s
1.39.459.106 I slot print_timing: id  0 | task 1 | n_gen =    732, tg =   9.94 t/s, tg_3s =   9.80 t/s
1.42.493.960 I slot print_timing: id  0 | task 1 | n_gen =    762, tg =   9.94 t/s, tg_3s =   9.89 t/s
1.45.529.397 I slot print_timing: id  0 | task 1 | n_gen =    792, tg =   9.93 t/s, tg_3s =   9.88 t/s
1.48.555.465 I slot print_timing: id  0 | task 1 | n_gen =    822, tg =   9.93 t/s, tg_3s =   9.91 t/s
1.51.592.936 I slot print_timing: id  0 | task 1 | n_gen =    852, tg =   9.93 t/s, tg_3s =   9.88 t/s
1.54.642.226 I slot print_timing: id  0 | task 1 | n_gen =    882, tg =   9.93 t/s, tg_3s =   9.84 t/s
1.57.681.768 I slot print_timing: id  0 | task 1 | n_gen =    912, tg =   9.93 t/s, tg_3s =   9.87 t/s
2.00.720.435 I slot print_timing: id  0 | task 1 | n_gen =    942, tg =   9.92 t/s, tg_3s =   9.87 t/s
2.03.770.467 I slot print_timing: id  0 | task 1 | n_gen =    972, tg =   9.92 t/s, tg_3s =   9.84 t/s
2.06.814.634 I slot print_timing: id  0 | task 1 | n_gen =   1002, tg =   9.92 t/s, tg_3s =   9.85 t/s
2.09.871.523 I slot print_timing: id  0 | task 1 | n_gen =   1032, tg =   9.92 t/s, tg_3s =   9.81 t/s
2.12.944.751 I slot print_timing: id  0 | task 1 | n_gen =   1062, tg =   9.91 t/s, tg_3s =   9.76 t/s
2.15.093.779 I slot print_timing: id  0 | task 1 | prompt eval time =    5252.38 ms /  1516 tokens (    3.46 ms per token,   288.63 tokens per second)
2.15.093.793 I slot print_timing: id  0 | task 1 |        eval time =  109185.38 ms /  1083 tokens (  100.91 ms per token,     9.91 tokens per second)
2.15.093.796 I slot print_timing: id  0 | task 1 |       total time =  114437.76 ms /  2599 tokens
2.15.093.806 I slot print_timing: id  0 | task 1 |    graphs reused =       1081
2.15.094.114 I slot      release: id  0 | task 1 | stop processing: n_tokens = 2598, truncated = 0
2.15.263.325 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 156381510568
2.15.433.750 I slot launch_slot_: id  0 | task 1090 | processing task, is_child = 0
2.20.022.422 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   1495, progress = 0.08, t =   4.59 s / 325.81 tokens per second
2.21.513.341 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   2007, progress = 0.11, t =   6.08 s / 330.13 tokens per second
2.23.146.687 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   2519, progress = 0.14, t =   7.71 s / 326.60 tokens per second
2.24.788.789 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   3031, progress = 0.17, t =   9.35 s / 324.00 tokens per second
2.26.437.365 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   3543, progress = 0.20, t =  11.00 s / 321.99 tokens per second
2.28.096.156 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   4055, progress = 0.23, t =  12.66 s / 320.24 tokens per second
2.29.765.720 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   4567, progress = 0.26, t =  14.33 s / 318.66 tokens per second
2.31.439.183 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   5079, progress = 0.29, t =  16.01 s / 317.33 tokens per second
2.33.118.715 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   5591, progress = 0.32, t =  17.68 s / 316.15 tokens per second
2.34.812.095 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   6103, progress = 0.34, t =  19.38 s / 314.94 tokens per second
2.36.508.578 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   6615, progress = 0.37, t =  21.07 s / 313.88 tokens per second
2.38.207.474 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   7127, progress = 0.40, t =  22.77 s / 312.95 tokens per second
2.39.912.708 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   7639, progress = 0.43, t =  24.48 s / 312.07 tokens per second
2.41.626.963 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   8151, progress = 0.46, t =  26.19 s / 311.19 tokens per second
2.43.346.992 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   8663, progress = 0.49, t =  27.91 s / 310.36 tokens per second
2.45.072.104 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   9175, progress = 0.52, t =  29.64 s / 309.57 tokens per second
2.46.805.369 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =   9687, progress = 0.55, t =  31.37 s / 308.78 tokens per second
2.48.548.770 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  10199, progress = 0.57, t =  33.11 s / 307.99 tokens per second
2.50.300.101 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  10711, progress = 0.60, t =  34.87 s / 307.20 tokens per second
2.52.056.263 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  11223, progress = 0.63, t =  36.62 s / 306.45 tokens per second
2.53.820.865 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  11735, progress = 0.66, t =  38.39 s / 305.70 tokens per second
2.55.592.842 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  12247, progress = 0.69, t =  40.16 s / 304.96 tokens per second
2.57.375.804 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  12759, progress = 0.72, t =  41.94 s / 304.21 tokens per second
2.59.159.475 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  13271, progress = 0.75, t =  43.73 s / 303.51 tokens per second
3.00.951.279 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  13783, progress = 0.78, t =  45.52 s / 302.81 tokens per second
3.02.748.086 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  14295, progress = 0.81, t =  47.31 s / 302.13 tokens per second
3.04.551.114 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  14807, progress = 0.83, t =  49.12 s / 301.46 tokens per second
3.06.360.155 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  15319, progress = 0.86, t =  50.93 s / 300.81 tokens per second
3.08.175.899 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  15831, progress = 0.89, t =  52.74 s / 300.16 tokens per second
3.10.002.343 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  16343, progress = 0.92, t =  54.57 s / 299.50 tokens per second
3.10.570.480 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  16462, progress = 0.93, t =  55.14 s / 298.57 tokens per second
3.12.414.692 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  16974, progress = 0.96, t =  56.98 s / 297.89 tokens per second
3.14.252.526 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  17486, progress = 0.99, t =  58.82 s / 297.29 tokens per second
3.14.709.176 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  17609, progress = 0.99, t =  59.28 s / 297.07 tokens per second
3.15.153.445 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  17680, progress = 1.00, t =  59.72 s / 296.05 tokens per second
3.15.480.176 I slot print_timing: id  0 | task 1090 | prompt processing, n_tokens =  17737, progress = 1.00, t =  60.05 s / 295.39 tokens per second
3.27.356.787 I slot print_timing: id  0 | task 1090 | n_gen =    100, tg =   8.64 t/s, tg_3s =   8.73 t/s
3.30.359.655 I slot print_timing: id  0 | task 1090 | n_gen =    126, tg =   8.65 t/s, tg_3s =   8.66 t/s
3.33.363.012 I slot print_timing: id  0 | task 1090 | n_gen =    152, tg =   8.65 t/s, tg_3s =   8.66 t/s
3.36.364.514 I slot print_timing: id  0 | task 1090 | n_gen =    178, tg =   8.65 t/s, tg_3s =   8.66 t/s
3.39.392.590 I slot print_timing: id  0 | task 1090 | n_gen =    204, tg =   8.64 t/s, tg_3s =   8.59 t/s
