0.00.001.293 I srv  llama_server: initializing ...
0.00.158.707 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.160.394 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.162.677 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-1.7B-Q8_0.gguf'
0.04.231.487 I cmn          init: llama threadpool init, n_threads = 6
0.04.433.743 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.04.487.149 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.04.487.271 I srv  llama_server: model loaded
0.04.487.286 I srv  llama_server: listening on http://127.0.0.1:8080
0.04.487.287 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.11.982.263 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.11.983.414 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.15.704.363 I slot print_timing: id  0 | task 0 | prompt eval time =    1211.07 ms /  1423 tokens (    0.85 ms per token,  1175.00 tokens per second)
0.15.704.376 I slot print_timing: id  0 | task 0 |        eval time =    2509.72 ms /    67 tokens (   38.03 ms per token,    26.30 tokens per second)
0.15.704.379 I slot print_timing: id  0 | task 0 |       total time =    3720.78 ms /  1490 tokens
0.15.704.389 I slot print_timing: id  0 | task 0 |    graphs reused =         71
0.15.704.749 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1489, truncated = 0
0.16.311.597 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.858 (> 0.100 thold), f_keep = 1.000
0.16.312.768 I slot launch_slot_: id  0 | task 73 | processing task, is_child = 0
0.20.322.240 I slot print_timing: id  0 | task 73 | n_gen =    100, tg =  26.33 t/s, tg_3s =  26.59 t/s
0.21.996.617 I slot print_timing: id  0 | task 73 | prompt eval time =     249.17 ms /   247 tokens (    1.01 ms per token,   991.30 tokens per second)
0.21.996.631 I slot print_timing: id  0 | task 73 |        eval time =    5434.60 ms /   144 tokens (   38.00 ms per token,    26.31 tokens per second)
0.21.996.634 I slot print_timing: id  0 | task 73 |       total time =    5683.76 ms /   391 tokens
0.21.996.637 I slot print_timing: id  0 | task 73 |    graphs reused =        212
0.21.997.044 I slot      release: id  0 | task 73 | stop processing: n_tokens = 1879, truncated = 0
0.22.129.337 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.707 (> 0.100 thold), f_keep = 1.000
0.22.130.282 I slot launch_slot_: id  0 | task 220 | processing task, is_child = 0
0.26.564.040 I slot print_timing: id  0 | task 220 | n_gen =    100, tg =  26.07 t/s, tg_3s =  26.33 t/s
0.29.566.965 I slot print_timing: id  0 | task 220 | n_gen =    178, tg =  26.03 t/s, tg_3s =  25.97 t/s
0.32.569.401 I slot print_timing: id  0 | task 220 | n_gen =    256, tg =  26.01 t/s, tg_3s =  25.98 t/s
0.35.582.634 I slot print_timing: id  0 | task 220 | n_gen =    334, tg =  25.98 t/s, tg_3s =  25.89 t/s
0.38.594.470 I slot print_timing: id  0 | task 220 | n_gen =    412, tg =  25.97 t/s, tg_3s =  25.90 t/s
0.41.621.161 I slot print_timing: id  0 | task 220 | n_gen =    490, tg =  25.94 t/s, tg_3s =  25.77 t/s
0.44.645.475 I slot print_timing: id  0 | task 220 | n_gen =    568, tg =  25.92 t/s, tg_3s =  25.79 t/s
0.47.654.664 I slot print_timing: id  0 | task 220 | n_gen =    646, tg =  25.92 t/s, tg_3s =  25.92 t/s
0.50.686.981 I slot print_timing: id  0 | task 220 | n_gen =    724, tg =  25.90 t/s, tg_3s =  25.72 t/s
0.53.694.799 I slot print_timing: id  0 | task 220 | n_gen =    802, tg =  25.90 t/s, tg_3s =  25.93 t/s
0.56.723.579 I slot print_timing: id  0 | task 220 | n_gen =    881, tg =  25.92 t/s, tg_3s =  26.08 t/s
0.59.738.472 I slot print_timing: id  0 | task 220 | n_gen =    959, tg =  25.91 t/s, tg_3s =  25.87 t/s
1.02.776.676 I slot print_timing: id  0 | task 220 | n_gen =   1038, tg =  25.92 t/s, tg_3s =  26.00 t/s
1.05.781.341 I slot print_timing: id  0 | task 220 | n_gen =   1116, tg =  25.92 t/s, tg_3s =  25.96 t/s
1.08.794.846 I slot print_timing: id  0 | task 220 | n_gen =   1194, tg =  25.92 t/s, tg_3s =  25.88 t/s
1.11.809.710 I slot print_timing: id  0 | task 220 | n_gen =   1272, tg =  25.92 t/s, tg_3s =  25.87 t/s
1.14.820.435 I slot print_timing: id  0 | task 220 | n_gen =   1350, tg =  25.92 t/s, tg_3s =  25.91 t/s
1.17.830.931 I slot print_timing: id  0 | task 220 | n_gen =   1428, tg =  25.92 t/s, tg_3s =  25.91 t/s
1.20.862.778 I slot print_timing: id  0 | task 220 | n_gen =   1506, tg =  25.91 t/s, tg_3s =  25.73 t/s
1.23.886.330 I slot print_timing: id  0 | task 220 | n_gen =   1584, tg =  25.90 t/s, tg_3s =  25.80 t/s
1.26.893.957 I slot print_timing: id  0 | task 220 | n_gen =   1660, tg =  25.87 t/s, tg_3s =  25.27 t/s
1.29.924.154 I slot print_timing: id  0 | task 220 | n_gen =   1738, tg =  25.86 t/s, tg_3s =  25.74 t/s
1.32.935.763 I slot print_timing: id  0 | task 220 | n_gen =   1815, tg =  25.85 t/s, tg_3s =  25.57 t/s
