0.00.001.114 I srv  llama_server: initializing ...
0.00.151.023 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.152.947 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.155.232 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-1.7B-Q8_0.gguf'
0.04.328.487 I cmn          init: llama threadpool init, n_threads = 6
0.04.533.815 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.04.585.149 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.04.585.402 I srv  llama_server: model loaded
0.04.585.420 I srv  llama_server: listening on http://127.0.0.1:8080
0.04.585.423 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.09.007.702 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.09.007.859 I slot launch_slot_: id  0 | task 2 | processing task, is_child = 0
0.12.197.945 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   4678, progress = 0.21, t =   3.19 s / 1466.47 tokens per second
0.12.549.557 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   5190, progress = 0.24, t =   3.54 s / 1465.45 tokens per second
0.12.904.609 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   5702, progress = 0.26, t =   3.90 s / 1463.31 tokens per second
0.13.263.178 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   6214, progress = 0.29, t =   4.26 s / 1460.33 tokens per second
0.13.623.016 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   6726, progress = 0.31, t =   4.62 s / 1457.41 tokens per second
0.13.986.611 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   7238, progress = 0.33, t =   4.98 s / 1453.81 tokens per second
0.14.352.478 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   7750, progress = 0.36, t =   5.34 s / 1450.09 tokens per second
0.14.721.059 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   8262, progress = 0.38, t =   5.71 s / 1446.15 tokens per second
0.15.092.448 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   8774, progress = 0.40, t =   6.08 s / 1442.03 tokens per second
0.15.465.493 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   9286, progress = 0.43, t =   6.46 s / 1438.01 tokens per second
0.15.841.528 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =   9798, progress = 0.45, t =   6.83 s / 1433.81 tokens per second
0.16.220.730 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  10310, progress = 0.47, t =   7.21 s / 1429.41 tokens per second
0.16.604.839 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  10822, progress = 0.50, t =   7.60 s / 1424.54 tokens per second
0.16.993.055 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  11334, progress = 0.52, t =   7.99 s / 1419.40 tokens per second
0.17.382.590 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  11846, progress = 0.54, t =   8.37 s / 1414.51 tokens per second
0.17.777.285 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  12358, progress = 0.57, t =   8.77 s / 1409.24 tokens per second
0.18.173.863 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  12870, progress = 0.59, t =   9.17 s / 1404.12 tokens per second
0.18.571.359 I slot print_timing: id  0 | task 2 | prompt processing, n_tokens =  13382, progress = 0.61, t =   9.56 s / 1399.29 tokens per second
