0.00.001.734 I srv  llama_server: initializing ...
0.00.146.593 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.148.643 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.151.045 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q4_K_M.gguf'
0.05.767.308 I cmn          init: llama threadpool init, n_threads = 6
0.06.076.201 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.06.139.717 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.06.139.900 I srv  llama_server: model loaded
0.06.139.916 I srv  llama_server: listening on http://127.0.0.1:8080
0.06.139.917 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.13.029.484 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.13.030.679 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.19.181.982 I slot print_timing: id  0 | task 1 | prompt eval time =    2614.84 ms /  1406 tokens (    1.86 ms per token,   537.70 tokens per second)
0.19.181.994 I slot print_timing: id  0 | task 1 |        eval time =    3536.37 ms /    53 tokens (   68.01 ms per token,    14.70 tokens per second)
0.19.181.997 I slot print_timing: id  0 | task 1 |       total time =    6151.21 ms /  1459 tokens
0.19.182.008 I slot print_timing: id  0 | task 1 |    graphs reused =         56
0.19.182.362 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1458, truncated = 0
0.19.335.615 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.755 (> 0.100 thold), f_keep = 1.000
0.19.336.602 I slot launch_slot_: id  0 | task 60 | processing task, is_child = 0
0.26.961.231 I slot print_timing: id  0 | task 60 | n_gen =    100, tg =  14.79 t/s, tg_3s =  14.94 t/s
0.28.869.017 I slot print_timing: id  0 | task 60 | prompt eval time =     930.54 ms /   472 tokens (    1.97 ms per token,   507.23 tokens per second)
0.28.869.029 I slot print_timing: id  0 | task 60 |        eval time =    8601.79 ms /   128 tokens (   67.73 ms per token,    14.76 tokens per second)
0.28.869.032 I slot print_timing: id  0 | task 60 |       total time =    9532.33 ms /   600 tokens
0.28.869.035 I slot print_timing: id  0 | task 60 |    graphs reused =        182
0.28.869.434 I slot      release: id  0 | task 60 | stop processing: n_tokens = 2057, truncated = 0
0.29.001.837 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.537 (> 0.100 thold), f_keep = 1.000
0.29.002.358 I slot launch_slot_: id  0 | task 191 | processing task, is_child = 0
0.38.951.144 I slot print_timing: id  0 | task 191 | prompt eval time =    3162.08 ms /  1777 tokens (    1.78 ms per token,   561.97 tokens per second)
0.38.951.160 I slot print_timing: id  0 | task 191 |        eval time =    6786.63 ms /    98 tokens (   69.97 ms per token,    14.29 tokens per second)
0.38.951.163 I slot print_timing: id  0 | task 191 |       total time =    9948.72 ms /  1875 tokens
0.38.951.166 I slot print_timing: id  0 | task 191 |    graphs reused =        282
0.38.951.758 I slot      release: id  0 | task 191 | stop processing: n_tokens = 3931, truncated = 0
0.39.099.182 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.879 (> 0.100 thold), f_keep = 1.000
0.39.100.156 I slot launch_slot_: id  0 | task 295 | processing task, is_child = 0
0.44.093.505 I slot print_timing: id  0 | task 295 | prompt eval time =    1104.73 ms /   542 tokens (    2.04 ms per token,   490.62 tokens per second)
0.44.093.518 I slot print_timing: id  0 | task 295 |        eval time =    3888.53 ms /    56 tokens (   70.70 ms per token,    14.14 tokens per second)
0.44.093.521 I slot print_timing: id  0 | task 295 |       total time =    4993.26 ms /   598 tokens
0.44.093.524 I slot print_timing: id  0 | task 295 |    graphs reused =        337
0.44.094.222 I slot      release: id  0 | task 295 | stop processing: n_tokens = 4528, truncated = 0
0.44.233.580 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.975 (> 0.100 thold), f_keep = 1.000
0.44.234.605 I slot launch_slot_: id  0 | task 354 | processing task, is_child = 0
0.51.583.438 I slot print_timing: id  0 | task 354 | n_gen =    100, tg =  14.11 t/s, tg_3s =  14.25 t/s
0.54.637.359 I slot print_timing: id  0 | task 354 | n_gen =    143, tg =  14.10 t/s, tg_3s =  14.08 t/s
0.57.683.507 I slot print_timing: id  0 | task 354 | n_gen =    186, tg =  14.10 t/s, tg_3s =  14.12 t/s
1.00.748.850 I slot print_timing: id  0 | task 354 | n_gen =    229, tg =  14.09 t/s, tg_3s =  14.03 t/s
1.03.808.224 I slot print_timing: id  0 | task 354 | n_gen =    272, tg =  14.08 t/s, tg_3s =  14.06 t/s
1.06.868.016 I slot print_timing: id  0 | task 354 | n_gen =    315, tg =  14.08 t/s, tg_3s =  14.05 t/s
1.09.930.381 I slot print_timing: id  0 | task 354 | n_gen =    358, tg =  14.08 t/s, tg_3s =  14.04 t/s
1.12.983.105 I slot print_timing: id  0 | task 354 | n_gen =    401, tg =  14.08 t/s, tg_3s =  14.09 t/s
1.16.037.567 I slot print_timing: id  0 | task 354 | n_gen =    444, tg =  14.08 t/s, tg_3s =  14.08 t/s
1.19.107.346 I slot print_timing: id  0 | task 354 | n_gen =    487, tg =  14.07 t/s, tg_3s =  14.01 t/s
1.22.108.608 I slot print_timing: id  0 | task 354 | n_gen =    529, tg =  14.06 t/s, tg_3s =  13.99 t/s
1.25.176.665 I slot print_timing: id  0 | task 354 | n_gen =    572, tg =  14.06 t/s, tg_3s =  14.02 t/s
1.28.231.893 I slot print_timing: id  0 | task 354 | n_gen =    615, tg =  14.06 t/s, tg_3s =  14.07 t/s
1.31.288.391 I slot print_timing: id  0 | task 354 | n_gen =    658, tg =  14.06 t/s, tg_3s =  14.07 t/s
1.34.344.651 I slot print_timing: id  0 | task 354 | n_gen =    701, tg =  14.06 t/s, tg_3s =  14.07 t/s
1.37.411.846 I slot print_timing: id  0 | task 354 | n_gen =    744, tg =  14.06 t/s, tg_3s =  14.02 t/s
1.40.481.032 I slot print_timing: id  0 | task 354 | n_gen =    787, tg =  14.06 t/s, tg_3s =  14.01 t/s
1.43.543.426 I slot print_timing: id  0 | task 354 | n_gen =    830, tg =  14.06 t/s, tg_3s =  14.04 t/s
1.46.614.072 I slot print_timing: id  0 | task 354 | n_gen =    873, tg =  14.05 t/s, tg_3s =  14.00 t/s
1.49.682.632 I slot print_timing: id  0 | task 354 | n_gen =    916, tg =  14.05 t/s, tg_3s =  14.01 t/s
1.52.688.509 I slot print_timing: id  0 | task 354 | n_gen =    958, tg =  14.05 t/s, tg_3s =  13.97 t/s
1.55.699.738 I slot print_timing: id  0 | task 354 | n_gen =   1000, tg =  14.04 t/s, tg_3s =  13.95 t/s
1.58.702.145 I slot print_timing: id  0 | task 354 | n_gen =   1042, tg =  14.04 t/s, tg_3s =  13.99 t/s
2.01.706.435 I slot print_timing: id  0 | task 354 | n_gen =   1084, tg =  14.04 t/s, tg_3s =  13.98 t/s
2.04.711.382 I slot print_timing: id  0 | task 354 | n_gen =   1126, tg =  14.04 t/s, tg_3s =  13.98 t/s
2.07.714.208 I slot print_timing: id  0 | task 354 | n_gen =   1168, tg =  14.04 t/s, tg_3s =  13.99 t/s
2.10.718.780 I slot print_timing: id  0 | task 354 | n_gen =   1210, tg =  14.03 t/s, tg_3s =  13.98 t/s
2.13.741.211 I slot print_timing: id  0 | task 354 | n_gen =   1252, tg =  14.03 t/s, tg_3s =  13.90 t/s
2.16.758.493 I slot print_timing: id  0 | task 354 | n_gen =   1294, tg =  14.03 t/s, tg_3s =  13.92 t/s
2.19.778.008 I slot print_timing: id  0 | task 354 | n_gen =   1336, tg =  14.02 t/s, tg_3s =  13.91 t/s
2.22.800.825 I slot print_timing: id  0 | task 354 | n_gen =   1378, tg =  14.02 t/s, tg_3s =  13.89 t/s
2.25.823.749 I slot print_timing: id  0 | task 354 | n_gen =   1420, tg =  14.01 t/s, tg_3s =  13.89 t/s
2.28.847.530 I slot print_timing: id  0 | task 354 | n_gen =   1462, tg =  14.01 t/s, tg_3s =  13.89 t/s
2.31.879.058 I slot print_timing: id  0 | task 354 | n_gen =   1504, tg =  14.01 t/s, tg_3s =  13.85 t/s
2.34.913.786 I slot print_timing: id  0 | task 354 | n_gen =   1546, tg =  14.00 t/s, tg_3s =  13.84 t/s
2.37.945.161 I slot print_timing: id  0 | task 354 | n_gen =   1588, tg =  14.00 t/s, tg_3s =  13.86 t/s
2.40.983.705 I slot print_timing: id  0 | task 354 | n_gen =   1630, tg =  13.99 t/s, tg_3s =  13.82 t/s
2.44.016.244 I slot print_timing: id  0 | task 354 | n_gen =   1672, tg =  13.99 t/s, tg_3s =  13.85 t/s
2.47.052.974 I slot print_timing: id  0 | task 354 | n_gen =   1714, tg =  13.99 t/s, tg_3s =  13.83 t/s
2.50.087.160 I slot print_timing: id  0 | task 354 | n_gen =   1756, tg =  13.98 t/s, tg_3s =  13.84 t/s
2.53.149.266 I slot print_timing: id  0 | task 354 | n_gen =   1798, tg =  13.98 t/s, tg_3s =  13.72 t/s
2.56.192.158 I slot print_timing: id  0 | task 354 | n_gen =   1840, tg =  13.97 t/s, tg_3s =  13.80 t/s
2.59.235.749 I slot print_timing: id  0 | task 354 | n_gen =   1882, tg =  13.97 t/s, tg_3s =  13.80 t/s
3.02.275.525 I slot print_timing: id  0 | task 354 | n_gen =   1924, tg =  13.96 t/s, tg_3s =  13.82 t/s
3.05.313.952 I slot print_timing: id  0 | task 354 | n_gen =   1966, tg =  13.96 t/s, tg_3s =  13.82 t/s
3.08.352.981 I slot print_timing: id  0 | task 354 | n_gen =   2008, tg =  13.96 t/s, tg_3s =  13.82 t/s
3.11.419.684 I slot print_timing: id  0 | task 354 | n_gen =   2050, tg =  13.95 t/s, tg_3s =  13.70 t/s
3.14.476.685 I slot print_timing: id  0 | task 354 | n_gen =   2092, tg =  13.95 t/s, tg_3s =  13.74 t/s
3.15.641.908 I slot print_timing: id  0 | task 354 | prompt eval time =     332.42 ms /   115 tokens (    2.89 ms per token,   345.95 tokens per second)
3.15.641.922 I slot print_timing: id  0 | task 354 |        eval time =  151074.80 ms /  2108 tokens (   71.70 ms per token,    13.95 tokens per second)
3.15.641.925 I slot print_timing: id  0 | task 354 |       total time =  151407.22 ms /  2223 tokens
3.15.641.928 I slot print_timing: id  0 | task 354 |    graphs reused =       2435
3.15.642.597 I slot      release: id  0 | task 354 | stop processing: n_tokens = 6750, truncated = 0
3.15.818.923 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.986 (> 0.100 thold), f_keep = 1.000
3.15.819.441 I slot launch_slot_: id  0 | task 2464 | processing task, is_child = 0
3.20.576.729 I slot print_timing: id  0 | task 2464 | prompt eval time =     316.71 ms /    95 tokens (    3.33 ms per token,   299.96 tokens per second)
3.20.576.743 I slot print_timing: id  0 | task 2464 |        eval time =    4440.51 ms /    62 tokens (   72.80 ms per token,    13.74 tokens per second)
3.20.576.746 I slot print_timing: id  0 | task 2464 |       total time =    4757.22 ms /   157 tokens
3.20.576.749 I slot print_timing: id  0 | task 2464 |    graphs reused =       2495
3.20.577.629 I slot      release: id  0 | task 2464 | stop processing: n_tokens = 6906, truncated = 0
3.21.133.164 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.996 (> 0.100 thold), f_keep = 1.000
3.21.133.770 I slot launch_slot_: id  0 | task 2528 | processing task, is_child = 0
3.28.590.264 I slot print_timing: id  0 | task 2528 | n_gen =    100, tg =  13.71 t/s, tg_3s =  13.85 t/s
3.31.652.601 I slot print_timing: id  0 | task 2528 | n_gen =    142, tg =  13.71 t/s, tg_3s =  13.72 t/s
3.34.715.358 I slot print_timing: id  0 | task 2528 | n_gen =    184, tg =  13.71 t/s, tg_3s =  13.71 t/s
3.37.776.853 I slot print_timing: id  0 | task 2528 | n_gen =    226, tg =  13.71 t/s, tg_3s =  13.72 t/s
3.40.792.495 I slot print_timing: id  0 | task 2528 | n_gen =    267, tg =  13.70 t/s, tg_3s =  13.60 t/s
3.43.862.991 I slot print_timing: id  0 | task 2528 | n_gen =    309, tg =  13.69 t/s, tg_3s =  13.68 t/s
3.44.667.125 I slot print_timing: id  0 | task 2528 | prompt eval time =     236.33 ms /    29 tokens (    8.15 ms per token,   122.71 tokens per second)
3.44.667.137 I slot print_timing: id  0 | task 2528 |        eval time =   23296.93 ms /   320 tokens (   73.03 ms per token,    13.69 tokens per second)
3.44.667.140 I slot print_timing: id  0 | task 2528 |       total time =   23533.26 ms /   349 tokens
3.44.667.143 I slot print_timing: id  0 | task 2528 |    graphs reused =       2812
3.44.668.034 I slot      release: id  0 | task 2528 | stop processing: n_tokens = 7254, truncated = 0
