0.00.003.693 I srv  llama_server: initializing ...
0.00.584.621 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.591.514 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.596.860 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q4_K_M.gguf'
0.18.081.891 I cmn          init: llama threadpool init, n_threads = 6
0.18.580.627 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.18.683.158 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.18.683.986 I srv  llama_server: model loaded
0.18.684.006 I srv  llama_server: listening on http://127.0.0.1:8080
0.18.684.007 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.27.213.506 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.27.217.583 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.36.645.688 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  14.80 t/s, tg_3s =  14.95 t/s
0.39.354.894 I slot print_timing: id  0 | task 0 | prompt eval time =    2740.15 ms /  1436 tokens (    1.91 ms per token,   524.06 tokens per second)
0.39.354.906 I slot print_timing: id  0 | task 0 |        eval time =    9397.06 ms /   140 tokens (   67.60 ms per token,    14.79 tokens per second)
0.39.354.908 I slot print_timing: id  0 | task 0 |       total time =   12137.21 ms /  1576 tokens
0.39.354.923 I slot print_timing: id  0 | task 0 |    graphs reused =        143
0.39.355.276 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1575, truncated = 0
0.39.492.634 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.781 (> 0.100 thold), f_keep = 1.000
0.39.493.247 I slot launch_slot_: id  0 | task 146 | processing task, is_child = 0
0.45.515.876 I slot print_timing: id  0 | task 146 | prompt eval time =     880.37 ms /   442 tokens (    1.99 ms per token,   502.06 tokens per second)
0.45.515.889 I slot print_timing: id  0 | task 146 |        eval time =    5142.18 ms /    76 tokens (   68.56 ms per token,    14.59 tokens per second)
0.45.515.892 I slot print_timing: id  0 | task 146 |       total time =    6022.55 ms /   518 tokens
0.45.515.895 I slot print_timing: id  0 | task 146 |    graphs reused =        216
0.45.516.257 I slot      release: id  0 | task 146 | stop processing: n_tokens = 2092, truncated = 0
0.46.163.251 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.798 (> 0.100 thold), f_keep = 1.000
0.46.164.181 I slot launch_slot_: id  0 | task 225 | processing task, is_child = 0
0.54.073.887 I slot print_timing: id  0 | task 225 | n_gen =    100, tg =  14.47 t/s, tg_3s =  14.62 t/s
0.54.762.884 I slot print_timing: id  0 | task 225 | prompt eval time =    1069.33 ms /   530 tokens (    2.02 ms per token,   495.64 tokens per second)
0.54.762.897 I slot print_timing: id  0 | task 225 |        eval time =    7529.29 ms /   110 tokens (   69.08 ms per token,    14.48 tokens per second)
0.54.762.900 I slot print_timing: id  0 | task 225 |       total time =    8598.62 ms /   640 tokens
0.54.762.903 I slot print_timing: id  0 | task 225 |    graphs reused =        325
0.54.763.319 I slot      release: id  0 | task 225 | stop processing: n_tokens = 2731, truncated = 0
0.54.895.370 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.898 (> 0.100 thold), f_keep = 1.000
0.54.896.304 I slot launch_slot_: id  0 | task 338 | processing task, is_child = 0
1.02.473.099 I slot print_timing: id  0 | task 338 | n_gen =    100, tg =  14.34 t/s, tg_3s =  14.49 t/s
1.05.523.208 I slot print_timing: id  0 | task 338 | n_gen =    144, tg =  14.37 t/s, tg_3s =  14.43 t/s
1.08.574.128 I slot print_timing: id  0 | task 338 | n_gen =    188, tg =  14.38 t/s, tg_3s =  14.42 t/s
1.11.631.337 I slot print_timing: id  0 | task 338 | n_gen =    232, tg =  14.38 t/s, tg_3s =  14.39 t/s
1.14.694.441 I slot print_timing: id  0 | task 338 | n_gen =    276, tg =  14.38 t/s, tg_3s =  14.36 t/s
1.17.710.956 I slot print_timing: id  0 | task 338 | n_gen =    319, tg =  14.36 t/s, tg_3s =  14.25 t/s
1.20.778.584 I slot print_timing: id  0 | task 338 | n_gen =    363, tg =  14.36 t/s, tg_3s =  14.34 t/s
1.23.829.501 I slot print_timing: id  0 | task 338 | n_gen =    407, tg =  14.37 t/s, tg_3s =  14.42 t/s
1.26.885.283 I slot print_timing: id  0 | task 338 | n_gen =    451, tg =  14.37 t/s, tg_3s =  14.40 t/s
1.29.936.625 I slot print_timing: id  0 | task 338 | n_gen =    495, tg =  14.37 t/s, tg_3s =  14.42 t/s
1.32.993.273 I slot print_timing: id  0 | task 338 | n_gen =    539, tg =  14.38 t/s, tg_3s =  14.39 t/s
1.36.005.834 I slot print_timing: id  0 | task 338 | n_gen =    582, tg =  14.37 t/s, tg_3s =  14.27 t/s
1.39.074.059 I slot print_timing: id  0 | task 338 | n_gen =    626, tg =  14.37 t/s, tg_3s =  14.34 t/s
1.42.138.990 I slot print_timing: id  0 | task 338 | n_gen =    670, tg =  14.37 t/s, tg_3s =  14.36 t/s
1.45.207.217 I slot print_timing: id  0 | task 338 | n_gen =    714, tg =  14.36 t/s, tg_3s =  14.34 t/s
1.48.207.688 I slot print_timing: id  0 | task 338 | n_gen =    757, tg =  14.36 t/s, tg_3s =  14.33 t/s
1.51.209.306 I slot print_timing: id  0 | task 338 | n_gen =    800, tg =  14.36 t/s, tg_3s =  14.33 t/s
1.54.244.566 I slot print_timing: id  0 | task 338 | n_gen =    843, tg =  14.35 t/s, tg_3s =  14.17 t/s
1.55.296.528 I slot print_timing: id  0 | task 338 | prompt eval time =     674.42 ms /   310 tokens (    2.18 ms per token,   459.66 tokens per second)
1.55.296.541 I slot print_timing: id  0 | task 338 |        eval time =   59725.73 ms /   858 tokens (   69.69 ms per token,    14.35 tokens per second)
1.55.296.544 I slot print_timing: id  0 | task 338 |       total time =   60400.14 ms /  1168 tokens
1.55.296.548 I slot print_timing: id  0 | task 338 |    graphs reused =       1177
1.55.297.038 I slot      release: id  0 | task 338 | stop processing: n_tokens = 3898, truncated = 0
1.57.293.984 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.986 (> 0.100 thold), f_keep = 1.000
1.57.295.032 I slot launch_slot_: id  0 | task 1200 | processing task, is_child = 0
2.04.644.724 I slot print_timing: id  0 | task 1200 | n_gen =    100, tg =  14.19 t/s, tg_3s =  14.34 t/s
2.07.674.099 I slot print_timing: id  0 | task 1200 | n_gen =    143, tg =  14.19 t/s, tg_3s =  14.19 t/s
2.10.730.408 I slot print_timing: id  0 | task 1200 | n_gen =    186, tg =  14.16 t/s, tg_3s =  14.07 t/s
2.12.638.006 I slot print_timing: id  0 | task 1200 | prompt eval time =     374.25 ms /    56 tokens (    6.68 ms per token,   149.63 tokens per second)
2.12.638.020 I slot print_timing: id  0 | task 1200 |        eval time =   14968.64 ms /   213 tokens (   70.61 ms per token,    14.16 tokens per second)
2.12.638.023 I slot print_timing: id  0 | task 1200 |       total time =   15342.88 ms /   269 tokens
2.12.638.026 I slot print_timing: id  0 | task 1200 |    graphs reused =       1387
2.12.638.630 I slot      release: id  0 | task 1200 | stop processing: n_tokens = 4166, truncated = 0
2.12.851.479 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.209 (> 0.100 thold), f_keep = 1.000
2.12.852.532 I slot launch_slot_: id  0 | task 1416 | processing task, is_child = 0
2.16.386.773 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   2048, progress = 0.31, t =   3.53 s / 579.49 tokens per second
2.17.327.919 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   2560, progress = 0.34, t =   4.48 s / 572.03 tokens per second
2.18.276.828 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   3072, progress = 0.36, t =   5.42 s / 566.35 tokens per second
2.19.233.641 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   3584, progress = 0.39, t =   6.38 s / 561.66 tokens per second
2.20.197.832 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   4096, progress = 0.41, t =   7.35 s / 557.64 tokens per second
2.21.168.461 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   4608, progress = 0.44, t =   8.32 s / 554.12 tokens per second
2.22.146.058 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   5120, progress = 0.47, t =   9.29 s / 550.93 tokens per second
2.23.132.063 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   5632, progress = 0.49, t =  10.28 s / 547.89 tokens per second
2.24.129.761 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   6144, progress = 0.52, t =  11.28 s / 544.82 tokens per second
2.25.131.639 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   6656, progress = 0.54, t =  12.28 s / 542.06 tokens per second
2.26.143.577 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   7168, progress = 0.57, t =  13.29 s / 539.31 tokens per second
2.27.161.070 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   7680, progress = 0.59, t =  14.31 s / 536.75 tokens per second
2.28.190.078 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   8192, progress = 0.62, t =  15.34 s / 534.12 tokens per second
2.29.226.000 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   8704, progress = 0.65, t =  16.37 s / 531.59 tokens per second
2.30.269.135 I slot print_timing: id  0 | task 1416 | prompt processing, n_tokens =   9216, progress = 0.67, t =  17.42 s / 529.15 tokens per second
