0.00.001.387 I srv  llama_server: initializing ...
0.00.187.197 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.189.508 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.192.061 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q4_K_M.gguf'
0.08.793.667 I cmn          init: llama threadpool init, n_threads = 6
0.09.169.929 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 131072, kv_unified = 'false'
0.09.242.450 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.09.242.704 I srv  llama_server: model loaded
0.09.242.727 I srv  llama_server: listening on http://127.0.0.1:8080
0.09.242.730 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.15.398.925 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.15.400.118 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.24.792.918 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  14.79 t/s, tg_3s =  14.94 t/s
0.24.928.304 I slot print_timing: id  0 | task 0 | prompt eval time =    2700.24 ms /  1434 tokens (    1.88 ms per token,   531.06 tokens per second)
0.24.928.316 I slot print_timing: id  0 | task 0 |        eval time =    6827.84 ms /   102 tokens (   67.60 ms per token,    14.79 tokens per second)
0.24.928.319 I slot print_timing: id  0 | task 0 |       total time =    9528.08 ms /  1536 tokens
0.24.928.328 I slot print_timing: id  0 | task 0 |    graphs reused =        106
0.24.928.689 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1535, truncated = 0
0.25.534.176 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.743 (> 0.100 thold), f_keep = 1.000
0.25.534.744 I slot launch_slot_: id  0 | task 108 | processing task, is_child = 0
0.33.402.333 I slot print_timing: id  0 | task 108 | n_gen =    100, tg =  14.52 t/s, tg_3s =  14.67 t/s
0.36.459.416 I slot print_timing: id  0 | task 108 | n_gen =    145, tg =  14.58 t/s, tg_3s =  14.72 t/s
0.39.517.136 I slot print_timing: id  0 | task 108 | prompt eval time =    1050.46 ms /   530 tokens (    1.98 ms per token,   504.54 tokens per second)
0.39.517.149 I slot print_timing: id  0 | task 108 |        eval time =   12931.85 ms /   190 tokens (   68.42 ms per token,    14.62 tokens per second)
0.39.517.151 I slot print_timing: id  0 | task 108 |       total time =   13982.32 ms /   720 tokens
0.39.517.154 I slot print_timing: id  0 | task 108 |    graphs reused =        295
0.39.517.526 I slot      release: id  0 | task 108 | stop processing: n_tokens = 2254, truncated = 0
0.39.640.073 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.883 (> 0.100 thold), f_keep = 1.000
0.39.640.627 I slot launch_slot_: id  0 | task 301 | processing task, is_child = 0
