0.00.002.669 I srv  llama_server: initializing ...
0.00.574.627 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.579.284 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.583.432 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q8_0.gguf'
0.31.325.893 I cmn          init: llama threadpool init, n_threads = 6
0.31.777.031 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.31.877.301 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.31.877.779 I srv  llama_server: model loaded
0.31.877.798 I srv  llama_server: listening on http://127.0.0.1:8080
0.31.877.800 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.41.679.700 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.41.681.408 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.47.481.398 I slot print_timing: id  0 | task 1 | prompt eval time =    2511.54 ms /  1404 tokens (    1.79 ms per token,   559.02 tokens per second)
0.47.481.410 I slot print_timing: id  0 | task 1 |        eval time =    3288.35 ms /    43 tokens (   78.29 ms per token,    12.77 tokens per second)
0.47.481.412 I slot print_timing: id  0 | task 1 |       total time =    5799.89 ms /  1447 tokens
0.47.481.423 I slot print_timing: id  0 | task 1 |    graphs reused =         46
0.47.481.784 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1446, truncated = 0
0.47.654.357 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.410 (> 0.100 thold), f_keep = 1.000
0.47.654.912 I slot launch_slot_: id  0 | task 50 | processing task, is_child = 0
0.50.658.184 I slot print_timing: id  0 | task 50 | prompt processing, n_tokens =   1945, progress = 0.96, t =   3.00 s / 647.64 tokens per second
0.50.793.149 I slot print_timing: id  0 | task 50 | prompt processing, n_tokens =   2073, progress = 1.00, t =   3.14 s / 660.58 tokens per second
0.54.721.177 I slot print_timing: id  0 | task 50 | prompt eval time =    3396.88 ms /  2077 tokens (    1.64 ms per token,   611.44 tokens per second)
0.54.721.189 I slot print_timing: id  0 | task 50 |        eval time =    3669.31 ms /    47 tokens (   79.77 ms per token,    12.54 tokens per second)
0.54.721.192 I slot print_timing: id  0 | task 50 |       total time =    7066.19 ms /  2124 tokens
0.54.721.195 I slot print_timing: id  0 | task 50 |    graphs reused =         98
0.54.721.742 I slot      release: id  0 | task 50 | stop processing: n_tokens = 3569, truncated = 0
0.54.865.143 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.616 (> 0.100 thold), f_keep = 1.000
0.54.865.653 I slot launch_slot_: id  0 | task 103 | processing task, is_child = 0
0.57.959.788 I slot print_timing: id  0 | task 103 | prompt processing, n_tokens =   2048, progress = 0.97, t =   3.09 s / 661.91 tokens per second
0.58.192.304 I slot print_timing: id  0 | task 103 | prompt processing, n_tokens =   2089, progress = 0.98, t =   3.33 s / 627.97 tokens per second
0.58.351.619 I slot print_timing: id  0 | task 103 | prompt processing, n_tokens =   2217, progress = 1.00, t =   3.49 s / 635.99 tokens per second
1.06.753.069 I slot print_timing: id  0 | task 103 | n_gen =    100, tg =  12.17 t/s, tg_3s =  12.30 t/s
1.09.798.281 I slot print_timing: id  0 | task 103 | n_gen =    137, tg =  12.17 t/s, tg_3s =  12.15 t/s
1.10.209.677 I slot print_timing: id  0 | task 103 | prompt eval time =    3754.75 ms /  2221 tokens (    1.69 ms per token,   591.52 tokens per second)
1.10.209.691 I slot print_timing: id  0 | task 103 |        eval time =   11589.20 ms /   142 tokens (   82.19 ms per token,    12.17 tokens per second)
1.10.209.693 I slot print_timing: id  0 | task 103 |       total time =   15343.95 ms /  2363 tokens
1.10.209.697 I slot print_timing: id  0 | task 103 |    graphs reused =        245
1.10.210.467 I slot      release: id  0 | task 103 | stop processing: n_tokens = 5931, truncated = 0
1.10.825.258 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.995 (> 0.100 thold), f_keep = 1.000
1.10.826.272 I slot launch_slot_: id  0 | task 252 | processing task, is_child = 0
1.19.228.727 I slot print_timing: id  0 | task 252 | n_gen =    100, tg =  12.17 t/s, tg_3s =  12.29 t/s
1.22.269.589 I slot print_timing: id  0 | task 252 | n_gen =    137, tg =  12.17 t/s, tg_3s =  12.17 t/s
1.24.898.111 I slot print_timing: id  0 | task 252 | prompt eval time =     265.28 ms /    29 tokens (    9.15 ms per token,   109.32 tokens per second)
1.24.898.123 I slot print_timing: id  0 | task 252 |        eval time =   13806.48 ms /   169 tokens (   82.18 ms per token,    12.17 tokens per second)
1.24.898.126 I slot print_timing: id  0 | task 252 |       total time =   14071.76 ms /   198 tokens
1.24.898.129 I slot print_timing: id  0 | task 252 |    graphs reused =        412
1.24.898.923 I slot      release: id  0 | task 252 | stop processing: n_tokens = 6128, truncated = 0
1.27.260.357 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.990 (> 0.100 thold), f_keep = 1.000
