0.00.002.275 I srv  llama_server: initializing ...
0.00.550.906 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.554.885 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.558.756 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q8_0.gguf'
0.31.110.903 I cmn          init: llama threadpool init, n_threads = 6
0.31.578.918 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.31.679.200 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.31.680.037 I srv  llama_server: model loaded
0.31.680.058 I srv  llama_server: listening on http://127.0.0.1:8080
0.31.680.059 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.41.663.611 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.41.665.238 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.51.937.035 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  12.91 t/s, tg_3s =  13.04 t/s
0.54.964.173 I slot print_timing: id  0 | task 0 | n_gen =    139, tg =  12.90 t/s, tg_3s =  12.88 t/s
0.57.831.045 I slot print_timing: id  0 | task 0 | prompt eval time =    2601.39 ms /  1434 tokens (    1.81 ms per token,   551.24 tokens per second)
0.57.831.061 I slot print_timing: id  0 | task 0 |        eval time =   13564.29 ms /   176 tokens (   77.51 ms per token,    12.90 tokens per second)
0.57.831.063 I slot print_timing: id  0 | task 0 |       total time =   16165.68 ms /  1610 tokens
0.57.831.073 I slot print_timing: id  0 | task 0 |    graphs reused =        179
0.57.831.433 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1609, truncated = 0
0.57.995.098 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.793 (> 0.100 thold), f_keep = 1.000
0.57.995.724 I slot launch_slot_: id  0 | task 182 | processing task, is_child = 0
1.04.207.674 I slot print_timing: id  0 | task 182 | prompt eval time =     813.95 ms /   419 tokens (    1.94 ms per token,   514.77 tokens per second)
1.04.207.689 I slot print_timing: id  0 | task 182 |        eval time =    5397.94 ms /    70 tokens (   78.23 ms per token,    12.78 tokens per second)
1.04.207.692 I slot print_timing: id  0 | task 182 |       total time =    6211.88 ms /   489 tokens
1.04.207.696 I slot print_timing: id  0 | task 182 |    graphs reused =        246
1.04.208.086 I slot      release: id  0 | task 182 | stop processing: n_tokens = 2097, truncated = 0
