0.00.001.592 I srv  llama_server: initializing ...
0.00.206.410 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.209.398 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.212.287 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q8_0.gguf'
0.13.780.506 I cmn          init: llama threadpool init, n_threads = 6
0.14.134.435 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.14.198.843 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.14.199.079 I srv  llama_server: model loaded
0.14.199.090 I srv  llama_server: listening on http://127.0.0.1:8080
0.14.199.091 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.19.352.834 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.19.353.890 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.23.015.479 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2369, progress = 0.19, t =   3.66 s / 647.00 tokens per second
0.23.808.454 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2881, progress = 0.23, t =   4.45 s / 646.76 tokens per second
0.24.610.135 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3393, progress = 0.27, t =   5.26 s / 645.53 tokens per second
0.25.415.471 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3905, progress = 0.31, t =   6.06 s / 644.23 tokens per second
0.26.227.852 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4417, progress = 0.35, t =   6.87 s / 642.58 tokens per second
0.27.049.260 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4929, progress = 0.40, t =   7.70 s / 640.52 tokens per second
0.27.878.547 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5441, progress = 0.44, t =   8.52 s / 638.27 tokens per second
0.28.716.486 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5953, progress = 0.48, t =   9.36 s / 635.83 tokens per second
0.29.564.766 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6465, progress = 0.52, t =  10.21 s / 633.15 tokens per second
0.30.422.003 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6977, progress = 0.56, t =  11.07 s / 630.37 tokens per second
0.31.286.858 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7489, progress = 0.60, t =  11.93 s / 627.59 tokens per second
0.32.159.897 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8001, progress = 0.64, t =  12.81 s / 624.79 tokens per second
0.33.039.328 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8513, progress = 0.68, t =  13.69 s / 622.05 tokens per second
0.33.925.895 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9025, progress = 0.72, t =  14.57 s / 619.34 tokens per second
0.34.821.135 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9537, progress = 0.77, t =  15.47 s / 616.60 tokens per second
0.35.724.063 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10049, progress = 0.81, t =  16.37 s / 613.86 tokens per second
0.36.635.835 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10561, progress = 0.85, t =  17.28 s / 611.10 tokens per second
0.37.553.131 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11073, progress = 0.89, t =  18.20 s / 608.43 tokens per second
0.38.477.503 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11585, progress = 0.93, t =  19.12 s / 605.80 tokens per second
0.39.411.131 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12097, progress = 0.97, t =  20.06 s / 603.13 tokens per second
0.39.872.379 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12319, progress = 0.99, t =  20.52 s / 600.39 tokens per second
0.40.081.947 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12396, progress = 1.00, t =  20.73 s / 598.03 tokens per second
0.40.274.347 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12447, progress = 1.00, t =  20.92 s / 594.97 tokens per second
0.49.388.705 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  11.17 t/s, tg_3s =  11.29 t/s
0.52.428.322 I slot print_timing: id  0 | task 1 | n_gen =    134, tg =  11.18 t/s, tg_3s =  11.19 t/s
0.55.468.017 I slot print_timing: id  0 | task 1 | n_gen =    168, tg =  11.18 t/s, tg_3s =  11.19 t/s
0.58.504.537 I slot print_timing: id  0 | task 1 | n_gen =    202, tg =  11.18 t/s, tg_3s =  11.20 t/s
1.01.538.715 I slot print_timing: id  0 | task 1 | n_gen =    236, tg =  11.19 t/s, tg_3s =  11.21 t/s
1.04.577.502 I slot print_timing: id  0 | task 1 | n_gen =    270, tg =  11.19 t/s, tg_3s =  11.19 t/s
1.07.611.060 I slot print_timing: id  0 | task 1 | n_gen =    304, tg =  11.19 t/s, tg_3s =  11.21 t/s
1.10.646.625 I slot print_timing: id  0 | task 1 | n_gen =    338, tg =  11.19 t/s, tg_3s =  11.20 t/s
1.13.703.577 I slot print_timing: id  0 | task 1 | n_gen =    372, tg =  11.18 t/s, tg_3s =  11.12 t/s
1.16.749.341 I slot print_timing: id  0 | task 1 | n_gen =    406, tg =  11.18 t/s, tg_3s =  11.16 t/s
1.19.799.127 I slot print_timing: id  0 | task 1 | n_gen =    440, tg =  11.18 t/s, tg_3s =  11.15 t/s
1.22.858.428 I slot print_timing: id  0 | task 1 | n_gen =    474, tg =  11.17 t/s, tg_3s =  11.11 t/s
1.25.909.562 I slot print_timing: id  0 | task 1 | n_gen =    508, tg =  11.17 t/s, tg_3s =  11.14 t/s
1.28.964.464 I slot print_timing: id  0 | task 1 | n_gen =    542, tg =  11.17 t/s, tg_3s =  11.13 t/s
1.32.015.447 I slot print_timing: id  0 | task 1 | n_gen =    576, tg =  11.17 t/s, tg_3s =  11.14 t/s
1.35.077.527 I slot print_timing: id  0 | task 1 | n_gen =    610, tg =  11.16 t/s, tg_3s =  11.10 t/s
1.38.144.627 I slot print_timing: id  0 | task 1 | n_gen =    644, tg =  11.16 t/s, tg_3s =  11.09 t/s
1.41.217.643 I slot print_timing: id  0 | task 1 | n_gen =    678, tg =  11.16 t/s, tg_3s =  11.06 t/s
1.44.285.789 I slot print_timing: id  0 | task 1 | n_gen =    712, tg =  11.15 t/s, tg_3s =  11.08 t/s
1.47.352.104 I slot print_timing: id  0 | task 1 | n_gen =    746, tg =  11.15 t/s, tg_3s =  11.09 t/s
1.50.429.173 I slot print_timing: id  0 | task 1 | n_gen =    780, tg =  11.14 t/s, tg_3s =  11.05 t/s
1.53.500.979 I slot print_timing: id  0 | task 1 | n_gen =    814, tg =  11.14 t/s, tg_3s =  11.07 t/s
1.56.569.591 I slot print_timing: id  0 | task 1 | n_gen =    848, tg =  11.14 t/s, tg_3s =  11.08 t/s
1.59.569.930 I slot print_timing: id  0 | task 1 | n_gen =    881, tg =  11.13 t/s, tg_3s =  11.00 t/s
2.02.652.762 I slot print_timing: id  0 | task 1 | n_gen =    915, tg =  11.13 t/s, tg_3s =  11.03 t/s
2.05.732.085 I slot print_timing: id  0 | task 1 | n_gen =    949, tg =  11.13 t/s, tg_3s =  11.04 t/s
2.08.812.933 I slot print_timing: id  0 | task 1 | n_gen =    983, tg =  11.12 t/s, tg_3s =  11.04 t/s
2.11.890.057 I slot print_timing: id  0 | task 1 | n_gen =   1017, tg =  11.12 t/s, tg_3s =  11.05 t/s
2.14.956.538 I slot print_timing: id  0 | task 1 | n_gen =   1051, tg =  11.12 t/s, tg_3s =  11.09 t/s
2.18.023.828 I slot print_timing: id  0 | task 1 | n_gen =   1085, tg =  11.12 t/s, tg_3s =  11.08 t/s
2.21.099.623 I slot print_timing: id  0 | task 1 | n_gen =   1119, tg =  11.12 t/s, tg_3s =  11.05 t/s
2.24.112.135 I slot print_timing: id  0 | task 1 | n_gen =   1152, tg =  11.11 t/s, tg_3s =  10.95 t/s
2.27.118.542 I slot print_timing: id  0 | task 1 | n_gen =   1185, tg =  11.11 t/s, tg_3s =  10.98 t/s
2.30.120.712 I slot print_timing: id  0 | task 1 | n_gen =   1218, tg =  11.10 t/s, tg_3s =  10.99 t/s
2.33.204.108 I slot print_timing: id  0 | task 1 | n_gen =   1252, tg =  11.10 t/s, tg_3s =  11.03 t/s
2.36.289.649 I slot print_timing: id  0 | task 1 | n_gen =   1286, tg =  11.10 t/s, tg_3s =  11.02 t/s
2.39.377.053 I slot print_timing: id  0 | task 1 | n_gen =   1320, tg =  11.10 t/s, tg_3s =  11.01 t/s
2.42.465.116 I slot print_timing: id  0 | task 1 | n_gen =   1354, tg =  11.10 t/s, tg_3s =  11.01 t/s
2.45.483.653 I slot print_timing: id  0 | task 1 | n_gen =   1387, tg =  11.09 t/s, tg_3s =  10.93 t/s
2.48.495.252 I slot print_timing: id  0 | task 1 | n_gen =   1420, tg =  11.09 t/s, tg_3s =  10.96 t/s
2.51.506.760 I slot print_timing: id  0 | task 1 | n_gen =   1453, tg =  11.09 t/s, tg_3s =  10.96 t/s
2.54.518.320 I slot print_timing: id  0 | task 1 | n_gen =   1486, tg =  11.08 t/s, tg_3s =  10.96 t/s
2.57.532.812 I slot print_timing: id  0 | task 1 | n_gen =   1519, tg =  11.08 t/s, tg_3s =  10.95 t/s
3.00.623.338 I slot print_timing: id  0 | task 1 | n_gen =   1553, tg =  11.08 t/s, tg_3s =  11.00 t/s
3.03.625.400 I slot print_timing: id  0 | task 1 | n_gen =   1586, tg =  11.08 t/s, tg_3s =  10.99 t/s
3.06.639.836 I slot print_timing: id  0 | task 1 | n_gen =   1619, tg =  11.07 t/s, tg_3s =  10.95 t/s
3.09.679.533 I slot print_timing: id  0 | task 1 | n_gen =   1652, tg =  11.07 t/s, tg_3s =  10.86 t/s
3.12.702.732 I slot print_timing: id  0 | task 1 | n_gen =   1685, tg =  11.07 t/s, tg_3s =  10.92 t/s
3.15.724.697 I slot print_timing: id  0 | task 1 | n_gen =   1718, tg =  11.06 t/s, tg_3s =  10.92 t/s
3.18.740.037 I slot print_timing: id  0 | task 1 | n_gen =   1751, tg =  11.06 t/s, tg_3s =  10.94 t/s
3.21.751.481 I slot print_timing: id  0 | task 1 | n_gen =   1784, tg =  11.06 t/s, tg_3s =  10.96 t/s
3.24.491.806 I slot print_timing: id  0 | task 1 | prompt eval time =   21175.44 ms / 12451 tokens (    1.70 ms per token,   587.99 tokens per second)
3.24.491.819 I slot print_timing: id  0 | task 1 |        eval time =  163962.39 ms /  1814 tokens (   90.44 ms per token,    11.06 tokens per second)
3.24.491.822 I slot print_timing: id  0 | task 1 |       total time =  185137.83 ms / 14265 tokens
3.24.491.834 I slot print_timing: id  0 | task 1 |    graphs reused =       1853
3.24.493.351 I slot      release: id  0 | task 1 | stop processing: n_tokens = 14264, truncated = 0
3.24.760.287 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.954 (> 0.100 thold), f_keep = 1.000
3.24.760.854 I slot launch_slot_: id  0 | task 1843 | processing task, is_child = 0
3.35.508.519 I slot print_timing: id  0 | task 1843 | n_gen =    100, tg =  10.77 t/s, tg_3s =  10.88 t/s
3.38.558.988 I slot print_timing: id  0 | task 1843 | n_gen =    133, tg =  10.78 t/s, tg_3s =  10.82 t/s
3.39.112.781 I slot print_timing: id  0 | task 1843 | prompt eval time =    1558.53 ms /   687 tokens (    2.27 ms per token,   440.80 tokens per second)
3.39.112.794 I slot print_timing: id  0 | task 1843 |        eval time =   12793.33 ms /   139 tokens (   92.71 ms per token,    10.79 tokens per second)
3.39.112.797 I slot print_timing: id  0 | task 1843 |       total time =   14351.86 ms /   826 tokens
3.39.112.799 I slot print_timing: id  0 | task 1843 |    graphs reused =       1992
3.39.114.541 I slot      release: id  0 | task 1843 | stop processing: n_tokens = 15089, truncated = 0
3.39.348.486 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.894 (> 0.100 thold), f_keep = 1.000
3.39.349.025 I slot launch_slot_: id  0 | task 1986 | processing task, is_child = 0
3.42.419.805 I slot print_timing: id  0 | task 1986 | prompt processing, n_tokens =   1651, progress = 0.99, t =   3.07 s / 537.66 tokens per second
3.42.689.688 I slot print_timing: id  0 | task 1986 | prompt processing, n_tokens =   1779, progress = 1.00, t =   3.34 s / 532.54 tokens per second
3.52.436.855 I slot print_timing: id  0 | task 1986 | n_gen =    100, tg =  10.50 t/s, tg_3s =  10.61 t/s
3.55.475.116 I slot print_timing: id  0 | task 1986 | n_gen =    132, tg =  10.51 t/s, tg_3s =  10.53 t/s
3.58.516.911 I slot print_timing: id  0 | task 1986 | n_gen =    164, tg =  10.51 t/s, tg_3s =  10.52 t/s
4.01.565.792 I slot print_timing: id  0 | task 1986 | n_gen =    196, tg =  10.51 t/s, tg_3s =  10.50 t/s
4.04.610.998 I slot print_timing: id  0 | task 1986 | n_gen =    228, tg =  10.51 t/s, tg_3s =  10.51 t/s
4.07.652.845 I slot print_timing: id  0 | task 1986 | n_gen =    260, tg =  10.51 t/s, tg_3s =  10.52 t/s
4.10.706.408 I slot print_timing: id  0 | task 1986 | n_gen =    292, tg =  10.51 t/s, tg_3s =  10.48 t/s
4.13.747.892 I slot print_timing: id  0 | task 1986 | n_gen =    324, tg =  10.51 t/s, tg_3s =  10.52 t/s
4.16.791.938 I slot print_timing: id  0 | task 1986 | n_gen =    356, tg =  10.51 t/s, tg_3s =  10.51 t/s
4.19.846.569 I slot print_timing: id  0 | task 1986 | n_gen =    388, tg =  10.51 t/s, tg_3s =  10.48 t/s
4.22.879.898 I slot print_timing: id  0 | task 1986 | n_gen =    420, tg =  10.51 t/s, tg_3s =  10.55 t/s
4.25.920.889 I slot print_timing: id  0 | task 1986 | n_gen =    452, tg =  10.51 t/s, tg_3s =  10.52 t/s
4.28.962.100 I slot print_timing: id  0 | task 1986 | n_gen =    484, tg =  10.51 t/s, tg_3s =  10.52 t/s
4.31.997.223 I slot print_timing: id  0 | task 1986 | n_gen =    516, tg =  10.51 t/s, tg_3s =  10.54 t/s
4.35.062.084 I slot print_timing: id  0 | task 1986 | n_gen =    548, tg =  10.51 t/s, tg_3s =  10.44 t/s
4.38.117.806 I slot print_timing: id  0 | task 1986 | n_gen =    580, tg =  10.51 t/s, tg_3s =  10.47 t/s
4.41.172.469 I slot print_timing: id  0 | task 1986 | n_gen =    612, tg =  10.50 t/s, tg_3s =  10.48 t/s
4.44.226.236 I slot print_timing: id  0 | task 1986 | n_gen =    644, tg =  10.50 t/s, tg_3s =  10.48 t/s
4.47.279.901 I slot print_timing: id  0 | task 1986 | n_gen =    676, tg =  10.50 t/s, tg_3s =  10.48 t/s
4.50.341.151 I slot print_timing: id  0 | task 1986 | n_gen =    708, tg =  10.50 t/s, tg_3s =  10.45 t/s
4.53.401.316 I slot print_timing: id  0 | task 1986 | n_gen =    740, tg =  10.50 t/s, tg_3s =  10.46 t/s
4.56.457.660 I slot print_timing: id  0 | task 1986 | n_gen =    772, tg =  10.50 t/s, tg_3s =  10.47 t/s
