0.00.003.821 I srv  llama_server: initializing ...
0.00.866.205 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.873.133 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.878.376 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q8_0.gguf'
0.31.943.700 I cmn          init: llama threadpool init, n_threads = 6
0.32.454.183 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.32.553.835 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.32.554.084 I srv  llama_server: model loaded
0.32.554.103 I srv  llama_server: listening on http://127.0.0.1:8080
0.32.554.105 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.33.512.309 I srv    operator(): operator(): cleaning up before exit...
