0.00.003.775 I srv  llama_server: initializing ...
0.00.855.919 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.862.685 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.868.193 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Spark-X2.5-4B-Q8_0.gguf'
0.31.968.644 I cmn          init: llama threadpool init, n_threads = 6
0.32.471.479 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.32.570.052 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.32.570.907 I srv  llama_server: model loaded
0.32.570.927 I srv  llama_server: listening on http://127.0.0.1:8080
0.32.570.931 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.38.490.422 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.38.492.053 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.42.198.209 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2372, progress = 0.11, t =   3.71 s / 640.03 tokens per second
0.42.992.219 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2884, progress = 0.14, t =   4.50 s / 640.88 tokens per second
0.43.795.224 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3396, progress = 0.16, t =   5.30 s / 640.38 tokens per second
0.44.603.052 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3908, progress = 0.18, t =   6.11 s / 639.51 tokens per second
0.45.412.709 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4420, progress = 0.21, t =   6.92 s / 638.68 tokens per second
0.46.235.393 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4932, progress = 0.23, t =   7.74 s / 636.94 tokens per second
0.47.064.340 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5444, progress = 0.26, t =   8.57 s / 635.08 tokens per second
0.47.902.624 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5956, progress = 0.28, t =   9.41 s / 632.91 tokens per second
0.48.752.800 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6468, progress = 0.30, t =  10.26 s / 630.37 tokens per second
0.49.611.236 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6980, progress = 0.33, t =  11.12 s / 627.75 tokens per second
0.50.477.666 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7492, progress = 0.35, t =  11.99 s / 625.09 tokens per second
0.51.350.819 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8004, progress = 0.38, t =  12.86 s / 622.46 tokens per second
0.52.231.077 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8516, progress = 0.40, t =  13.74 s / 619.84 tokens per second
0.53.118.747 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9028, progress = 0.42, t =  14.63 s / 617.23 tokens per second
0.54.012.815 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9540, progress = 0.45, t =  15.52 s / 614.66 tokens per second
0.54.915.612 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10052, progress = 0.47, t =  16.42 s / 612.05 tokens per second
0.55.826.137 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10564, progress = 0.50, t =  17.33 s / 609.44 tokens per second
0.56.499.374 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10828, progress = 0.51, t =  18.01 s / 601.31 tokens per second
