0.00.199.580 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.201.233 W srv  llama_server: -----------------
0.00.201.238 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.201.238 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.201.239 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.201.239 W srv  llama_server: -----------------
0.00.203.303 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/K2-Horizon-3.7B-Q4_K_M.gguf'
0.02.637.672 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.08.034.833 I cmn          init: llama threadpool init, n_threads = 6
0.08.383.920 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.08.727.219 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.08.727.824 I srv  llama_server: model loaded
0.08.727.838 I srv  llama_server: listening on http://127.0.0.1:8080
0.08.727.839 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.08.727.839 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.16.087.225 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.16.088.255 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.23.365.475 I slot print_timing: id  0 | task 0 | prompt eval time =    2256.78 ms /  1274 tokens (    1.77 ms per token,   564.52 tokens per second)
0.23.365.485 I slot print_timing: id  0 | task 0 |        eval time =    5020.33 ms /    70 tokens (   72.76 ms per token,    13.74 tokens per second)
0.23.365.487 I slot print_timing: id  0 | task 0 |       total time =    7277.11 ms /  1344 tokens
0.23.365.498 I slot print_timing: id  0 | task 0 |    graphs reused =         72
0.23.365.751 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1343, truncated = 0
0.24.307.578 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.820 (> 0.100 thold), f_keep = 0.947
0.24.308.282 I slot launch_slot_: id  0 | task 73 | processing task, is_child = 0
0.30.661.534 I slot print_timing: id  0 | task 73 | prompt eval time =     588.46 ms /   280 tokens (    2.10 ms per token,   475.82 tokens per second)
0.30.661.541 I slot print_timing: id  0 | task 73 |        eval time =    5764.70 ms /    80 tokens (   72.97 ms per token,    13.70 tokens per second)
0.30.661.543 I slot print_timing: id  0 | task 73 |       total time =    6353.16 ms /   360 tokens
0.30.661.545 I slot print_timing: id  0 | task 73 |    graphs reused =        151
0.30.661.805 I slot      release: id  0 | task 73 | stop processing: n_tokens = 1631, truncated = 0
0.31.127.650 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.673 (> 0.100 thold), f_keep = 0.950
0.31.128.291 I slot launch_slot_: id  0 | task 154 | processing task, is_child = 0
0.39.973.257 I slot print_timing: id  0 | task 154 | n_gen =    100, tg =  13.37 t/s, tg_3s =  13.50 t/s
0.43.035.759 I slot print_timing: id  0 | task 154 | n_gen =    141, tg =  13.37 t/s, tg_3s =  13.39 t/s
0.46.103.266 I slot print_timing: id  0 | task 154 | n_gen =    182, tg =  13.37 t/s, tg_3s =  13.37 t/s
0.49.163.633 I slot print_timing: id  0 | task 154 | n_gen =    223, tg =  13.38 t/s, tg_3s =  13.40 t/s
0.52.170.619 I slot print_timing: id  0 | task 154 | n_gen =    263, tg =  13.36 t/s, tg_3s =  13.30 t/s
0.55.201.165 I slot print_timing: id  0 | task 154 | n_gen =    303, tg =  13.34 t/s, tg_3s =  13.20 t/s
0.58.231.688 I slot print_timing: id  0 | task 154 | n_gen =    343, tg =  13.33 t/s, tg_3s =  13.20 t/s
1.01.262.369 I slot print_timing: id  0 | task 154 | n_gen =    383, tg =  13.31 t/s, tg_3s =  13.20 t/s
1.04.295.344 I slot print_timing: id  0 | task 154 | n_gen =    423, tg =  13.30 t/s, tg_3s =  13.19 t/s
