0.00.194.452 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.196.282 W srv  llama_server: -----------------
0.00.196.288 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.196.289 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.196.290 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.196.290 W srv  llama_server: -----------------
0.00.198.479 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/K2-Horizon-3.7B-Q4_K_M.gguf'
0.02.603.947 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.07.823.592 I cmn          init: llama threadpool init, n_threads = 6
0.08.269.670 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.08.636.196 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.08.636.301 I srv  llama_server: model loaded
0.08.636.313 I srv  llama_server: listening on http://127.0.0.1:8080
0.08.636.313 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.08.636.314 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.14.361.462 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.14.361.636 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.17.791.186 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2048, progress = 0.88, t =   3.43 s / 597.18 tokens per second
0.26.038.627 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  13.33 t/s, tg_3s =  13.46 t/s
0.29.094.126 I slot print_timing: id  0 | task 1 | n_gen =    141, tg =  13.35 t/s, tg_3s =  13.42 t/s
0.32.160.177 I slot print_timing: id  0 | task 1 | n_gen =    182, tg =  13.36 t/s, tg_3s =  13.37 t/s
0.35.218.810 I slot print_timing: id  0 | task 1 | n_gen =    223, tg =  13.37 t/s, tg_3s =  13.40 t/s
0.38.242.652 I slot print_timing: id  0 | task 1 | n_gen =    263, tg =  13.35 t/s, tg_3s =  13.23 t/s
0.41.262.846 I slot print_timing: id  0 | task 1 | n_gen =    303, tg =  13.33 t/s, tg_3s =  13.24 t/s
0.44.283.161 I slot print_timing: id  0 | task 1 | n_gen =    343, tg =  13.32 t/s, tg_3s =  13.24 t/s
0.47.308.823 I slot print_timing: id  0 | task 1 | n_gen =    383, tg =  13.31 t/s, tg_3s =  13.22 t/s
0.50.335.610 I slot print_timing: id  0 | task 1 | n_gen =    423, tg =  13.30 t/s, tg_3s =  13.22 t/s
0.53.365.397 I slot print_timing: id  0 | task 1 | n_gen =    463, tg =  13.29 t/s, tg_3s =  13.20 t/s
0.56.426.807 I slot print_timing: id  0 | task 1 | n_gen =    503, tg =  13.27 t/s, tg_3s =  13.07 t/s
0.59.489.919 I slot print_timing: id  0 | task 1 | n_gen =    543, tg =  13.26 t/s, tg_3s =  13.06 t/s
1.02.553.812 I slot print_timing: id  0 | task 1 | n_gen =    583, tg =  13.24 t/s, tg_3s =  13.06 t/s
1.05.623.994 I slot print_timing: id  0 | task 1 | n_gen =    623, tg =  13.23 t/s, tg_3s =  13.03 t/s
1.08.694.865 I slot print_timing: id  0 | task 1 | n_gen =    663, tg =  13.22 t/s, tg_3s =  13.03 t/s
1.11.766.392 I slot print_timing: id  0 | task 1 | n_gen =    703, tg =  13.21 t/s, tg_3s =  13.02 t/s
1.14.828.847 I slot print_timing: id  0 | task 1 | n_gen =    743, tg =  13.20 t/s, tg_3s =  13.06 t/s
1.17.871.512 I slot print_timing: id  0 | task 1 | n_gen =    782, tg =  13.18 t/s, tg_3s =  12.82 t/s
1.20.903.280 I slot print_timing: id  0 | task 1 | n_gen =    821, tg =  13.16 t/s, tg_3s =  12.86 t/s
1.23.933.217 I slot print_timing: id  0 | task 1 | n_gen =    860, tg =  13.15 t/s, tg_3s =  12.87 t/s
1.26.961.461 I slot print_timing: id  0 | task 1 | n_gen =    899, tg =  13.14 t/s, tg_3s =  12.88 t/s
1.29.994.704 I slot print_timing: id  0 | task 1 | n_gen =    938, tg =  13.13 t/s, tg_3s =  12.86 t/s
1.33.023.500 I slot print_timing: id  0 | task 1 | n_gen =    977, tg =  13.12 t/s, tg_3s =  12.88 t/s
1.36.083.506 I slot print_timing: id  0 | task 1 | n_gen =   1016, tg =  13.10 t/s, tg_3s =  12.75 t/s
1.39.153.829 I slot print_timing: id  0 | task 1 | n_gen =   1055, tg =  13.09 t/s, tg_3s =  12.70 t/s
1.42.228.071 I slot print_timing: id  0 | task 1 | n_gen =   1094, tg =  13.07 t/s, tg_3s =  12.69 t/s
1.43.488.785 I slot print_timing: id  0 | task 1 | prompt eval time =    4248.97 ms /  2329 tokens (    1.82 ms per token,   548.13 tokens per second)
1.43.488.798 I slot print_timing: id  0 | task 1 |        eval time =   84878.09 ms /  1110 tokens (   76.54 ms per token,    13.07 tokens per second)
1.43.488.800 I slot print_timing: id  0 | task 1 |       total time =   89127.06 ms /  3439 tokens
1.43.488.810 I slot print_timing: id  0 | task 1 |    graphs reused =       1114
1.43.489.206 I slot      release: id  0 | task 1 | stop processing: n_tokens = 3438, truncated = 0
1.43.843.338 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 204476490442
1.43.994.361 I slot launch_slot_: id  0 | task 1116 | processing task, is_child = 0
1.53.838.683 I slot print_timing: id  0 | task 1116 | n_gen =    100, tg =  13.99 t/s, tg_3s =  14.14 t/s
1.56.904.263 I slot print_timing: id  0 | task 1116 | n_gen =    143, tg =  14.00 t/s, tg_3s =  14.03 t/s
1.59.941.261 I slot print_timing: id  0 | task 1116 | n_gen =    185, tg =  13.96 t/s, tg_3s =  13.83 t/s
2.02.976.011 I slot print_timing: id  0 | task 1116 | n_gen =    227, tg =  13.94 t/s, tg_3s =  13.84 t/s
2.06.014.577 I slot print_timing: id  0 | task 1116 | n_gen =    269, tg =  13.92 t/s, tg_3s =  13.82 t/s
2.09.054.336 I slot print_timing: id  0 | task 1116 | n_gen =    311, tg =  13.91 t/s, tg_3s =  13.82 t/s
2.12.093.676 I slot print_timing: id  0 | task 1116 | n_gen =    353, tg =  13.90 t/s, tg_3s =  13.82 t/s
2.15.131.355 I slot print_timing: id  0 | task 1116 | n_gen =    395, tg =  13.89 t/s, tg_3s =  13.83 t/s
2.18.137.360 I slot print_timing: id  0 | task 1116 | n_gen =    436, tg =  13.87 t/s, tg_3s =  13.64 t/s
