0.00.850.515 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.855.126 W srv  llama_server: -----------------
0.00.855.135 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.855.136 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.855.137 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.855.138 W srv  llama_server: -----------------
0.00.858.020 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/K2-Horizon-3.7B-Q4_K_M.gguf'
0.03.354.861 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.23.559.448 I cmn          init: llama threadpool init, n_threads = 6
0.24.005.865 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.24.372.969 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.24.373.735 I srv  llama_server: model loaded
0.24.373.747 I srv  llama_server: listening on http://127.0.0.1:8080
0.24.373.748 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.24.373.748 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.34.142.226 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.34.143.858 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.43.380.178 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  14.18 t/s, tg_3s =  14.32 t/s
0.44.129.719 I slot print_timing: id  0 | task 1 | prompt eval time =    2254.35 ms /  1257 tokens (    1.79 ms per token,   557.59 tokens per second)
0.44.129.727 I slot print_timing: id  0 | task 1 |        eval time =    7731.40 ms /   109 tokens (   71.59 ms per token,    13.97 tokens per second)
0.44.129.729 I slot print_timing: id  0 | task 1 |       total time =    9985.76 ms /  1366 tokens
0.44.129.739 I slot print_timing: id  0 | task 1 |    graphs reused =        111
0.44.129.997 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1365, truncated = 0
0.45.094.495 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.377 (> 0.100 thold), f_keep = 0.919
0.45.095.297 I slot launch_slot_: id  0 | task 113 | processing task, is_child = 0
0.48.710.518 I slot print_timing: id  0 | task 113 | prompt processing, n_tokens =   2048, progress = 0.99, t =   3.62 s / 566.51 tokens per second
0.53.781.934 I slot print_timing: id  0 | task 113 | prompt eval time =    3982.75 ms /  2073 tokens (    1.92 ms per token,   520.49 tokens per second)
