0.00.001.394 I srv  llama_server: initializing ...
0.00.238.405 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.240.607 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.243.268 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Agents-A1-4B-Q4_K_M.gguf'
0.12.388.301 I cmn          init: llama threadpool init, n_threads = 6
0.12.768.622 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.12.801.143 I srv  llama_server: model loaded
0.12.801.164 I srv  llama_server: listening on http://127.0.0.1:8080
0.12.801.166 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.16.599.486 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.16.599.664 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.19.971.369 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1598, progress = 0.77, t =   3.37 s / 473.96 tokens per second
0.20.781.802 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1935, progress = 0.94, t =   4.18 s / 462.69 tokens per second
0.21.024.081 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2063, progress = 1.00, t =   4.42 s / 466.28 tokens per second
0.28.244.827 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  14.30 t/s, tg_3s =  14.44 t/s
0.31.284.020 I slot print_timing: id  0 | task 1 | n_gen =    144, tg =  14.35 t/s, tg_3s =  14.48 t/s
0.34.342.395 I slot print_timing: id  0 | task 1 | n_gen =    188, tg =  14.36 t/s, tg_3s =  14.39 t/s
0.37.399.310 I slot print_timing: id  0 | task 1 | n_gen =    232, tg =  14.37 t/s, tg_3s =  14.39 t/s
0.40.417.572 I slot print_timing: id  0 | task 1 | n_gen =    275, tg =  14.35 t/s, tg_3s =  14.25 t/s
0.43.421.876 I slot print_timing: id  0 | task 1 | n_gen =    318, tg =  14.34 t/s, tg_3s =  14.31 t/s
0.46.483.390 I slot print_timing: id  0 | task 1 | n_gen =    362, tg =  14.35 t/s, tg_3s =  14.37 t/s
0.49.498.599 I slot print_timing: id  0 | task 1 | n_gen =    405, tg =  14.34 t/s, tg_3s =  14.26 t/s
0.52.501.390 I slot print_timing: id  0 | task 1 | n_gen =    448, tg =  14.34 t/s, tg_3s =  14.32 t/s
0.55.503.715 I slot print_timing: id  0 | task 1 | n_gen =    491, tg =  14.34 t/s, tg_3s =  14.32 t/s
0.58.538.765 I slot print_timing: id  0 | task 1 | n_gen =    534, tg =  14.32 t/s, tg_3s =  14.17 t/s
1.01.552.307 I slot print_timing: id  0 | task 1 | n_gen =    577, tg =  14.32 t/s, tg_3s =  14.27 t/s
1.04.570.831 I slot print_timing: id  0 | task 1 | n_gen =    620, tg =  14.31 t/s, tg_3s =  14.25 t/s
1.07.589.925 I slot print_timing: id  0 | task 1 | n_gen =    663, tg =  14.31 t/s, tg_3s =  14.24 t/s
1.10.594.397 I slot print_timing: id  0 | task 1 | n_gen =    706, tg =  14.31 t/s, tg_3s =  14.31 t/s
1.13.601.796 I slot print_timing: id  0 | task 1 | n_gen =    749, tg =  14.31 t/s, tg_3s =  14.30 t/s
1.16.656.674 I slot print_timing: id  0 | task 1 | n_gen =    792, tg =  14.29 t/s, tg_3s =  14.08 t/s
1.19.686.139 I slot print_timing: id  0 | task 1 | n_gen =    835, tg =  14.29 t/s, tg_3s =  14.19 t/s
1.22.706.569 I slot print_timing: id  0 | task 1 | n_gen =    878, tg =  14.29 t/s, tg_3s =  14.24 t/s
1.25.729.655 I slot print_timing: id  0 | task 1 | n_gen =    921, tg =  14.28 t/s, tg_3s =  14.22 t/s
1.28.756.100 I slot print_timing: id  0 | task 1 | n_gen =    964, tg =  14.28 t/s, tg_3s =  14.21 t/s
1.31.784.563 I slot print_timing: id  0 | task 1 | n_gen =   1007, tg =  14.28 t/s, tg_3s =  14.20 t/s
1.34.827.164 I slot print_timing: id  0 | task 1 | n_gen =   1050, tg =  14.27 t/s, tg_3s =  14.13 t/s
1.37.866.314 I slot print_timing: id  0 | task 1 | n_gen =   1093, tg =  14.27 t/s, tg_3s =  14.15 t/s
1.40.902.573 I slot print_timing: id  0 | task 1 | n_gen =   1136, tg =  14.26 t/s, tg_3s =  14.16 t/s
1.43.936.860 I slot print_timing: id  0 | task 1 | n_gen =   1179, tg =  14.26 t/s, tg_3s =  14.17 t/s
1.46.967.912 I slot print_timing: id  0 | task 1 | n_gen =   1222, tg =  14.26 t/s, tg_3s =  14.19 t/s
1.50.012.885 I slot print_timing: id  0 | task 1 | n_gen =   1265, tg =  14.25 t/s, tg_3s =  14.12 t/s
1.53.055.001 I slot print_timing: id  0 | task 1 | n_gen =   1308, tg =  14.25 t/s, tg_3s =  14.13 t/s
1.56.097.920 I slot print_timing: id  0 | task 1 | n_gen =   1351, tg =  14.24 t/s, tg_3s =  14.13 t/s
1.59.144.646 I slot print_timing: id  0 | task 1 | n_gen =   1394, tg =  14.24 t/s, tg_3s =  14.11 t/s
2.02.189.868 I slot print_timing: id  0 | task 1 | n_gen =   1437, tg =  14.24 t/s, tg_3s =  14.12 t/s
2.05.242.406 I slot print_timing: id  0 | task 1 | n_gen =   1480, tg =  14.23 t/s, tg_3s =  14.09 t/s
2.08.305.428 I slot print_timing: id  0 | task 1 | n_gen =   1523, tg =  14.23 t/s, tg_3s =  14.04 t/s
2.11.370.025 I slot print_timing: id  0 | task 1 | n_gen =   1566, tg =  14.22 t/s, tg_3s =  14.03 t/s
2.14.413.876 I slot print_timing: id  0 | task 1 | n_gen =   1609, tg =  14.22 t/s, tg_3s =  14.13 t/s
2.17.457.601 I slot print_timing: id  0 | task 1 | n_gen =   1652, tg =  14.22 t/s, tg_3s =  14.13 t/s
2.20.504.663 I slot print_timing: id  0 | task 1 | n_gen =   1695, tg =  14.21 t/s, tg_3s =  14.11 t/s
2.23.555.848 I slot print_timing: id  0 | task 1 | n_gen =   1738, tg =  14.21 t/s, tg_3s =  14.09 t/s
2.26.576.701 I slot print_timing: id  0 | task 1 | n_gen =   1780, tg =  14.20 t/s, tg_3s =  13.90 t/s
2.29.593.424 I slot print_timing: id  0 | task 1 | n_gen =   1822, tg =  14.20 t/s, tg_3s =  13.92 t/s
2.32.608.008 I slot print_timing: id  0 | task 1 | n_gen =   1864, tg =  14.19 t/s, tg_3s =  13.93 t/s
2.35.612.451 I slot print_timing: id  0 | task 1 | n_gen =   1906, tg =  14.19 t/s, tg_3s =  13.98 t/s
2.38.615.941 I slot print_timing: id  0 | task 1 | n_gen =   1948, tg =  14.18 t/s, tg_3s =  13.98 t/s
2.41.670.925 I slot print_timing: id  0 | task 1 | n_gen =   1991, tg =  14.18 t/s, tg_3s =  14.08 t/s
2.44.684.841 I slot print_timing: id  0 | task 1 | n_gen =   2033, tg =  14.17 t/s, tg_3s =  13.94 t/s
2.47.708.296 I slot print_timing: id  0 | task 1 | n_gen =   2075, tg =  14.17 t/s, tg_3s =  13.89 t/s
2.50.725.025 I slot print_timing: id  0 | task 1 | n_gen =   2117, tg =  14.16 t/s, tg_3s =  13.92 t/s
2.53.754.270 I slot print_timing: id  0 | task 1 | n_gen =   2159, tg =  14.16 t/s, tg_3s =  13.86 t/s
2.56.825.613 I slot print_timing: id  0 | task 1 | n_gen =   2202, tg =  14.15 t/s, tg_3s =  14.00 t/s
2.59.836.460 I slot print_timing: id  0 | task 1 | n_gen =   2244, tg =  14.15 t/s, tg_3s =  13.95 t/s
3.02.852.099 I slot print_timing: id  0 | task 1 | n_gen =   2286, tg =  14.15 t/s, tg_3s =  13.93 t/s
3.05.886.529 I slot print_timing: id  0 | task 1 | n_gen =   2328, tg =  14.14 t/s, tg_3s =  13.84 t/s
3.08.916.517 I slot print_timing: id  0 | task 1 | n_gen =   2370, tg =  14.14 t/s, tg_3s =  13.86 t/s
3.11.960.476 I slot print_timing: id  0 | task 1 | n_gen =   2412, tg =  14.13 t/s, tg_3s =  13.80 t/s
3.14.987.410 I slot print_timing: id  0 | task 1 | n_gen =   2454, tg =  14.12 t/s, tg_3s =  13.88 t/s
3.18.009.390 I slot print_timing: id  0 | task 1 | n_gen =   2496, tg =  14.12 t/s, tg_3s =  13.90 t/s
3.21.049.109 I slot print_timing: id  0 | task 1 | n_gen =   2538, tg =  14.12 t/s, tg_3s =  13.82 t/s
3.24.106.994 I slot print_timing: id  0 | task 1 | n_gen =   2580, tg =  14.11 t/s, tg_3s =  13.73 t/s
3.27.145.462 I slot print_timing: id  0 | task 1 | n_gen =   2622, tg =  14.10 t/s, tg_3s =  13.82 t/s
3.30.178.989 I slot print_timing: id  0 | task 1 | n_gen =   2664, tg =  14.10 t/s, tg_3s =  13.85 t/s
3.33.210.328 I slot print_timing: id  0 | task 1 | n_gen =   2706, tg =  14.10 t/s, tg_3s =  13.86 t/s
3.36.228.951 I slot print_timing: id  0 | task 1 | n_gen =   2748, tg =  14.09 t/s, tg_3s =  13.91 t/s
3.39.253.666 I slot print_timing: id  0 | task 1 | n_gen =   2790, tg =  14.09 t/s, tg_3s =  13.89 t/s
3.42.308.597 I slot print_timing: id  0 | task 1 | n_gen =   2832, tg =  14.09 t/s, tg_3s =  13.75 t/s
3.45.348.179 I slot print_timing: id  0 | task 1 | n_gen =   2874, tg =  14.08 t/s, tg_3s =  13.82 t/s
3.48.384.261 I slot print_timing: id  0 | task 1 | n_gen =   2916, tg =  14.08 t/s, tg_3s =  13.83 t/s
3.51.411.108 I slot print_timing: id  0 | task 1 | n_gen =   2958, tg =  14.07 t/s, tg_3s =  13.88 t/s
3.54.432.028 I slot print_timing: id  0 | task 1 | n_gen =   3000, tg =  14.07 t/s, tg_3s =  13.90 t/s
3.57.453.475 I slot print_timing: id  0 | task 1 | n_gen =   3042, tg =  14.07 t/s, tg_3s =  13.90 t/s
4.00.508.510 I slot print_timing: id  0 | task 1 | n_gen =   3084, tg =  14.07 t/s, tg_3s =  13.75 t/s
4.03.542.385 I slot print_timing: id  0 | task 1 | n_gen =   3126, tg =  14.06 t/s, tg_3s =  13.84 t/s
4.06.573.074 I slot print_timing: id  0 | task 1 | n_gen =   3168, tg =  14.06 t/s, tg_3s =  13.86 t/s
4.09.619.083 I slot print_timing: id  0 | task 1 | n_gen =   3210, tg =  14.06 t/s, tg_3s =  13.79 t/s
4.12.671.435 I slot print_timing: id  0 | task 1 | n_gen =   3252, tg =  14.05 t/s, tg_3s =  13.76 t/s
4.15.713.905 I slot print_timing: id  0 | task 1 | n_gen =   3294, tg =  14.05 t/s, tg_3s =  13.80 t/s
4.18.725.814 I slot print_timing: id  0 | task 1 | n_gen =   3335, tg =  14.04 t/s, tg_3s =  13.61 t/s
4.21.784.172 I slot print_timing: id  0 | task 1 | n_gen =   3377, tg =  14.04 t/s, tg_3s =  13.73 t/s
4.24.834.773 I slot print_timing: id  0 | task 1 | n_gen =   3419, tg =  14.04 t/s, tg_3s =  13.77 t/s
4.27.884.829 I slot print_timing: id  0 | task 1 | n_gen =   3461, tg =  14.03 t/s, tg_3s =  13.77 t/s
4.30.926.929 I slot print_timing: id  0 | task 1 | n_gen =   3503, tg =  14.03 t/s, tg_3s =  13.81 t/s
4.33.972.201 I slot print_timing: id  0 | task 1 | n_gen =   3545, tg =  14.03 t/s, tg_3s =  13.79 t/s
4.36.976.773 I slot print_timing: id  0 | task 1 | n_gen =   3586, tg =  14.02 t/s, tg_3s =  13.65 t/s
4.39.983.776 I slot print_timing: id  0 | task 1 | n_gen =   3627, tg =  14.02 t/s, tg_3s =  13.63 t/s
4.42.989.176 I slot print_timing: id  0 | task 1 | n_gen =   3668, tg =  14.01 t/s, tg_3s =  13.64 t/s
4.45.992.947 I slot print_timing: id  0 | task 1 | n_gen =   3709, tg =  14.01 t/s, tg_3s =  13.65 t/s
4.48.998.496 I slot print_timing: id  0 | task 1 | n_gen =   3750, tg =  14.01 t/s, tg_3s =  13.64 t/s
4.52.069.590 I slot print_timing: id  0 | task 1 | n_gen =   3792, tg =  14.00 t/s, tg_3s =  13.68 t/s
4.55.095.274 I slot print_timing: id  0 | task 1 | n_gen =   3833, tg =  14.00 t/s, tg_3s =  13.55 t/s
4.58.105.320 I slot print_timing: id  0 | task 1 | n_gen =   3874, tg =  13.99 t/s, tg_3s =  13.62 t/s
5.01.109.978 I slot print_timing: id  0 | task 1 | n_gen =   3915, tg =  13.99 t/s, tg_3s =  13.65 t/s
5.04.112.788 I slot print_timing: id  0 | task 1 | n_gen =   3956, tg =  13.99 t/s, tg_3s =  13.65 t/s
5.07.120.159 I slot print_timing: id  0 | task 1 | n_gen =   3997, tg =  13.98 t/s, tg_3s =  13.63 t/s
5.10.134.245 I slot print_timing: id  0 | task 1 | n_gen =   4038, tg =  13.98 t/s, tg_3s =  13.60 t/s
5.13.167.996 I slot print_timing: id  0 | task 1 | n_gen =   4079, tg =  13.97 t/s, tg_3s =  13.51 t/s
5.16.200.636 I slot print_timing: id  0 | task 1 | n_gen =   4120, tg =  13.97 t/s, tg_3s =  13.52 t/s
5.19.203.189 I slot print_timing: id  0 | task 1 | n_gen =   4161, tg =  13.97 t/s, tg_3s =  13.66 t/s
