0.00.009.201 I srv  llama_server: initializing ...
0.02.870.687 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.886.115 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.02.899.722 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Agents-A1-4B-Q4_K_M.gguf'
0.59.512.179 I cmn          init: llama threadpool init, n_threads = 6
1.00.050.503 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
1.00.100.702 I srv  llama_server: model loaded
1.00.100.723 I srv  llama_server: listening on http://127.0.0.1:8080
1.00.100.725 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.10.449.027 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.10.450.500 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.13.575.341 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1424, progress = 0.92, t =   3.12 s / 455.72 tokens per second
1.13.700.324 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1491, progress = 0.96, t =   3.25 s / 458.80 tokens per second
1.13.887.919 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1552, progress = 1.00, t =   3.44 s / 451.51 tokens per second
1.20.847.204 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  14.68 t/s, tg_3s =  14.83 t/s
1.22.797.990 I slot print_timing: id  0 | task 1 | prompt eval time =    3651.68 ms /  1556 tokens (    2.35 ms per token,   426.10 tokens per second)
1.22.798.003 I slot print_timing: id  0 | task 1 |        eval time =    8695.67 ms /   129 tokens (   67.93 ms per token,    14.72 tokens per second)
1.22.798.006 I slot print_timing: id  0 | task 1 |       total time =   12347.35 ms /  1685 tokens
1.22.798.017 I slot print_timing: id  0 | task 1 |    graphs reused =        132
1.22.798.417 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1684, truncated = 0
1.23.368.196 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.695 (> 0.100 thold), f_keep = 1.000
1.23.369.049 I slot launch_slot_: id  0 | task 136 | processing task, is_child = 0
1.30.887.842 I slot print_timing: id  0 | task 136 | prompt eval time =    1741.88 ms /   738 tokens (    2.36 ms per token,   423.68 tokens per second)
1.30.887.856 I slot print_timing: id  0 | task 136 |        eval time =    5776.83 ms /    85 tokens (   68.77 ms per token,    14.54 tokens per second)
1.30.887.859 I slot print_timing: id  0 | task 136 |       total time =    7518.71 ms /   823 tokens
