0.00.009.265 I srv  llama_server: initializing ...
0.02.816.211 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.831.660 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.02.844.970 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Agents-A1-4B-Q4_K_M.gguf'
1.13.011.615 I cmn          init: llama threadpool init, n_threads = 6
1.13.570.490 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
1.13.620.460 I srv  llama_server: model loaded
1.13.620.478 I srv  llama_server: listening on http://127.0.0.1:8080
1.13.620.479 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.19.324.903 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.19.325.184 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.22.713.497 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1598, progress = 0.73, t =   3.39 s / 471.63 tokens per second
1.23.810.142 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2050, progress = 0.94, t =   4.48 s / 457.09 tokens per second
1.24.040.216 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2178, progress = 1.00, t =   4.71 s / 461.94 tokens per second
1.31.328.101 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  14.17 t/s, tg_3s =  14.32 t/s
1.34.355.325 I slot print_timing: id  0 | task 1 | n_gen =    143, tg =  14.18 t/s, tg_3s =  14.20 t/s
1.37.379.279 I slot print_timing: id  0 | task 1 | n_gen =    186, tg =  14.19 t/s, tg_3s =  14.22 t/s
1.40.399.849 I slot print_timing: id  0 | task 1 | n_gen =    229, tg =  14.20 t/s, tg_3s =  14.24 t/s
1.43.427.839 I slot print_timing: id  0 | task 1 | n_gen =    272, tg =  14.20 t/s, tg_3s =  14.20 t/s
1.46.456.092 I slot print_timing: id  0 | task 1 | n_gen =    315, tg =  14.20 t/s, tg_3s =  14.20 t/s
1.49.469.840 I slot print_timing: id  0 | task 1 | n_gen =    358, tg =  14.21 t/s, tg_3s =  14.27 t/s
1.52.505.768 I slot print_timing: id  0 | task 1 | n_gen =    401, tg =  14.20 t/s, tg_3s =  14.16 t/s
1.55.517.582 I slot print_timing: id  0 | task 1 | n_gen =    444, tg =  14.21 t/s, tg_3s =  14.28 t/s
