0.00.003.511 I srv  llama_server: initializing ...
0.00.852.746 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.857.867 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.862.994 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Agents-A1-4B-Q4_K_M.gguf'
0.31.803.642 I cmn          init: llama threadpool init, n_threads = 6
0.32.331.409 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.32.383.193 I srv  llama_server: model loaded
0.32.383.216 I srv  llama_server: listening on http://127.0.0.1:8080
0.32.383.219 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.42.950.562 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.42.953.644 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.46.080.392 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1451, progress = 0.92, t =   3.13 s / 464.08 tokens per second
0.46.226.591 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1495, progress = 0.94, t =   3.27 s / 456.79 tokens per second
0.46.399.882 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1579, progress = 1.00, t =   3.45 s / 458.19 tokens per second
0.52.285.361 I slot print_timing: id  0 | task 0 | prompt eval time =    3695.74 ms /  1583 tokens (    2.33 ms per token,   428.33 tokens per second)
0.52.285.373 I slot print_timing: id  0 | task 0 |        eval time =    5635.88 ms /    82 tokens (   69.58 ms per token,    14.37 tokens per second)
0.52.285.376 I slot print_timing: id  0 | task 0 |       total time =    9331.62 ms /  1665 tokens
0.52.285.386 I slot print_timing: id  0 | task 0 |    graphs reused =         85
0.52.285.800 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1664, truncated = 0
0.52.892.173 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.775 (> 0.100 thold), f_keep = 1.000
0.52.893.052 I slot launch_slot_: id  0 | task 88 | processing task, is_child = 0
1.00.969.254 I slot print_timing: id  0 | task 88 | n_gen =    100, tg =  14.35 t/s, tg_3s =  14.50 t/s
1.03.816.734 I slot print_timing: id  0 | task 88 | prompt eval time =    1178.20 ms /   484 tokens (    2.43 ms per token,   410.80 tokens per second)
1.03.816.748 I slot print_timing: id  0 | task 88 |        eval time =    9745.41 ms /   141 tokens (   69.61 ms per token,    14.37 tokens per second)
1.03.816.751 I slot print_timing: id  0 | task 88 |       total time =   10923.61 ms /   625 tokens
1.03.816.758 I slot print_timing: id  0 | task 88 |    graphs reused =        224
1.03.817.170 I slot      release: id  0 | task 88 | stop processing: n_tokens = 2288, truncated = 0
1.03.909.383 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.935 (> 0.100 thold), f_keep = 1.000
1.03.910.216 I slot launch_slot_: id  0 | task 232 | processing task, is_child = 0
1.11.330.971 I slot print_timing: id  0 | task 232 | n_gen =    100, tg =  14.30 t/s, tg_3s =  14.44 t/s
1.14.352.526 I slot print_timing: id  0 | task 232 | n_gen =    143, tg =  14.28 t/s, tg_3s =  14.23 t/s
1.17.409.541 I slot print_timing: id  0 | task 232 | n_gen =    187, tg =  14.30 t/s, tg_3s =  14.39 t/s
1.20.410.685 I slot print_timing: id  0 | task 232 | n_gen =    230, tg =  14.31 t/s, tg_3s =  14.33 t/s
1.22.587.504 I slot print_timing: id  0 | task 232 | prompt eval time =     495.38 ms /   159 tokens (    3.12 ms per token,   320.97 tokens per second)
1.22.587.517 I slot print_timing: id  0 | task 232 |        eval time =   18181.83 ms /   261 tokens (   69.93 ms per token,    14.30 tokens per second)
1.22.587.520 I slot print_timing: id  0 | task 232 |       total time =   18677.21 ms /   420 tokens
1.22.587.523 I slot print_timing: id  0 | task 232 |    graphs reused =        482
1.22.587.964 I slot      release: id  0 | task 232 | stop processing: n_tokens = 2707, truncated = 0
1.24.520.246 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.617 (> 0.100 thold), f_keep = 0.584
1.24.521.178 I slot launch_slot_: id  0 | task 497 | processing task, is_child = 0
1.33.804.543 I slot print_timing: id  0 | task 497 | n_gen =    100, tg =  14.47 t/s, tg_3s =  14.62 t/s
1.36.835.450 I slot print_timing: id  0 | task 497 | n_gen =    144, tg =  14.49 t/s, tg_3s =  14.52 t/s
1.37.109.733 I slot print_timing: id  0 | task 497 | prompt eval time =    2442.46 ms /   983 tokens (    2.48 ms per token,   402.46 tokens per second)
1.37.109.745 I slot print_timing: id  0 | task 497 |        eval time =   10146.01 ms /   148 tokens (   69.02 ms per token,    14.49 tokens per second)
1.37.109.748 I slot print_timing: id  0 | task 497 |       total time =   12588.48 ms /  1131 tokens
1.37.109.751 I slot print_timing: id  0 | task 497 |    graphs reused =        630
1.37.110.233 I slot      release: id  0 | task 497 | stop processing: n_tokens = 2709, truncated = 0
1.37.259.857 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.149 (> 0.100 thold), f_keep = 1.000
1.37.260.377 I slot launch_slot_: id  0 | task 650 | processing task, is_child = 0
1.40.388.549 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   1536, progress = 0.23, t =   3.13 s / 491.03 tokens per second
1.41.529.756 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   2048, progress = 0.26, t =   4.27 s / 479.70 tokens per second
1.42.674.979 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   2560, progress = 0.29, t =   5.41 s / 472.80 tokens per second
1.43.826.946 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   3072, progress = 0.32, t =   6.57 s / 467.83 tokens per second
1.44.986.830 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   3584, progress = 0.35, t =   7.73 s / 463.87 tokens per second
1.46.154.303 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   4096, progress = 0.37, t =   8.89 s / 460.54 tokens per second
1.47.331.288 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   4608, progress = 0.40, t =  10.07 s / 457.56 tokens per second
1.48.517.215 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   5120, progress = 0.43, t =  11.26 s / 454.84 tokens per second
1.49.709.804 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   5632, progress = 0.46, t =  12.45 s / 452.39 tokens per second
1.50.911.537 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   6144, progress = 0.49, t =  13.65 s / 450.07 tokens per second
1.52.119.098 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   6656, progress = 0.52, t =  14.86 s / 447.95 tokens per second
1.53.330.648 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   7168, progress = 0.54, t =  16.07 s / 446.04 tokens per second
1.54.550.480 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   7680, progress = 0.57, t =  17.29 s / 444.19 tokens per second
1.55.777.037 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   8192, progress = 0.60, t =  18.52 s / 442.41 tokens per second
1.57.010.665 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   8704, progress = 0.63, t =  19.75 s / 440.70 tokens per second
1.58.250.771 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   9216, progress = 0.66, t =  20.99 s / 439.06 tokens per second
1.59.496.595 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =   9728, progress = 0.68, t =  22.24 s / 437.49 tokens per second
2.00.748.372 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =  10240, progress = 0.71, t =  23.49 s / 435.97 tokens per second
2.02.006.412 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =  10752, progress = 0.74, t =  24.75 s / 434.50 tokens per second
2.03.270.378 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =  11264, progress = 0.77, t =  26.01 s / 433.07 tokens per second
2.04.540.843 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =  11776, progress = 0.80, t =  27.28 s / 431.67 tokens per second
2.05.816.192 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =  12288, progress = 0.83, t =  28.56 s / 430.32 tokens per second
2.07.099.465 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =  12800, progress = 0.85, t =  29.84 s / 428.97 tokens per second
2.08.387.742 I slot print_timing: id  0 | task 650 | prompt processing, n_tokens =  13312, progress = 0.88, t =  31.13 s / 427.66 tokens per second
