0.00.001.497 I srv  llama_server: initializing ...
0.00.235.491 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.237.442 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.240.170 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.01.666.767 W common_fit_params: failed to fit params to free device memory: n_gpu_layers already set by user to 99, abort
0.18.191.003 I cmn          init: llama threadpool init, n_threads = 6
0.18.645.085 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.18.674.723 I srv  llama_server: model loaded
0.18.674.747 I srv  llama_server: listening on http://127.0.0.1:8080
0.18.674.749 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.26.174.094 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.26.176.135 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.30.324.912 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1425, progress = 0.92, t =   4.15 s / 343.48 tokens per second
0.30.497.476 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1492, progress = 0.96, t =   4.32 s / 345.27 tokens per second
0.30.739.941 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1553, progress = 1.00, t =   4.56 s / 340.29 tokens per second
0.38.833.331 I slot print_timing: id  0 | task 1 | prompt eval time =    4880.40 ms /  1557 tokens (    3.13 ms per token,   319.03 tokens per second)
0.38.833.351 I slot print_timing: id  0 | task 1 |        eval time =    7776.65 ms /    95 tokens (   82.73 ms per token,    12.09 tokens per second)
0.38.833.355 I slot print_timing: id  0 | task 1 |       total time =   12657.04 ms /  1652 tokens
0.38.833.365 I slot print_timing: id  0 | task 1 |    graphs reused =         98
0.38.853.616 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1651, truncated = 0
0.38.993.600 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.820 (> 0.100 thold), f_keep = 1.000
0.38.994.437 I slot launch_slot_: id  0 | task 102 | processing task, is_child = 0
