0.00.003.485 I srv  llama_server: initializing ...
0.00.863.603 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.869.332 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.874.758 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.56.892.125 I cmn          init: llama threadpool init, n_threads = 6
0.57.514.595 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.57.564.948 I srv  llama_server: model loaded
0.57.564.973 I srv  llama_server: listening on http://127.0.0.1:8080
0.57.564.976 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.08.544.133 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.08.546.002 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.12.722.319 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1452, progress = 0.92, t =   4.18 s / 347.68 tokens per second
1.12.883.651 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1496, progress = 0.94, t =   4.34 s / 344.90 tokens per second
1.13.156.554 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1580, progress = 1.00, t =   4.61 s / 342.70 tokens per second
1.18.824.377 I slot print_timing: id  0 | task 0 | prompt eval time =    4964.64 ms /  1584 tokens (    3.13 ms per token,   319.06 tokens per second)
1.18.824.389 I slot print_timing: id  0 | task 0 |        eval time =    5313.64 ms /    66 tokens (   81.75 ms per token,    12.23 tokens per second)
1.18.824.391 I slot print_timing: id  0 | task 0 |       total time =   10278.28 ms /  1650 tokens
1.18.824.402 I slot print_timing: id  0 | task 0 |    graphs reused =         70
1.18.824.839 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1649, truncated = 0
1.19.446.897 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.776 (> 0.100 thold), f_keep = 1.000
1.19.447.669 I slot launch_slot_: id  0 | task 72 | processing task, is_child = 0
1.28.933.916 I slot print_timing: id  0 | task 72 | n_gen =    100, tg =  12.50 t/s, tg_3s =  12.63 t/s
1.31.993.084 I slot print_timing: id  0 | task 72 | n_gen =    138, tg =  12.48 t/s, tg_3s =  12.42 t/s
1.35.012.758 I slot print_timing: id  0 | task 72 | n_gen =    175, tg =  12.43 t/s, tg_3s =  12.25 t/s
1.38.020.741 I slot print_timing: id  0 | task 72 | n_gen =    212, tg =  12.41 t/s, tg_3s =  12.30 t/s
1.41.031.031 I slot print_timing: id  0 | task 72 | n_gen =    249, tg =  12.39 t/s, tg_3s =  12.29 t/s
1.41.924.084 I slot print_timing: id  0 | task 72 | prompt eval time =    1568.95 ms /   477 tokens (    3.29 ms per token,   304.02 tokens per second)
1.41.924.095 I slot print_timing: id  0 | task 72 |        eval time =   20907.39 ms /   260 tokens (   80.72 ms per token,    12.39 tokens per second)
1.41.924.098 I slot print_timing: id  0 | task 72 |       total time =   22476.35 ms /   737 tokens
1.41.924.101 I slot print_timing: id  0 | task 72 |    graphs reused =        327
1.41.924.528 I slot      release: id  0 | task 72 | stop processing: n_tokens = 2385, truncated = 0
1.43.859.559 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.658 (> 0.100 thold), f_keep = 0.663
1.43.860.046 I slot launch_slot_: id  0 | task 336 | processing task, is_child = 0
1.51.985.806 I slot print_timing: id  0 | task 336 | prompt eval time =    2766.10 ms /   826 tokens (    3.35 ms per token,   298.62 tokens per second)
1.51.985.817 I slot print_timing: id  0 | task 336 |        eval time =    5359.59 ms /    66 tokens (   82.46 ms per token,    12.13 tokens per second)
1.51.985.819 I slot print_timing: id  0 | task 336 |       total time =    8125.69 ms /   892 tokens
1.51.985.822 I slot print_timing: id  0 | task 336 |    graphs reused =        393
1.51.986.313 I slot      release: id  0 | task 336 | stop processing: n_tokens = 2471, truncated = 0
1.52.157.949 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.138 (> 0.100 thold), f_keep = 1.000
1.52.158.506 I slot launch_slot_: id  0 | task 407 | processing task, is_child = 0
1.56.284.538 I slot print_timing: id  0 | task 407 | prompt processing, n_tokens =   1536, progress = 0.22, t =   4.13 s / 372.28 tokens per second
1.57.789.677 I slot print_timing: id  0 | task 407 | prompt processing, n_tokens =   2048, progress = 0.25, t =   5.63 s / 363.69 tokens per second
1.59.299.348 I slot print_timing: id  0 | task 407 | prompt processing, n_tokens =   2560, progress = 0.28, t =   7.14 s / 358.50 tokens per second
2.00.817.201 I slot print_timing: id  0 | task 407 | prompt processing, n_tokens =   3072, progress = 0.31, t =   8.66 s / 354.79 tokens per second
2.02.340.970 I slot print_timing: id  0 | task 407 | prompt processing, n_tokens =   3584, progress = 0.34, t =  10.18 s / 351.98 tokens per second
2.03.873.396 I slot print_timing: id  0 | task 407 | prompt processing, n_tokens =   4096, progress = 0.37, t =  11.71 s / 349.64 tokens per second
