0.00.001.331 I srv  llama_server: initializing ...
0.00.254.863 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.257.197 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.260.024 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.17.648.694 I cmn          init: llama threadpool init, n_threads = 6
0.18.096.183 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.18.125.706 I srv  llama_server: model loaded
0.18.125.727 I srv  llama_server: listening on http://127.0.0.1:8080
0.18.125.729 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.22.652.525 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.653.540 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.26.833.103 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1496, progress = 0.08, t =   4.18 s / 357.94 tokens per second
0.28.177.366 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2008, progress = 0.11, t =   5.52 s / 363.52 tokens per second
0.29.657.248 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2520, progress = 0.13, t =   7.00 s / 359.81 tokens per second
0.31.142.199 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3032, progress = 0.16, t =   8.49 s / 357.19 tokens per second
0.32.634.263 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3544, progress = 0.19, t =   9.98 s / 355.09 tokens per second
0.34.133.085 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4056, progress = 0.22, t =  11.48 s / 353.33 tokens per second
0.35.634.444 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4568, progress = 0.24, t =  12.98 s / 351.90 tokens per second
0.37.143.147 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5080, progress = 0.27, t =  14.49 s / 350.60 tokens per second
0.38.657.288 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5592, progress = 0.30, t =  16.00 s / 349.42 tokens per second
0.40.178.803 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6104, progress = 0.33, t =  17.53 s / 348.30 tokens per second
0.41.711.367 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6616, progress = 0.35, t =  19.06 s / 347.16 tokens per second
0.43.249.466 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7128, progress = 0.38, t =  20.60 s / 346.09 tokens per second
0.44.793.453 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7640, progress = 0.41, t =  22.14 s / 345.08 tokens per second
0.46.324.127 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8152, progress = 0.43, t =  23.67 s / 344.39 tokens per second
0.47.834.053 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8664, progress = 0.46, t =  25.18 s / 344.08 tokens per second
0.49.360.493 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9176, progress = 0.49, t =  26.71 s / 343.58 tokens per second
0.50.897.989 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9688, progress = 0.52, t =  28.24 s / 343.01 tokens per second
0.52.449.210 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10200, progress = 0.54, t =  29.80 s / 342.33 tokens per second
0.54.011.485 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10712, progress = 0.57, t =  31.36 s / 341.61 tokens per second
0.55.584.398 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11224, progress = 0.60, t =  32.93 s / 340.84 tokens per second
0.57.168.364 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  11736, progress = 0.63, t =  34.51 s / 340.03 tokens per second
0.58.759.187 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12248, progress = 0.65, t =  36.11 s / 339.23 tokens per second
1.00.356.199 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  12760, progress = 0.68, t =  37.70 s / 338.44 tokens per second
1.01.963.113 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13272, progress = 0.71, t =  39.31 s / 337.63 tokens per second
1.03.575.963 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  13784, progress = 0.74, t =  40.92 s / 336.83 tokens per second
1.05.198.735 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14296, progress = 0.76, t =  42.55 s / 336.02 tokens per second
1.06.829.055 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  14808, progress = 0.79, t =  44.18 s / 335.21 tokens per second
1.08.465.476 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15320, progress = 0.82, t =  45.81 s / 334.41 tokens per second
1.10.108.014 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  15832, progress = 0.84, t =  47.45 s / 333.63 tokens per second
1.11.755.574 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16344, progress = 0.87, t =  49.10 s / 332.86 tokens per second
1.12.246.799 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16426, progress = 0.88, t =  49.59 s / 331.21 tokens per second
1.13.859.040 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  16938, progress = 0.90, t =  51.21 s / 330.79 tokens per second
1.15.523.964 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17450, progress = 0.93, t =  52.87 s / 330.05 tokens per second
1.17.196.092 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  17962, progress = 0.96, t =  54.54 s / 329.32 tokens per second
1.18.922.592 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18474, progress = 0.99, t =  56.27 s / 328.32 tokens per second
1.19.718.614 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18620, progress = 0.99, t =  57.06 s / 326.29 tokens per second
1.19.949.242 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18719, progress = 1.00, t =  57.30 s / 326.71 tokens per second
1.20.294.827 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  18748, progress = 1.00, t =  57.64 s / 325.25 tokens per second
1.28.459.283 I slot print_timing: id  0 | task 1 | prompt eval time =   57937.77 ms / 18752 tokens (    3.09 ms per token,   323.66 tokens per second)
1.28.459.297 I slot print_timing: id  0 | task 1 |        eval time =    7867.88 ms /    80 tokens (   99.59 ms per token,    10.04 tokens per second)
1.28.459.300 I slot print_timing: id  0 | task 1 |       total time =   65805.65 ms / 18832 tokens
1.28.459.314 I slot print_timing: id  0 | task 1 |    graphs reused =        149
1.28.461.489 I slot      release: id  0 | task 1 | stop processing: n_tokens = 18831, truncated = 0
1.28.661.564 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.999 (> 0.100 thold), f_keep = 1.000
1.28.662.072 I slot launch_slot_: id  0 | task 122 | processing task, is_child = 0
