0.00.001.711 I srv  llama_server: initializing ...
0.00.263.177 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.265.593 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.268.333 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.18.194.705 I cmn          init: llama threadpool init, n_threads = 6
0.18.658.570 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.18.688.291 I srv  llama_server: model loaded
0.18.688.312 I srv  llama_server: listening on http://127.0.0.1:8080
0.18.688.314 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.25.928.831 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.25.930.677 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.30.076.848 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1426, progress = 0.92, t =   4.15 s / 343.94 tokens per second
0.30.248.827 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1493, progress = 0.96, t =   4.32 s / 345.76 tokens per second
0.30.490.609 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1554, progress = 1.00, t =   4.56 s / 340.80 tokens per second
0.38.986.288 I slot print_timing: id  0 | task 1 | prompt eval time =    4871.57 ms /  1558 tokens (    3.13 ms per token,   319.81 tokens per second)
0.38.986.304 I slot print_timing: id  0 | task 1 |        eval time =    8183.94 ms /   100 tokens (   82.67 ms per token,    12.10 tokens per second)
0.38.986.308 I slot print_timing: id  0 | task 1 |       total time =   13055.51 ms /  1658 tokens
0.38.986.318 I slot print_timing: id  0 | task 1 |    graphs reused =        103
0.38.987.061 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1657, truncated = 0
0.39.622.415 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.694 (> 0.100 thold), f_keep = 1.000
0.39.623.275 I slot launch_slot_: id  0 | task 107 | processing task, is_child = 0
0.50.066.843 I slot print_timing: id  0 | task 107 | n_gen =    100, tg =  12.17 t/s, tg_3s =  12.29 t/s
0.52.042.532 I slot print_timing: id  0 | task 107 | prompt eval time =    2307.47 ms /   731 tokens (    3.16 ms per token,   316.80 tokens per second)
0.52.042.545 I slot print_timing: id  0 | task 107 |        eval time =   10111.72 ms /   124 tokens (   82.21 ms per token,    12.16 tokens per second)
0.52.042.547 I slot print_timing: id  0 | task 107 |       total time =   12419.18 ms /   855 tokens
0.52.042.550 I slot print_timing: id  0 | task 107 |    graphs reused =        226
0.52.043.001 I slot      release: id  0 | task 107 | stop processing: n_tokens = 2511, truncated = 0
0.52.145.338 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.545 (> 0.100 thold), f_keep = 1.000
0.52.146.140 I slot launch_slot_: id  0 | task 235 | processing task, is_child = 0
0.56.278.349 I slot print_timing: id  0 | task 235 | prompt processing, n_tokens =   1536, progress = 0.88, t =   4.13 s / 371.72 tokens per second
0.57.824.316 I slot print_timing: id  0 | task 235 | prompt processing, n_tokens =   1966, progress = 0.97, t =   5.68 s / 346.24 tokens per second
0.58.080.949 I slot print_timing: id  0 | task 235 | prompt processing, n_tokens =   2094, progress = 1.00, t =   5.93 s / 352.84 tokens per second
1.06.857.985 I slot print_timing: id  0 | task 235 | n_gen =    100, tg =  11.83 t/s, tg_3s =  11.95 t/s
1.09.892.431 I slot print_timing: id  0 | task 235 | n_gen =    136, tg =  11.84 t/s, tg_3s =  11.86 t/s
1.12.949.499 I slot print_timing: id  0 | task 235 | n_gen =    172, tg =  11.83 t/s, tg_3s =  11.78 t/s
1.16.020.801 I slot print_timing: id  0 | task 235 | n_gen =    208, tg =  11.81 t/s, tg_3s =  11.72 t/s
1.19.077.790 I slot print_timing: id  0 | task 235 | n_gen =    244, tg =  11.80 t/s, tg_3s =  11.78 t/s
1.22.097.489 I slot print_timing: id  0 | task 235 | n_gen =    279, tg =  11.78 t/s, tg_3s =  11.59 t/s
1.25.140.145 I slot print_timing: id  0 | task 235 | n_gen =    314, tg =  11.74 t/s, tg_3s =  11.50 t/s
1.28.170.632 I slot print_timing: id  0 | task 235 | n_gen =    349, tg =  11.72 t/s, tg_3s =  11.55 t/s
1.31.203.798 I slot print_timing: id  0 | task 235 | n_gen =    384, tg =  11.71 t/s, tg_3s =  11.54 t/s
1.34.251.078 I slot print_timing: id  0 | task 235 | n_gen =    419, tg =  11.69 t/s, tg_3s =  11.49 t/s
1.37.295.676 I slot print_timing: id  0 | task 235 | n_gen =    454, tg =  11.67 t/s, tg_3s =  11.50 t/s
1.40.350.292 I slot print_timing: id  0 | task 235 | n_gen =    489, tg =  11.66 t/s, tg_3s =  11.46 t/s
1.43.389.872 I slot print_timing: id  0 | task 235 | n_gen =    524, tg =  11.65 t/s, tg_3s =  11.51 t/s
1.46.414.500 I slot print_timing: id  0 | task 235 | n_gen =    559, tg =  11.64 t/s, tg_3s =  11.57 t/s
1.49.453.954 I slot print_timing: id  0 | task 235 | n_gen =    594, tg =  11.64 t/s, tg_3s =  11.52 t/s
1.52.495.907 I slot print_timing: id  0 | task 235 | n_gen =    629, tg =  11.63 t/s, tg_3s =  11.51 t/s
1.55.535.970 I slot print_timing: id  0 | task 235 | n_gen =    664, tg =  11.62 t/s, tg_3s =  11.51 t/s
1.58.588.972 I slot print_timing: id  0 | task 235 | n_gen =    699, tg =  11.61 t/s, tg_3s =  11.46 t/s
2.01.634.935 I slot print_timing: id  0 | task 235 | n_gen =    734, tg =  11.61 t/s, tg_3s =  11.49 t/s
2.04.697.534 I slot print_timing: id  0 | task 235 | n_gen =    769, tg =  11.60 t/s, tg_3s =  11.43 t/s
2.05.661.093 I slot print_timing: id  0 | task 235 | prompt eval time =    6343.82 ms /  2098 tokens (    3.02 ms per token,   330.72 tokens per second)
2.05.661.108 I slot print_timing: id  0 | task 235 |        eval time =   67171.06 ms /   780 tokens (   86.23 ms per token,    11.60 tokens per second)
2.05.661.110 I slot print_timing: id  0 | task 235 |       total time =   73514.88 ms /  2878 tokens
2.05.661.114 I slot print_timing: id  0 | task 235 |    graphs reused =       1008
2.05.664.769 I slot      release: id  0 | task 235 | stop processing: n_tokens = 5388, truncated = 0
2.05.789.862 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.995 (> 0.100 thold), f_keep = 1.000
2.05.790.789 I slot launch_slot_: id  0 | task 1021 | processing task, is_child = 0
2.15.177.507 I slot print_timing: id  0 | task 1021 | n_gen =    100, tg =  11.25 t/s, tg_3s =  11.37 t/s
2.18.215.549 I slot print_timing: id  0 | task 1021 | n_gen =    135, tg =  11.32 t/s, tg_3s =  11.52 t/s
2.21.256.239 I slot print_timing: id  0 | task 1021 | n_gen =    170, tg =  11.36 t/s, tg_3s =  11.51 t/s
2.24.299.696 I slot print_timing: id  0 | task 1021 | n_gen =    205, tg =  11.38 t/s, tg_3s =  11.50 t/s
2.26.914.533 I slot print_timing: id  0 | task 1021 | prompt eval time =     589.18 ms /    29 tokens (   20.32 ms per token,    49.22 tokens per second)
2.26.914.548 I slot print_timing: id  0 | task 1021 |        eval time =   20534.47 ms /   235 tokens (   87.75 ms per token,    11.40 tokens per second)
2.26.914.551 I slot print_timing: id  0 | task 1021 |       total time =   21123.66 ms /   264 tokens
2.26.914.554 I slot print_timing: id  0 | task 1021 |    graphs reused =       1240
2.26.917.421 I slot      release: id  0 | task 1021 | stop processing: n_tokens = 5651, truncated = 0
2.27.066.859 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.995 (> 0.100 thold), f_keep = 1.000
2.27.069.093 I slot launch_slot_: id  0 | task 1258 | processing task, is_child = 0
2.36.290.797 I slot print_timing: id  0 | task 1258 | n_gen =    100, tg =  11.29 t/s, tg_3s =  11.41 t/s
2.39.307.990 I slot print_timing: id  0 | task 1258 | n_gen =    134, tg =  11.29 t/s, tg_3s =  11.27 t/s
2.39.661.090 I slot print_timing: id  0 | task 1258 | prompt eval time =     454.03 ms /    29 tokens (   15.66 ms per token,    63.87 tokens per second)
2.39.661.106 I slot print_timing: id  0 | task 1258 |        eval time =   12137.88 ms /   138 tokens (   88.60 ms per token,    11.29 tokens per second)
2.39.661.110 I slot print_timing: id  0 | task 1258 |       total time =   12591.91 ms /   167 tokens
2.39.661.113 I slot print_timing: id  0 | task 1258 |    graphs reused =       1376
2.39.662.977 I slot      release: id  0 | task 1258 | stop processing: n_tokens = 5817, truncated = 0
2.39.788.752 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.995 (> 0.100 thold), f_keep = 1.000
2.39.790.314 I slot launch_slot_: id  0 | task 1398 | processing task, is_child = 0
2.50.220.192 I slot print_timing: id  0 | task 1398 | n_gen =    100, tg =  11.34 t/s, tg_3s =  11.45 t/s
