0.00.001.543 I srv  llama_server: initializing ...
0.00.236.333 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.238.286 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.240.995 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.5-9B-IQ4_XS.gguf'
0.51.241.360 I cmn          init: llama threadpool init, n_threads = 6
0.51.864.614 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.51.914.950 I srv  llama_server: model loaded
0.51.914.976 I srv  llama_server: listening on http://127.0.0.1:8080
0.51.914.980 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.02.001.801 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.02.003.806 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.06.176.322 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1453, progress = 0.92, t =   4.17 s / 348.24 tokens per second
1.06.376.353 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1497, progress = 0.94, t =   4.37 s / 342.37 tokens per second
1.06.590.314 I slot print_timing: id  0 | task 0 | prompt processing, n_tokens =   1581, progress = 1.00, t =   4.59 s / 344.71 tokens per second
1.12.249.025 I slot print_timing: id  0 | task 0 | prompt eval time =    4954.85 ms /  1585 tokens (    3.13 ms per token,   319.89 tokens per second)
1.12.249.036 I slot print_timing: id  0 | task 0 |        eval time =    5290.27 ms /    65 tokens (   82.66 ms per token,    12.10 tokens per second)
1.12.249.039 I slot print_timing: id  0 | task 0 |       total time =   10245.12 ms /  1650 tokens
1.12.249.048 I slot print_timing: id  0 | task 0 |    graphs reused =         68
1.12.249.529 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1649, truncated = 0
1.12.858.236 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.776 (> 0.100 thold), f_keep = 1.000
1.12.859.061 I slot launch_slot_: id  0 | task 71 | processing task, is_child = 0
1.22.569.796 I slot print_timing: id  0 | task 71 | n_gen =    100, tg =  12.15 t/s, tg_3s =  12.28 t/s
1.25.594.932 I slot print_timing: id  0 | task 71 | n_gen =    137, tg =  12.18 t/s, tg_3s =  12.23 t/s
1.27.948.275 I slot print_timing: id  0 | task 71 | prompt eval time =    1565.84 ms /   477 tokens (    3.28 ms per token,   304.63 tokens per second)
1.27.948.290 I slot print_timing: id  0 | task 71 |        eval time =   13523.30 ms /   166 tokens (   81.96 ms per token,    12.20 tokens per second)
1.27.948.293 I slot print_timing: id  0 | task 71 |       total time =   15089.14 ms /   643 tokens
1.27.948.296 I slot print_timing: id  0 | task 71 |    graphs reused =        232
1.27.948.788 I slot      release: id  0 | task 71 | stop processing: n_tokens = 2291, truncated = 0
1.29.875.418 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.686 (> 0.100 thold), f_keep = 0.691
1.29.875.933 I slot launch_slot_: id  0 | task 241 | processing task, is_child = 0
1.37.530.822 I slot print_timing: id  0 | task 241 | prompt eval time =    2474.89 ms /   728 tokens (    3.40 ms per token,   294.15 tokens per second)
1.37.530.833 I slot print_timing: id  0 | task 241 |        eval time =    5179.94 ms /    64 tokens (   82.22 ms per token,    12.16 tokens per second)
1.37.530.836 I slot print_timing: id  0 | task 241 |       total time =    7654.83 ms /   792 tokens
1.37.530.841 I slot print_timing: id  0 | task 241 |    graphs reused =        295
1.37.531.279 I slot      release: id  0 | task 241 | stop processing: n_tokens = 2372, truncated = 0
1.37.645.862 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.880 (> 0.100 thold), f_keep = 1.000
1.37.646.573 I slot launch_slot_: id  0 | task 310 | processing task, is_child = 0
1.42.748.208 I slot print_timing: id  0 | task 310 | prompt eval time =    1118.22 ms /   324 tokens (    3.45 ms per token,   289.75 tokens per second)
