0.00.001.541 I srv  llama_server: initializing ...
0.00.241.584 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.243.635 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.246.404 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/LFM2.5-2.6B-Q8_0.gguf'
0.11.492.934 I cmn          init: llama threadpool init, n_threads = 6
0.11.807.941 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.11.835.252 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.11.835.385 I srv  llama_server: model loaded
0.11.835.403 I srv  llama_server: listening on http://127.0.0.1:8080
0.11.835.407 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.19.720.528 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.19.721.922 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.26.346.232 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  19.50 t/s, tg_3s =  19.70 t/s
0.26.830.799 I slot print_timing: id  0 | task 1 | prompt eval time =    1547.35 ms /  1366 tokens (    1.13 ms per token,   882.80 tokens per second)
0.26.830.814 I slot print_timing: id  0 | task 1 |        eval time =    5561.43 ms /   110 tokens (   51.02 ms per token,    19.60 tokens per second)
0.26.830.816 I slot print_timing: id  0 | task 1 |       total time =    7108.79 ms /  1476 tokens
0.26.830.827 I slot print_timing: id  0 | task 1 |    graphs reused =        112
0.26.831.242 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1475, truncated = 0
0.27.349.795 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.685 (> 0.100 thold), f_keep = 1.000
0.27.350.621 I slot launch_slot_: id  0 | task 116 | processing task, is_child = 0
0.32.939.361 I slot print_timing: id  0 | task 116 | n_gen =    100, tg =  20.50 t/s, tg_3s =  20.71 t/s
