0.00.009.600 I srv  llama_server: initializing ...
0.02.779.080 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.794.293 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.02.807.810 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/LFM2.5-2.6B-Q8_0.gguf'
1.26.227.383 I cmn          init: llama threadpool init, n_threads = 6
1.26.592.292 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
1.26.613.983 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
1.26.614.100 I srv  llama_server: model loaded
1.26.614.118 I srv  llama_server: listening on http://127.0.0.1:8080
1.26.614.119 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.33.409.623 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.33.410.672 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.36.788.122 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3584, progress = 0.76, t =   3.38 s / 1061.18 tokens per second
1.37.278.674 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4096, progress = 0.86, t =   3.87 s / 1058.97 tokens per second
1.37.773.142 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4608, progress = 0.97, t =   4.36 s / 1056.30 tokens per second
1.37.923.113 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4614, progress = 0.97, t =   4.51 s / 1022.53 tokens per second
1.37.979.365 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4742, progress = 1.00, t =   4.57 s / 1037.95 tokens per second
1.43.026.960 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  20.39 t/s, tg_3s =  20.59 t/s
1.46.066.276 I slot print_timing: id  0 | task 1 | n_gen =    162, tg =  20.39 t/s, tg_3s =  20.40 t/s
1.49.087.218 I slot print_timing: id  0 | task 1 | n_gen =    224, tg =  20.43 t/s, tg_3s =  20.52 t/s
1.52.106.858 I slot print_timing: id  0 | task 1 | n_gen =    286, tg =  20.45 t/s, tg_3s =  20.53 t/s
1.55.122.142 I slot print_timing: id  0 | task 1 | n_gen =    348, tg =  20.47 t/s, tg_3s =  20.56 t/s
1.58.151.188 I slot print_timing: id  0 | task 1 | n_gen =    410, tg =  20.47 t/s, tg_3s =  20.47 t/s
2.01.178.199 I slot print_timing: id  0 | task 1 | n_gen =    472, tg =  20.47 t/s, tg_3s =  20.48 t/s
2.04.214.786 I slot print_timing: id  0 | task 1 | n_gen =    534, tg =  20.47 t/s, tg_3s =  20.42 t/s
2.07.243.295 I slot print_timing: id  0 | task 1 | n_gen =    596, tg =  20.47 t/s, tg_3s =  20.47 t/s
2.10.286.423 I slot print_timing: id  0 | task 1 | n_gen =    658, tg =  20.46 t/s, tg_3s =  20.37 t/s
2.13.289.955 I slot print_timing: id  0 | task 1 | n_gen =    719, tg =  20.44 t/s, tg_3s =  20.31 t/s
2.15.505.605 I slot print_timing: id  0 | task 1 | prompt eval time =    4760.30 ms /  4746 tokens (    1.00 ms per token,   997.00 tokens per second)
2.15.505.618 I slot print_timing: id  0 | task 1 |        eval time =   37334.55 ms /   764 tokens (   48.93 ms per token,    20.44 tokens per second)
2.15.505.621 I slot print_timing: id  0 | task 1 |       total time =   42094.85 ms /  5510 tokens
2.15.505.631 I slot print_timing: id  0 | task 1 |    graphs reused =        777
2.15.506.450 I slot      release: id  0 | task 1 | stop processing: n_tokens = 5509, truncated = 0
2.15.541.148 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.119 (> 0.100 thold), f_keep = 0.013
2.15.563.020 I slot launch_slot_: id  0 | task 777 | processing task, is_child = 0
2.20.855.858 I slot print_timing: id  0 | task 777 | n_gen =    100, tg =  21.23 t/s, tg_3s =  21.44 t/s
2.23.873.716 I slot print_timing: id  0 | task 777 | n_gen =    164, tg =  21.22 t/s, tg_3s =  21.21 t/s
2.26.890.913 I slot print_timing: id  0 | task 777 | n_gen =    228, tg =  21.22 t/s, tg_3s =  21.21 t/s
2.29.896.827 I slot print_timing: id  0 | task 777 | n_gen =    292, tg =  21.23 t/s, tg_3s =  21.29 t/s
2.32.918.606 I slot print_timing: id  0 | task 777 | n_gen =    356, tg =  21.22 t/s, tg_3s =  21.18 t/s
2.35.937.149 I slot print_timing: id  0 | task 777 | n_gen =    420, tg =  21.22 t/s, tg_3s =  21.20 t/s
2.38.947.415 I slot print_timing: id  0 | task 777 | n_gen =    484, tg =  21.23 t/s, tg_3s =  21.26 t/s
2.41.762.595 I slot print_timing: id  0 | task 777 | prompt eval time =     628.88 ms /   612 tokens (    1.03 ms per token,   973.16 tokens per second)
2.41.762.610 I slot print_timing: id  0 | task 777 |        eval time =   25570.62 ms /   544 tokens (   47.09 ms per token,    21.24 tokens per second)
2.41.762.613 I slot print_timing: id  0 | task 777 |       total time =   26199.50 ms /  1156 tokens
2.41.762.616 I slot print_timing: id  0 | task 777 |    graphs reused =       1317
2.41.762.789 I slot      release: id  0 | task 777 | stop processing: n_tokens = 1155, truncated = 0
2.41.985.417 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 293651970370
2.41.997.874 I slot launch_slot_: id  0 | task 1324 | processing task, is_child = 0
2.45.239.424 I slot print_timing: id  0 | task 1324 | prompt processing, n_tokens =   3584, progress = 0.16, t =   3.24 s / 1105.68 tokens per second
2.45.729.351 I slot print_timing: id  0 | task 1324 | prompt processing, n_tokens =   4096, progress = 0.19, t =   3.73 s / 1097.72 tokens per second
2.46.222.218 I slot print_timing: id  0 | task 1324 | prompt processing, n_tokens =   4608, progress = 0.21, t =   4.22 s / 1090.84 tokens per second
2.46.718.787 I slot print_timing: id  0 | task 1324 | prompt processing, n_tokens =   5120, progress = 0.23, t =   4.72 s / 1084.56 tokens per second
