0.00.009.158 I srv  llama_server: initializing ...
0.02.796.870 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.02.812.034 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.02.824.190 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/LFM2.5-2.6B-Q8_0.gguf'
1.11.830.951 I cmn          init: llama threadpool init, n_threads = 6
1.12.261.662 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
1.12.306.512 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
1.12.306.642 I srv  llama_server: model loaded
1.12.306.660 I srv  llama_server: listening on http://127.0.0.1:8080
1.12.306.661 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.22.309.434 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.22.312.626 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
1.28.496.865 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  21.07 t/s, tg_3s =  21.29 t/s
1.30.681.030 I slot print_timing: id  0 | task 0 | prompt eval time =    1486.13 ms /  1393 tokens (    1.07 ms per token,   937.33 tokens per second)
1.30.681.043 I slot print_timing: id  0 | task 0 |        eval time =    6882.18 ms /   146 tokens (   47.46 ms per token,    21.07 tokens per second)
1.30.681.046 I slot print_timing: id  0 | task 0 |       total time =    8368.31 ms /  1539 tokens
1.30.681.056 I slot print_timing: id  0 | task 0 |    graphs reused =        147
1.30.681.514 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1538, truncated = 0
1.31.286.940 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.759 (> 0.100 thold), f_keep = 1.000
1.31.288.146 I slot launch_slot_: id  0 | task 151 | processing task, is_child = 0
1.36.555.491 I slot print_timing: id  0 | task 151 | n_gen =    100, tg =  21.00 t/s, tg_3s =  21.21 t/s
1.39.597.460 I slot print_timing: id  0 | task 151 | n_gen =    164, tg =  21.01 t/s, tg_3s =  21.04 t/s
1.42.620.264 I slot print_timing: id  0 | task 151 | n_gen =    228, tg =  21.06 t/s, tg_3s =  21.17 t/s
1.45.659.183 I slot print_timing: id  0 | task 151 | n_gen =    292, tg =  21.06 t/s, tg_3s =  21.06 t/s
1.48.697.429 I slot print_timing: id  0 | task 151 | n_gen =    356, tg =  21.06 t/s, tg_3s =  21.06 t/s
1.51.739.993 I slot print_timing: id  0 | task 151 | n_gen =    420, tg =  21.06 t/s, tg_3s =  21.03 t/s
1.54.786.193 I slot print_timing: id  0 | task 151 | n_gen =    484, tg =  21.05 t/s, tg_3s =  21.01 t/s
1.57.806.267 I slot print_timing: id  0 | task 151 | n_gen =    547, tg =  21.03 t/s, tg_3s =  20.86 t/s
2.00.663.262 I slot print_timing: id  0 | task 151 | prompt eval time =     552.09 ms /   488 tokens (    1.13 ms per token,   883.92 tokens per second)
2.00.663.277 I slot print_timing: id  0 | task 151 |        eval time =   28822.96 ms /   607 tokens (   47.56 ms per token,    21.02 tokens per second)
2.00.663.279 I slot print_timing: id  0 | task 151 |       total time =   29375.05 ms /  1095 tokens
2.00.663.282 I slot print_timing: id  0 | task 151 |    graphs reused =        749
2.00.663.793 I slot      release: id  0 | task 151 | stop processing: n_tokens = 2632, truncated = 0
2.00.754.024 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.868 (> 0.100 thold), f_keep = 1.000
2.00.754.874 I slot launch_slot_: id  0 | task 761 | processing task, is_child = 0
2.05.986.476 I slot print_timing: id  0 | task 761 | n_gen =    100, tg =  20.81 t/s, tg_3s =  21.02 t/s
2.09.005.361 I slot print_timing: id  0 | task 761 | n_gen =    163, tg =  20.83 t/s, tg_3s =  20.87 t/s
2.12.009.912 I slot print_timing: id  0 | task 761 | n_gen =    226, tg =  20.87 t/s, tg_3s =  20.97 t/s
2.15.029.128 I slot print_timing: id  0 | task 761 | n_gen =    289, tg =  20.87 t/s, tg_3s =  20.87 t/s
2.18.063.007 I slot print_timing: id  0 | task 761 | n_gen =    352, tg =  20.85 t/s, tg_3s =  20.77 t/s
2.21.098.795 I slot print_timing: id  0 | task 761 | n_gen =    415, tg =  20.84 t/s, tg_3s =  20.75 t/s
2.24.121.292 I slot print_timing: id  0 | task 761 | n_gen =    478, tg =  20.84 t/s, tg_3s =  20.84 t/s
2.24.169.024 I slot print_timing: id  0 | task 761 | prompt eval time =     473.93 ms /   402 tokens (    1.18 ms per token,   848.23 tokens per second)
2.24.169.037 I slot print_timing: id  0 | task 761 |        eval time =   22940.16 ms /   479 tokens (   47.99 ms per token,    20.84 tokens per second)
2.24.169.040 I slot print_timing: id  0 | task 761 |       total time =   23414.09 ms /   881 tokens
2.24.169.042 I slot print_timing: id  0 | task 761 |    graphs reused =       1224
2.24.169.723 I slot      release: id  0 | task 761 | stop processing: n_tokens = 3512, truncated = 0
2.24.307.538 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 296279084472
2.24.321.178 I slot launch_slot_: id  0 | task 1243 | processing task, is_child = 0
2.24.321.226 E srv    send_error: task id = 1243, error: request (44310 tokens) exceeds the available context size (32768 tokens), try increasing it
2.24.321.241 I slot      release: id  0 | task 1243 | stop processing: n_tokens = 3512, truncated = 0
2.24.321.298 W srv          stop: cancel task, id_task = 1243
2.24.377.019 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 296279235986
2.24.377.767 I slot launch_slot_: id  0 | task 1246 | processing task, is_child = 0
2.27.615.029 I slot print_timing: id  0 | task 1246 | prompt processing, n_tokens =   3584, progress = 0.82, t =   3.24 s / 1107.14 tokens per second
2.28.106.663 I slot print_timing: id  0 | task 1246 | prompt processing, n_tokens =   4096, progress = 0.94, t =   3.73 s / 1098.47 tokens per second
2.28.355.618 I slot print_timing: id  0 | task 1246 | prompt processing, n_tokens =   4237, progress = 0.97, t =   3.98 s / 1065.17 tokens per second
2.28.405.029 I slot print_timing: id  0 | task 1246 | prompt processing, n_tokens =   4365, progress = 1.00, t =   4.03 s / 1083.88 tokens per second
2.33.400.392 I slot print_timing: id  0 | task 1246 | n_gen =    100, tg =  20.54 t/s, tg_3s =  20.74 t/s
2.36.406.888 I slot print_timing: id  0 | task 1246 | n_gen =    162, tg =  20.57 t/s, tg_3s =  20.62 t/s
2.39.407.401 I slot print_timing: id  0 | task 1246 | n_gen =    224, tg =  20.59 t/s, tg_3s =  20.66 t/s
2.42.433.830 I slot print_timing: id  0 | task 1246 | n_gen =    286, tg =  20.57 t/s, tg_3s =  20.49 t/s
2.45.440.445 I slot print_timing: id  0 | task 1246 | n_gen =    348, tg =  20.58 t/s, tg_3s =  20.62 t/s
2.48.448.596 I slot print_timing: id  0 | task 1246 | n_gen =    410, tg =  20.58 t/s, tg_3s =  20.61 t/s
2.51.459.042 I slot print_timing: id  0 | task 1246 | n_gen =    472, tg =  20.59 t/s, tg_3s =  20.59 t/s
2.54.491.495 I slot print_timing: id  0 | task 1246 | n_gen =    534, tg =  20.57 t/s, tg_3s =  20.45 t/s
2.57.525.462 I slot print_timing: id  0 | task 1246 | n_gen =    596, tg =  20.56 t/s, tg_3s =  20.44 t/s
3.00.547.502 I slot print_timing: id  0 | task 1246 | n_gen =    658, tg =  20.55 t/s, tg_3s =  20.52 t/s
3.03.563.728 I slot print_timing: id  0 | task 1246 | n_gen =    720, tg =  20.55 t/s, tg_3s =  20.56 t/s
3.06.592.404 I slot print_timing: id  0 | task 1246 | n_gen =    782, tg =  20.55 t/s, tg_3s =  20.47 t/s
3.09.615.637 I slot print_timing: id  0 | task 1246 | n_gen =    844, tg =  20.54 t/s, tg_3s =  20.51 t/s
3.12.639.805 I slot print_timing: id  0 | task 1246 | n_gen =    906, tg =  20.54 t/s, tg_3s =  20.50 t/s
3.13.520.959 I slot print_timing: id  0 | task 1246 | prompt eval time =    4201.65 ms /  4369 tokens (    0.96 ms per token,  1039.83 tokens per second)
3.13.520.971 I slot print_timing: id  0 | task 1246 |        eval time =   44941.48 ms /   924 tokens (   48.69 ms per token,    20.54 tokens per second)
3.13.520.974 I slot print_timing: id  0 | task 1246 |       total time =   49143.13 ms /  5293 tokens
3.13.520.976 I slot print_timing: id  0 | task 1246 |    graphs reused =       2158
3.13.521.700 I slot      release: id  0 | task 1246 | stop processing: n_tokens = 5292, truncated = 0
3.13.562.489 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 296328436448
3.13.603.980 I slot launch_slot_: id  0 | task 2181 | processing task, is_child = 0
3.19.019.697 I slot print_timing: id  0 | task 2181 | n_gen =    100, tg =  21.07 t/s, tg_3s =  21.29 t/s
3.22.064.534 I slot print_timing: id  0 | task 2181 | n_gen =    164, tg =  21.05 t/s, tg_3s =  21.02 t/s
3.25.104.953 I slot print_timing: id  0 | task 2181 | n_gen =    228, tg =  21.05 t/s, tg_3s =  21.05 t/s
3.28.139.662 I slot print_timing: id  0 | task 2181 | n_gen =    292, tg =  21.06 t/s, tg_3s =  21.09 t/s
3.29.661.373 I slot print_timing: id  0 | task 2181 | prompt eval time =     717.84 ms /   648 tokens (    1.11 ms per token,   902.71 tokens per second)
3.29.661.386 I slot print_timing: id  0 | task 2181 |        eval time =   15339.48 ms /   324 tokens (   47.49 ms per token,    21.06 tokens per second)
3.29.661.389 I slot print_timing: id  0 | task 2181 |       total time =   16057.32 ms /   972 tokens
3.29.661.392 I slot print_timing: id  0 | task 2181 |    graphs reused =       2481
3.29.661.869 I slot      release: id  0 | task 2181 | stop processing: n_tokens = 2232, truncated = 0
3.29.787.049 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 296344576618
3.29.794.169 I slot launch_slot_: id  0 | task 2509 | processing task, is_child = 0
3.29.794.210 E srv    send_error: task id = 2509, error: request (43288 tokens) exceeds the available context size (32768 tokens), try increasing it
3.29.794.222 I slot      release: id  0 | task 2509 | stop processing: n_tokens = 2232, truncated = 0
3.29.794.270 W srv          stop: cancel task, id_task = 2509
3.29.821.769 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 296344708967
3.29.822.339 I slot launch_slot_: id  0 | task 2512 | processing task, is_child = 0
3.32.940.044 I slot print_timing: id  0 | task 2512 | prompt processing, n_tokens =   3387, progress = 0.96, t =   3.12 s / 1086.40 tokens per second
3.33.022.902 I slot print_timing: id  0 | task 2512 | prompt processing, n_tokens =   3515, progress = 1.00, t =   3.20 s / 1098.27 tokens per second
3.37.969.044 I slot print_timing: id  0 | task 2512 | n_gen =    100, tg =  20.74 t/s, tg_3s =  20.95 t/s
3.40.992.813 I slot print_timing: id  0 | task 2512 | n_gen =    163, tg =  20.78 t/s, tg_3s =  20.83 t/s
3.44.026.484 I slot print_timing: id  0 | task 2512 | n_gen =    226, tg =  20.77 t/s, tg_3s =  20.77 t/s
3.47.064.373 I slot print_timing: id  0 | task 2512 | n_gen =    289, tg =  20.77 t/s, tg_3s =  20.74 t/s
3.50.066.777 I slot print_timing: id  0 | task 2512 | n_gen =    351, tg =  20.75 t/s, tg_3s =  20.65 t/s
3.53.108.955 I slot print_timing: id  0 | task 2512 | n_gen =    414, tg =  20.74 t/s, tg_3s =  20.71 t/s
3.56.156.168 I slot print_timing: id  0 | task 2512 | n_gen =    477, tg =  20.73 t/s, tg_3s =  20.67 t/s
3.59.202.539 I slot print_timing: id  0 | task 2512 | n_gen =    540, tg =  20.73 t/s, tg_3s =  20.68 t/s
4.02.214.636 I slot print_timing: id  0 | task 2512 | n_gen =    602, tg =  20.71 t/s, tg_3s =  20.58 t/s
4.05.218.379 I slot print_timing: id  0 | task 2512 | n_gen =    664, tg =  20.70 t/s, tg_3s =  20.64 t/s
4.08.226.212 I slot print_timing: id  0 | task 2512 | n_gen =    726, tg =  20.70 t/s, tg_3s =  20.61 t/s
