0.00.851.831 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.856.365 W srv  llama_server: -----------------
0.00.856.375 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.856.377 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.856.377 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.856.378 W srv  llama_server: -----------------
0.00.860.330 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/K2-Horizon-3.7B-Q4_K_M.gguf'
0.03.369.704 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.23.558.556 I cmn          init: llama threadpool init, n_threads = 6
0.24.022.057 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.24.388.988 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.24.390.296 I srv  llama_server: model loaded
0.24.390.309 I srv  llama_server: listening on http://127.0.0.1:8080
0.24.390.310 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.24.390.311 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.34.791.374 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.34.792.817 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.40.667.688 I slot print_timing: id  0 | task 0 | prompt eval time =    2369.36 ms /  1281 tokens (    1.85 ms per token,   540.65 tokens per second)
0.40.667.696 I slot print_timing: id  0 | task 0 |        eval time =    3505.40 ms /    49 tokens (   73.03 ms per token,    13.69 tokens per second)
0.40.667.697 I slot print_timing: id  0 | task 0 |       total time =    5874.76 ms /  1330 tokens
0.40.667.708 I slot print_timing: id  0 | task 0 |    graphs reused =         54
0.40.667.949 I slot      release: id  0 | task 0 | stop processing: n_tokens = 1329, truncated = 0
0.41.643.683 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.730 (> 0.100 thold), f_keep = 0.962
0.41.644.375 I slot launch_slot_: id  0 | task 52 | processing task, is_child = 0
0.49.636.314 I slot print_timing: id  0 | task 52 | n_gen =    100, tg =  13.96 t/s, tg_3s =  14.10 t/s
0.51.724.992 I slot print_timing: id  0 | task 52 | prompt eval time =     898.52 ms /   473 tokens (    1.90 ms per token,   526.42 tokens per second)
0.51.725.006 I slot print_timing: id  0 | task 52 |        eval time =    9182.03 ms /   129 tokens (   71.73 ms per token,    13.94 tokens per second)
0.51.725.009 I slot print_timing: id  0 | task 52 |       total time =   10080.55 ms /   602 tokens
0.51.725.012 I slot print_timing: id  0 | task 52 |    graphs reused =        181
0.51.725.402 I slot      release: id  0 | task 52 | stop processing: n_tokens = 1880, truncated = 0
0.54.024.556 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.906 (> 0.100 thold), f_keep = 0.931
0.54.025.236 I slot launch_slot_: id  0 | task 183 | processing task, is_child = 0
0.58.235.074 I slot print_timing: id  0 | task 183 | prompt eval time =     422.39 ms /   182 tokens (    2.32 ms per token,   430.88 tokens per second)
0.58.235.082 I slot print_timing: id  0 | task 183 |        eval time =    3787.37 ms /    52 tokens (   74.26 ms per token,    13.47 tokens per second)
0.58.235.084 I slot print_timing: id  0 | task 183 |       total time =    4209.76 ms /   234 tokens
0.58.235.087 I slot print_timing: id  0 | task 183 |    graphs reused =        231
0.58.235.401 I slot      release: id  0 | task 183 | stop processing: n_tokens = 1983, truncated = 0
0.58.743.818 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.120 (> 0.100 thold), f_keep = 0.973
0.58.744.509 I slot launch_slot_: id  0 | task 236 | processing task, is_child = 0
1.02.515.857 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   2048, progress = 0.25, t =   3.77 s / 543.05 tokens per second
1.03.586.493 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   2560, progress = 0.28, t =   4.84 s / 528.72 tokens per second
1.04.685.659 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   3072, progress = 0.31, t =   5.94 s / 517.08 tokens per second
1.05.827.942 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   3584, progress = 0.34, t =   7.08 s / 505.97 tokens per second
1.07.015.661 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   4096, progress = 0.37, t =   8.27 s / 495.22 tokens per second
1.08.241.181 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   4608, progress = 0.41, t =   9.50 s / 485.23 tokens per second
1.09.516.035 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   5120, progress = 0.44, t =  10.77 s / 475.33 tokens per second
1.10.829.169 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   5632, progress = 0.47, t =  12.08 s / 466.05 tokens per second
1.12.172.178 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   6144, progress = 0.50, t =  13.43 s / 457.57 tokens per second
1.13.548.687 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   6656, progress = 0.53, t =  14.80 s / 449.61 tokens per second
1.14.961.205 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   7168, progress = 0.56, t =  16.22 s / 442.02 tokens per second
1.16.411.209 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   7680, progress = 0.60, t =  17.67 s / 434.72 tokens per second
1.17.905.071 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   8192, progress = 0.63, t =  19.16 s / 427.55 tokens per second
1.19.441.845 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   8704, progress = 0.66, t =  20.70 s / 420.54 tokens per second
1.21.016.415 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   9216, progress = 0.69, t =  22.27 s / 413.80 tokens per second
1.22.627.857 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =   9728, progress = 0.72, t =  23.88 s / 407.31 tokens per second
1.24.276.679 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =  10240, progress = 0.75, t =  25.53 s / 401.06 tokens per second
1.25.957.574 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =  10752, progress = 0.79, t =  27.21 s / 395.11 tokens per second
1.27.673.958 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =  11264, progress = 0.82, t =  28.93 s / 389.36 tokens per second
1.29.428.193 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =  11776, progress = 0.85, t =  30.68 s / 383.79 tokens per second
1.31.222.535 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =  12288, progress = 0.88, t =  32.48 s / 378.35 tokens per second
1.33.057.752 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =  12800, progress = 0.91, t =  34.31 s / 373.03 tokens per second
1.34.934.262 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =  13312, progress = 0.94, t =  36.19 s / 367.84 tokens per second
1.36.853.299 I slot print_timing: id  0 | task 236 | prompt processing, n_tokens =  13824, progress = 0.98, t =  38.11 s / 362.75 tokens per second
1.51.382.837 I slot print_timing: id  0 | task 236 | n_gen =    100, tg =   7.51 t/s, tg_3s =   7.59 t/s
1.54.438.850 I slot print_timing: id  0 | task 236 | n_gen =    123, tg =   7.52 t/s, tg_3s =   7.53 t/s
1.57.497.455 I slot print_timing: id  0 | task 236 | n_gen =    146, tg =   7.52 t/s, tg_3s =   7.52 t/s
1.58.923.427 I slot print_timing: id  0 | task 236 | prompt eval time =   40060.88 ms / 14200 tokens (    2.82 ms per token,   354.46 tokens per second)
1.58.923.438 I slot print_timing: id  0 | task 236 |        eval time =   20718.49 ms /   156 tokens (  133.67 ms per token,     7.48 tokens per second)
1.58.923.440 I slot print_timing: id  0 | task 236 |       total time =   60779.37 ms / 14356 tokens
1.58.923.442 I slot print_timing: id  0 | task 236 |    graphs reused =        440
1.58.924.515 I slot      release: id  0 | task 236 | stop processing: n_tokens = 16285, truncated = 0
1.59.445.535 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.991 (> 0.100 thold), f_keep = 0.994
1.59.446.344 I slot launch_slot_: id  0 | task 420 | processing task, is_child = 0
2.04.403.371 I slot print_timing: id  0 | task 420 | prompt eval time =     728.26 ms /   146 tokens (    4.99 ms per token,   200.48 tokens per second)
2.04.403.380 I slot print_timing: id  0 | task 420 |        eval time =    4228.69 ms /    32 tokens (  136.41 ms per token,     7.33 tokens per second)
2.04.403.382 I slot print_timing: id  0 | task 420 |       total time =    4956.95 ms /   178 tokens
2.04.403.384 I slot print_timing: id  0 | task 420 |    graphs reused =        470
2.04.404.409 I slot      release: id  0 | task 420 | stop processing: n_tokens = 16367, truncated = 0
2.05.320.298 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.978 (> 0.100 thold), f_keep = 0.998
2.05.321.113 I slot launch_slot_: id  0 | task 453 | processing task, is_child = 0
2.20.200.956 I slot print_timing: id  0 | task 453 | n_gen =    100, tg =   7.39 t/s, tg_3s =   7.47 t/s
2.21.685.258 I slot print_timing: id  0 | task 453 | prompt eval time =    1484.26 ms /   360 tokens (    4.12 ms per token,   242.55 tokens per second)
2.21.685.276 I slot print_timing: id  0 | task 453 |        eval time =   14879.82 ms /   111 tokens (  135.27 ms per token,     7.39 tokens per second)
2.21.685.281 I slot print_timing: id  0 | task 453 |       total time =   16364.07 ms /   471 tokens
2.21.685.284 I slot print_timing: id  0 | task 453 |    graphs reused =        580
2.21.686.957 I slot      release: id  0 | task 453 | stop processing: n_tokens = 16804, truncated = 0
2.24.060.832 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.991 (> 0.100 thold), f_keep = 0.993
2.24.061.569 I slot launch_slot_: id  0 | task 566 | processing task, is_child = 0
2.31.120.046 I slot print_timing: id  0 | task 566 | prompt eval time =     735.40 ms /   146 tokens (    5.04 ms per token,   198.53 tokens per second)
2.31.120.054 I slot print_timing: id  0 | task 566 |        eval time =    6323.00 ms /    47 tokens (  137.46 ms per token,     7.28 tokens per second)
2.31.120.056 I slot print_timing: id  0 | task 566 |       total time =    7058.40 ms /   193 tokens
2.31.120.059 I slot print_timing: id  0 | task 566 |    graphs reused =        625
2.31.121.073 I slot      release: id  0 | task 566 | stop processing: n_tokens = 16884, truncated = 0
2.31.681.188 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.543 (> 0.100 thold), f_keep = 0.997
2.31.682.027 I slot launch_slot_: id  0 | task 614 | processing task, is_child = 0
2.35.286.534 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   1024, progress = 0.58, t =   3.60 s / 284.09 tokens per second
2.37.385.913 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   1536, progress = 0.59, t =   5.70 s / 269.29 tokens per second
2.39.522.980 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   2048, progress = 0.61, t =   7.84 s / 261.20 tokens per second
2.41.691.741 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   2560, progress = 0.63, t =  10.01 s / 255.75 tokens per second
2.43.901.739 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   3072, progress = 0.64, t =  12.22 s / 251.40 tokens per second
2.46.152.268 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   3584, progress = 0.66, t =  14.47 s / 247.68 tokens per second
2.48.440.062 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   4096, progress = 0.68, t =  16.76 s / 244.42 tokens per second
2.51.305.370 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   4608, progress = 0.69, t =  19.08 s / 241.52 tokens per second
2.53.665.587 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   5120, progress = 0.71, t =  21.44 s / 238.81 tokens per second
2.56.061.505 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   5632, progress = 0.73, t =  23.84 s / 236.29 tokens per second
2.58.497.526 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   6144, progress = 0.74, t =  26.27 s / 233.87 tokens per second
3.00.978.314 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   6656, progress = 0.76, t =  28.75 s / 231.49 tokens per second
3.03.500.135 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   7168, progress = 0.77, t =  31.27 s / 229.20 tokens per second
3.06.048.862 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   7680, progress = 0.79, t =  33.82 s / 227.07 tokens per second
3.08.639.720 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   8192, progress = 0.81, t =  36.41 s / 224.97 tokens per second
3.11.259.825 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   8704, progress = 0.82, t =  39.03 s / 222.99 tokens per second
3.13.917.381 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   9216, progress = 0.84, t =  41.69 s / 221.05 tokens per second
3.16.609.848 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =   9728, progress = 0.86, t =  44.38 s / 219.18 tokens per second
3.19.335.503 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =  10240, progress = 0.87, t =  47.11 s / 217.37 tokens per second
3.22.102.653 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =  10752, progress = 0.89, t =  49.88 s / 215.57 tokens per second
3.24.840.999 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =  11264, progress = 0.91, t =  52.62 s / 214.08 tokens per second
3.27.637.262 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =  11776, progress = 0.92, t =  55.41 s / 212.52 tokens per second
3.30.489.072 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =  12288, progress = 0.94, t =  58.26 s / 210.91 tokens per second
3.33.383.353 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =  12800, progress = 0.96, t =  61.16 s / 209.30 tokens per second
3.36.320.083 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =  13312, progress = 0.97, t =  64.09 s / 207.69 tokens per second
3.39.295.637 I slot print_timing: id  0 | task 614 | prompt processing, n_tokens =  13824, progress = 0.99, t =  67.07 s / 206.11 tokens per second
4.01.576.319 I slot print_timing: id  0 | task 614 | n_gen =    100, tg =   5.09 t/s, tg_3s =   5.14 t/s
4.04.707.602 I slot print_timing: id  0 | task 614 | n_gen =    116, tg =   5.09 t/s, tg_3s =   5.11 t/s
4.06.954.457 I slot print_timing: id  0 | task 614 | prompt eval time =   69895.45 ms / 14145 tokens (    4.94 ms per token,   202.37 tokens per second)
4.06.954.465 I slot print_timing: id  0 | task 614 |        eval time =   24833.01 ms /   127 tokens (  197.09 ms per token,     5.07 tokens per second)
4.06.954.467 I slot print_timing: id  0 | task 614 |       total time =   94728.46 ms / 14272 tokens
4.06.954.470 I slot print_timing: id  0 | task 614 |    graphs reused =        805
4.06.956.101 I slot      release: id  0 | task 614 | stop processing: n_tokens = 31107, truncated = 0
4.07.543.758 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.994 (> 0.100 thold), f_keep = 0.996
4.07.544.619 I slot launch_slot_: id  0 | task 769 | processing task, is_child = 0
4.08.779.374 I slot print_timing: id  0 | task 769 | prompt eval time =    1234.68 ms /   179 tokens (    6.90 ms per token,   144.98 tokens per second)
4.08.779.386 I slot print_timing: id  0 | task 769 |        eval time =       0.00 ms /     1 tokens (    0.00 ms per token,     0.00 tokens per second)
4.08.779.388 I slot print_timing: id  0 | task 769 |       total time =    1234.68 ms /   180 tokens
4.08.779.391 I slot print_timing: id  0 | task 769 |    graphs reused =        805
4.08.780.807 I slot      release: id  0 | task 769 | stop processing: n_tokens = 31158, truncated = 0
