0.00.254.712 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.256.596 W srv  llama_server: -----------------
0.00.256.602 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.256.603 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.256.603 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.256.603 W srv  llama_server: -----------------
0.00.258.927 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/K2-Horizon-3.7B-Q4_K_M.gguf'
0.02.675.469 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.11.372.731 I cmn          init: llama threadpool init, n_threads = 6
0.11.751.493 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.12.087.777 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.12.088.201 I srv  llama_server: model loaded
0.12.088.213 I srv  llama_server: listening on http://127.0.0.1:8080
0.12.088.214 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.12.088.214 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.16.838.721 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.16.838.894 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.20.226.775 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2048, progress = 0.57, t =   3.39 s / 604.52 tokens per second
0.21.172.846 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2560, progress = 0.71, t =   4.33 s / 590.70 tokens per second
0.22.149.742 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3072, progress = 0.85, t =   5.31 s / 578.45 tokens per second
0.23.157.395 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3584, progress = 1.00, t =   6.32 s / 567.23 tokens per second
0.31.426.097 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  12.50 t/s, tg_3s =  12.63 t/s
0.34.427.125 I slot print_timing: id  0 | task 1 | n_gen =    138, tg =  12.54 t/s, tg_3s =  12.66 t/s
0.37.432.451 I slot print_timing: id  0 | task 1 | n_gen =    176, tg =  12.57 t/s, tg_3s =  12.64 t/s
0.40.447.732 I slot print_timing: id  0 | task 1 | n_gen =    214, tg =  12.57 t/s, tg_3s =  12.60 t/s
0.43.490.421 I slot print_timing: id  0 | task 1 | n_gen =    252, tg =  12.56 t/s, tg_3s =  12.49 t/s
0.46.554.926 I slot print_timing: id  0 | task 1 | n_gen =    290, tg =  12.54 t/s, tg_3s =  12.40 t/s
0.49.622.290 I slot print_timing: id  0 | task 1 | n_gen =    328, tg =  12.52 t/s, tg_3s =  12.39 t/s
0.52.691.333 I slot print_timing: id  0 | task 1 | n_gen =    366, tg =  12.51 t/s, tg_3s =  12.38 t/s
0.55.758.505 I slot print_timing: id  0 | task 1 | n_gen =    404, tg =  12.50 t/s, tg_3s =  12.39 t/s
0.58.827.343 I slot print_timing: id  0 | task 1 | n_gen =    442, tg =  12.49 t/s, tg_3s =  12.38 t/s
1.01.895.012 I slot print_timing: id  0 | task 1 | n_gen =    480, tg =  12.48 t/s, tg_3s =  12.39 t/s
1.04.979.317 I slot print_timing: id  0 | task 1 | n_gen =    517, tg =  12.44 t/s, tg_3s =  12.00 t/s
1.08.008.867 I slot print_timing: id  0 | task 1 | n_gen =    553, tg =  12.40 t/s, tg_3s =  11.88 t/s
1.11.012.314 I slot print_timing: id  0 | task 1 | n_gen =    589, tg =  12.38 t/s, tg_3s =  11.99 t/s
1.14.077.632 I slot print_timing: id  0 | task 1 | n_gen =    626, tg =  12.36 t/s, tg_3s =  12.07 t/s
1.17.131.266 I slot print_timing: id  0 | task 1 | n_gen =    663, tg =  12.35 t/s, tg_3s =  12.12 t/s
1.20.179.414 I slot print_timing: id  0 | task 1 | n_gen =    700, tg =  12.33 t/s, tg_3s =  12.14 t/s
1.23.224.897 I slot print_timing: id  0 | task 1 | n_gen =    737, tg =  12.32 t/s, tg_3s =  12.15 t/s
1.24.458.650 I slot print_timing: id  0 | task 1 | prompt eval time =    6667.37 ms /  3593 tokens (    1.86 ms per token,   538.89 tokens per second)
1.24.458.662 I slot print_timing: id  0 | task 1 |        eval time =   60952.31 ms /   752 tokens (   81.16 ms per token,    12.32 tokens per second)
1.24.458.665 I slot print_timing: id  0 | task 1 |       total time =   67619.68 ms /  4345 tokens
1.24.458.675 I slot print_timing: id  0 | task 1 |    graphs reused =        763
1.24.459.206 I slot      release: id  0 | task 1 | stop processing: n_tokens = 4344, truncated = 0
1.24.811.807 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 267028007203
1.24.941.038 I slot launch_slot_: id  0 | task 761 | processing task, is_child = 0
1.34.914.093 I slot print_timing: id  0 | task 761 | n_gen =    100, tg =  13.94 t/s, tg_3s =  14.08 t/s
1.37.920.797 I slot print_timing: id  0 | task 761 | n_gen =    141, tg =  13.85 t/s, tg_3s =  13.64 t/s
1.40.938.208 I slot print_timing: id  0 | task 761 | n_gen =    182, tg =  13.79 t/s, tg_3s =  13.59 t/s
1.43.941.068 I slot print_timing: id  0 | task 761 | n_gen =    223, tg =  13.76 t/s, tg_3s =  13.65 t/s
1.47.000.555 I slot print_timing: id  0 | task 761 | n_gen =    265, tg =  13.76 t/s, tg_3s =  13.73 t/s
1.50.051.187 I slot print_timing: id  0 | task 761 | n_gen =    307, tg =  13.76 t/s, tg_3s =  13.77 t/s
1.53.118.496 I slot print_timing: id  0 | task 761 | n_gen =    349, tg =  13.75 t/s, tg_3s =  13.69 t/s
1.56.131.813 I slot print_timing: id  0 | task 761 | n_gen =    390, tg =  13.74 t/s, tg_3s =  13.61 t/s
1.59.143.756 I slot print_timing: id  0 | task 761 | n_gen =    431, tg =  13.72 t/s, tg_3s =  13.61 t/s
2.02.151.322 I slot print_timing: id  0 | task 761 | n_gen =    472, tg =  13.72 t/s, tg_3s =  13.63 t/s
2.05.159.942 I slot print_timing: id  0 | task 761 | n_gen =    513, tg =  13.71 t/s, tg_3s =  13.63 t/s
2.08.167.335 I slot print_timing: id  0 | task 761 | n_gen =    554, tg =  13.70 t/s, tg_3s =  13.63 t/s
2.11.171.650 I slot print_timing: id  0 | task 761 | n_gen =    595, tg =  13.70 t/s, tg_3s =  13.65 t/s
2.14.228.188 I slot print_timing: id  0 | task 761 | n_gen =    636, tg =  13.68 t/s, tg_3s =  13.41 t/s
2.17.280.826 I slot print_timing: id  0 | task 761 | n_gen =    677, tg =  13.67 t/s, tg_3s =  13.43 t/s
2.20.332.505 I slot print_timing: id  0 | task 761 | n_gen =    718, tg =  13.65 t/s, tg_3s =  13.44 t/s
2.23.799.937 I slot print_timing: id  0 | task 761 | n_gen =    759, tg =  13.64 t/s, tg_3s =  13.42 t/s
2.26.852.089 I slot print_timing: id  0 | task 761 | n_gen =    800, tg =  13.63 t/s, tg_3s =  13.43 t/s
2.29.903.535 I slot print_timing: id  0 | task 761 | n_gen =    841, tg =  13.62 t/s, tg_3s =  13.44 t/s
2.32.922.675 I slot print_timing: id  0 | task 761 | n_gen =    881, tg =  13.60 t/s, tg_3s =  13.25 t/s
2.35.944.773 I slot print_timing: id  0 | task 761 | n_gen =    921, tg =  13.59 t/s, tg_3s =  13.24 t/s
2.38.967.900 I slot print_timing: id  0 | task 761 | n_gen =    961, tg =  13.57 t/s, tg_3s =  13.23 t/s
2.41.989.083 I slot print_timing: id  0 | task 761 | n_gen =   1001, tg =  13.56 t/s, tg_3s =  13.24 t/s
2.45.007.632 I slot print_timing: id  0 | task 761 | n_gen =   1041, tg =  13.54 t/s, tg_3s =  13.25 t/s
2.48.025.488 I slot print_timing: id  0 | task 761 | n_gen =   1081, tg =  13.53 t/s, tg_3s =  13.25 t/s
2.51.069.543 I slot print_timing: id  0 | task 761 | n_gen =   1121, tg =  13.52 t/s, tg_3s =  13.14 t/s
2.54.141.274 I slot print_timing: id  0 | task 761 | n_gen =   1161, tg =  13.50 t/s, tg_3s =  13.02 t/s
2.57.214.182 I slot print_timing: id  0 | task 761 | n_gen =   1201, tg =  13.48 t/s, tg_3s =  13.02 t/s
3.00.286.483 I slot print_timing: id  0 | task 761 | n_gen =   1241, tg =  13.47 t/s, tg_3s =  13.02 t/s
3.03.356.904 I slot print_timing: id  0 | task 761 | n_gen =   1281, tg =  13.45 t/s, tg_3s =  13.03 t/s
3.06.429.097 I slot print_timing: id  0 | task 761 | n_gen =   1321, tg =  13.44 t/s, tg_3s =  13.02 t/s
3.09.497.742 I slot print_timing: id  0 | task 761 | n_gen =   1361, tg =  13.43 t/s, tg_3s =  13.04 t/s
3.12.536.843 I slot print_timing: id  0 | task 761 | n_gen =   1400, tg =  13.41 t/s, tg_3s =  12.83 t/s
3.15.567.210 I slot print_timing: id  0 | task 761 | n_gen =   1439, tg =  13.40 t/s, tg_3s =  12.87 t/s
3.18.600.732 I slot print_timing: id  0 | task 761 | n_gen =   1478, tg =  13.38 t/s, tg_3s =  12.86 t/s
3.21.631.312 I slot print_timing: id  0 | task 761 | n_gen =   1517, tg =  13.37 t/s, tg_3s =  12.87 t/s
3.24.667.419 I slot print_timing: id  0 | task 761 | n_gen =   1556, tg =  13.35 t/s, tg_3s =  12.85 t/s
3.27.701.944 I slot print_timing: id  0 | task 761 | n_gen =   1595, tg =  13.34 t/s, tg_3s =  12.85 t/s
3.30.759.348 I slot print_timing: id  0 | task 761 | n_gen =   1634, tg =  13.33 t/s, tg_3s =  12.76 t/s
3.33.833.348 I slot print_timing: id  0 | task 761 | n_gen =   1673, tg =  13.31 t/s, tg_3s =  12.69 t/s
3.36.905.865 I slot print_timing: id  0 | task 761 | n_gen =   1712, tg =  13.30 t/s, tg_3s =  12.69 t/s
3.39.979.884 I slot print_timing: id  0 | task 761 | n_gen =   1751, tg =  13.28 t/s, tg_3s =  12.69 t/s
3.43.054.495 I slot print_timing: id  0 | task 761 | n_gen =   1790, tg =  13.27 t/s, tg_3s =  12.68 t/s
3.46.133.417 I slot print_timing: id  0 | task 761 | n_gen =   1829, tg =  13.26 t/s, tg_3s =  12.67 t/s
3.49.207.095 I slot print_timing: id  0 | task 761 | n_gen =   1868, tg =  13.24 t/s, tg_3s =  12.69 t/s
