0.00.250.296 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.252.935 W srv  llama_server: -----------------
0.00.252.946 W srv  llama_server: CORS is set to allow all origins ('*') and no API key is set
0.00.252.947 W srv  llama_server: this can be a security risk (cross-origin attacks)
0.00.252.948 W srv  llama_server: more info: https://github.com/ggml-org/llama.cpp/pull/25655
0.00.252.949 W srv  llama_server: -----------------
0.00.255.684 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/K2-Horizon-7B-IQ3_XXS.gguf'
0.02.738.912 W load: special_eos_id is not in special_eog_ids - the tokenizer config may be incorrect
0.12.981.505 I cmn          init: llama threadpool init, n_threads = 6
0.13.417.317 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.13.771.849 I srv          init: chat template supports preserving reasoning, consider enabling it via --reasoning-preserve
0.13.772.969 I srv  llama_server: model loaded
0.13.772.982 I srv  llama_server: listening on http://127.0.0.1:8080
0.13.772.983 W srv  llama_server: NOTICE: server default port will be changed to :9931 in a future release
0.13.772.983 W srv  llama_server:         ref: https://github.com/ggml-org/llama.cpp/pull/26508
0.22.274.744 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.22.276.065 I slot launch_slot_: id  0 | task 0 | processing task, is_child = 0
0.34.872.566 I slot print_timing: id  0 | task 0 | n_gen =    100, tg =  10.98 t/s, tg_3s =  11.09 t/s
0.37.955.514 I slot print_timing: id  0 | task 0 | n_gen =    134, tg =  10.99 t/s, tg_3s =  11.03 t/s
0.40.956.298 I slot print_timing: id  0 | task 0 | n_gen =    167, tg =  11.00 t/s, tg_3s =  11.00 t/s
0.43.967.341 I slot print_timing: id  0 | task 0 | n_gen =    200, tg =  10.99 t/s, tg_3s =  10.96 t/s
0.46.980.269 I slot print_timing: id  0 | task 0 | n_gen =    233, tg =  10.98 t/s, tg_3s =  10.95 t/s
0.50.020.421 I slot print_timing: id  0 | task 0 | n_gen =    266, tg =  10.97 t/s, tg_3s =  10.85 t/s
0.53.079.664 I slot print_timing: id  0 | task 0 | n_gen =    299, tg =  10.95 t/s, tg_3s =  10.79 t/s
0.56.141.046 I slot print_timing: id  0 | task 0 | n_gen =    332, tg =  10.93 t/s, tg_3s =  10.78 t/s
0.59.203.181 I slot print_timing: id  0 | task 0 | n_gen =    365, tg =  10.92 t/s, tg_3s =  10.78 t/s
1.02.263.184 I slot print_timing: id  0 | task 0 | n_gen =    398, tg =  10.91 t/s, tg_3s =  10.78 t/s
1.05.324.684 I slot print_timing: id  0 | task 0 | n_gen =    431, tg =  10.90 t/s, tg_3s =  10.78 t/s
1.08.376.175 I slot print_timing: id  0 | task 0 | n_gen =    464, tg =  10.89 t/s, tg_3s =  10.81 t/s
1.11.431.310 I slot print_timing: id  0 | task 0 | n_gen =    497, tg =  10.88 t/s, tg_3s =  10.80 t/s
1.14.516.948 I slot print_timing: id  0 | task 0 | n_gen =    530, tg =  10.87 t/s, tg_3s =  10.69 t/s
1.17.610.331 I slot print_timing: id  0 | task 0 | n_gen =    563, tg =  10.86 t/s, tg_3s =  10.67 t/s
1.20.700.996 I slot print_timing: id  0 | task 0 | n_gen =    596, tg =  10.85 t/s, tg_3s =  10.68 t/s
1.23.791.133 I slot print_timing: id  0 | task 0 | n_gen =    629, tg =  10.84 t/s, tg_3s =  10.68 t/s
1.26.880.956 I slot print_timing: id  0 | task 0 | n_gen =    662, tg =  10.83 t/s, tg_3s =  10.68 t/s
1.29.971.166 I slot print_timing: id  0 | task 0 | n_gen =    695, tg =  10.82 t/s, tg_3s =  10.68 t/s
1.33.061.877 I slot print_timing: id  0 | task 0 | n_gen =    728, tg =  10.82 t/s, tg_3s =  10.68 t/s
1.36.155.473 I slot print_timing: id  0 | task 0 | n_gen =    761, tg =  10.81 t/s, tg_3s =  10.67 t/s
1.39.196.108 I slot print_timing: id  0 | task 0 | n_gen =    793, tg =  10.80 t/s, tg_3s =  10.52 t/s
1.42.232.206 I slot print_timing: id  0 | task 0 | n_gen =    825, tg =  10.79 t/s, tg_3s =  10.54 t/s
1.45.266.743 I slot print_timing: id  0 | task 0 | n_gen =    857, tg =  10.78 t/s, tg_3s =  10.55 t/s
1.48.300.907 I slot print_timing: id  0 | task 0 | n_gen =    889, tg =  10.77 t/s, tg_3s =  10.55 t/s
1.51.334.524 I slot print_timing: id  0 | task 0 | n_gen =    921, tg =  10.76 t/s, tg_3s =  10.55 t/s
1.54.368.892 I slot print_timing: id  0 | task 0 | n_gen =    953, tg =  10.76 t/s, tg_3s =  10.55 t/s
1.57.404.261 I slot print_timing: id  0 | task 0 | n_gen =    985, tg =  10.75 t/s, tg_3s =  10.54 t/s
2.00.439.729 I slot print_timing: id  0 | task 0 | n_gen =   1017, tg =  10.74 t/s, tg_3s =  10.54 t/s
2.03.514.165 I slot print_timing: id  0 | task 0 | n_gen =   1049, tg =  10.73 t/s, tg_3s =  10.41 t/s
