0.00.003.818 I srv  llama_server: initializing ...
0.00.851.926 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.857.110 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.862.476 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.03.537.900 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.03.537.916 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.03.537.934 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.03.537.941 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.03.537.947 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.03.537.970 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.03.537.976 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.03.537.982 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.03.537.989 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.03.537.995 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.03.538.002 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.03.538.011 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.03.538.018 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.03.538.025 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.03.538.045 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.49.350.850 I cmn          init: llama threadpool init, n_threads = 6
0.50.001.298 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.50.051.757 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.50.052.237 I srv  llama_server: model loaded
0.50.052.257 I srv  llama_server: listening on http://127.0.0.1:8080
0.50.052.259 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.55.392.226 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.55.392.432 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.58.736.681 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1086, progress = 0.41, t =   3.34 s / 324.78 tokens per second
1.00.361.725 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1598, progress = 0.61, t =   4.97 s / 321.60 tokens per second
1.01.995.131 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2110, progress = 0.80, t =   6.60 s / 319.59 tokens per second
1.03.563.749 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2500, progress = 0.95, t =   8.17 s / 305.96 tokens per second
1.03.802.877 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2628, progress = 1.00, t =   8.41 s / 312.48 tokens per second
1.13.962.939 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  10.22 t/s, tg_3s =  10.32 t/s
1.16.988.613 I slot print_timing: id  0 | task 1 | n_gen =    131, tg =  10.22 t/s, tg_3s =  10.25 t/s
1.20.003.595 I slot print_timing: id  0 | task 1 | n_gen =    162, tg =  10.24 t/s, tg_3s =  10.28 t/s
1.23.031.671 I slot print_timing: id  0 | task 1 | n_gen =    193, tg =  10.24 t/s, tg_3s =  10.24 t/s
1.26.051.388 I slot print_timing: id  0 | task 1 | n_gen =    224, tg =  10.24 t/s, tg_3s =  10.27 t/s
1.29.072.265 I slot print_timing: id  0 | task 1 | n_gen =    255, tg =  10.24 t/s, tg_3s =  10.26 t/s
1.32.092.189 I slot print_timing: id  0 | task 1 | n_gen =    286, tg =  10.24 t/s, tg_3s =  10.27 t/s
1.35.113.141 I slot print_timing: id  0 | task 1 | n_gen =    317, tg =  10.25 t/s, tg_3s =  10.26 t/s
1.38.133.797 I slot print_timing: id  0 | task 1 | n_gen =    348, tg =  10.25 t/s, tg_3s =  10.26 t/s
1.41.158.122 I slot print_timing: id  0 | task 1 | n_gen =    379, tg =  10.25 t/s, tg_3s =  10.25 t/s
1.44.178.605 I slot print_timing: id  0 | task 1 | n_gen =    410, tg =  10.25 t/s, tg_3s =  10.26 t/s
1.47.204.075 I slot print_timing: id  0 | task 1 | n_gen =    441, tg =  10.25 t/s, tg_3s =  10.25 t/s
1.50.250.746 I slot print_timing: id  0 | task 1 | n_gen =    472, tg =  10.24 t/s, tg_3s =  10.18 t/s
1.53.284.258 I slot print_timing: id  0 | task 1 | n_gen =    503, tg =  10.24 t/s, tg_3s =  10.22 t/s
