0.00.003.717 I srv  llama_server: initializing ...
0.00.884.212 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.889.903 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.895.320 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.03.575.467 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.03.575.484 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.03.575.502 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.03.575.509 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.03.575.516 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.03.575.538 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.03.575.545 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.03.575.552 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.03.575.558 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.03.575.566 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.03.575.573 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.03.575.582 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.03.575.589 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.03.575.596 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.03.575.616 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.49.778.365 I cmn          init: llama threadpool init, n_threads = 6
0.50.455.742 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.50.505.409 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.50.505.522 I srv  llama_server: model loaded
0.50.505.540 I srv  llama_server: listening on http://127.0.0.1:8080
0.50.505.542 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
1.00.968.204 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
1.00.970.253 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.05.547.596 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1429, progress = 0.92, t =   4.58 s / 312.20 tokens per second
1.05.754.864 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1496, progress = 0.96, t =   4.78 s / 312.68 tokens per second
1.06.035.565 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1557, progress = 1.00, t =   5.07 s / 307.39 tokens per second
1.12.236.924 I slot print_timing: id  0 | task 1 | prompt eval time =    5440.74 ms /  1561 tokens (    3.49 ms per token,   286.91 tokens per second)
1.12.236.936 I slot print_timing: id  0 | task 1 |        eval time =    5825.84 ms /    61 tokens (   97.10 ms per token,    10.30 tokens per second)
1.12.236.939 I slot print_timing: id  0 | task 1 |       total time =   11266.57 ms /  1622 tokens
1.12.236.949 I slot print_timing: id  0 | task 1 |    graphs reused =         64
1.12.237.438 I slot      release: id  0 | task 1 | stop processing: n_tokens = 1621, truncated = 0
1.12.806.480 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.687 (> 0.100 thold), f_keep = 1.000
1.12.807.303 I slot launch_slot_: id  0 | task 68 | processing task, is_child = 0
1.25.007.170 I slot print_timing: id  0 | task 68 | n_gen =    100, tg =  10.28 t/s, tg_3s =  10.38 t/s
1.28.022.893 I slot print_timing: id  0 | task 68 | n_gen =    131, tg =  10.28 t/s, tg_3s =  10.28 t/s
1.31.032.654 I slot print_timing: id  0 | task 68 | n_gen =    162, tg =  10.28 t/s, tg_3s =  10.30 t/s
1.33.554.616 I slot print_timing: id  0 | task 68 | prompt eval time =    2566.97 ms /   738 tokens (    3.48 ms per token,   287.50 tokens per second)
1.33.554.628 I slot print_timing: id  0 | task 68 |        eval time =   18180.28 ms /   188 tokens (   97.22 ms per token,    10.29 tokens per second)
1.33.554.631 I slot print_timing: id  0 | task 68 |       total time =   20747.24 ms /   926 tokens
1.33.554.634 I slot print_timing: id  0 | task 68 |    graphs reused =        251
1.33.555.093 I slot      release: id  0 | task 68 | stop processing: n_tokens = 2546, truncated = 0
1.33.657.883 I slot get_availabl: id  0 | task -1 | selected slot by LCP similarity, f_sim_best = 0.550 (> 0.100 thold), f_keep = 1.000
1.33.658.519 I slot launch_slot_: id  0 | task 260 | processing task, is_child = 0
