0.00.003.479 I srv  llama_server: initializing ...
0.00.849.185 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.854.946 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.860.222 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.03.523.785 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.03.523.802 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.03.523.820 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.03.523.827 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.03.523.833 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.03.523.855 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.03.523.862 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.03.523.868 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.03.523.875 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.03.523.881 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.03.523.888 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.03.523.897 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.03.523.904 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.03.523.911 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.03.523.930 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.49.406.398 I cmn          init: llama threadpool init, n_threads = 6
0.50.081.621 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 65536, kv_unified = 'false'
0.50.131.282 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.50.132.446 I srv  llama_server: model loaded
0.50.132.462 I srv  llama_server: listening on http://127.0.0.1:8080
0.50.132.463 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.56.515.634 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.56.517.463 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
1.01.136.553 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1496, progress = 0.06, t =   4.62 s / 323.88 tokens per second
1.02.632.899 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2008, progress = 0.09, t =   6.12 s / 328.35 tokens per second
1.04.266.879 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2520, progress = 0.11, t =   7.75 s / 325.19 tokens per second
1.05.905.314 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3032, progress = 0.13, t =   9.39 s / 322.97 tokens per second
1.07.549.996 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   3544, progress = 0.15, t =  11.03 s / 321.24 tokens per second
1.09.199.561 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4056, progress = 0.18, t =  12.68 s / 319.82 tokens per second
1.10.853.407 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   4568, progress = 0.20, t =  14.34 s / 318.64 tokens per second
1.12.515.853 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5080, progress = 0.22, t =  16.00 s / 317.53 tokens per second
1.14.186.434 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   5592, progress = 0.24, t =  17.67 s / 316.49 tokens per second
1.15.857.761 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6104, progress = 0.27, t =  19.34 s / 315.61 tokens per second
1.17.538.946 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   6616, progress = 0.29, t =  21.02 s / 314.73 tokens per second
1.19.227.640 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7128, progress = 0.31, t =  22.71 s / 313.87 tokens per second
1.20.927.807 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   7640, progress = 0.33, t =  24.41 s / 312.98 tokens per second
1.22.632.661 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8152, progress = 0.35, t =  26.12 s / 312.16 tokens per second
1.24.348.236 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   8664, progress = 0.38, t =  27.83 s / 311.31 tokens per second
1.26.071.035 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9176, progress = 0.40, t =  29.55 s / 310.49 tokens per second
1.27.799.620 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   9688, progress = 0.42, t =  31.28 s / 309.70 tokens per second
1.29.534.604 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10200, progress = 0.44, t =  33.02 s / 308.93 tokens per second
1.31.278.278 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10712, progress = 0.47, t =  34.76 s / 308.16 tokens per second
1.31.809.514 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =  10809, progress = 0.47, t =  35.29 s / 306.27 tokens per second
