0.00.003.511 I srv  llama_server: initializing ...
0.00.866.521 I cmn  common_param: common_params_print_info: verbosity = 3 (adjust with the `-lv N` CLI arg)
0.00.872.272 W srv  llama_server: security: no API key is set and CORS allows all origins (see https://github.com/ggml-org/llama.cpp/pull/25655)
0.00.877.701 I srv    load_model: loading model '/home/JetsonOrin/Repositories/llama.cpp/models/Ornith-1.0-9B-MTP-IQ3_M.gguf'
0.03.522.751 W model has unused tensor blk.32.attn_norm.weight (size = 16384 bytes) -- ignoring
0.03.522.769 W model has unused tensor blk.32.post_attention_norm.weight (size = 16384 bytes) -- ignoring
0.03.522.787 W model has unused tensor blk.32.attn_q.weight (size = 35651584 bytes) -- ignoring
0.03.522.794 W model has unused tensor blk.32.attn_k.weight (size = 4456448 bytes) -- ignoring
0.03.522.800 W model has unused tensor blk.32.attn_v.weight (size = 4456448 bytes) -- ignoring
0.03.522.822 W model has unused tensor blk.32.attn_output.weight (size = 17825792 bytes) -- ignoring
0.03.522.829 W model has unused tensor blk.32.attn_q_norm.weight (size = 1024 bytes) -- ignoring
0.03.522.836 W model has unused tensor blk.32.attn_k_norm.weight (size = 1024 bytes) -- ignoring
0.03.522.843 W model has unused tensor blk.32.ffn_gate.weight (size = 53477376 bytes) -- ignoring
0.03.522.850 W model has unused tensor blk.32.ffn_down.weight (size = 53477376 bytes) -- ignoring
0.03.522.857 W model has unused tensor blk.32.ffn_up.weight (size = 53477376 bytes) -- ignoring
0.03.522.866 W model has unused tensor blk.32.nextn.eh_proj.weight (size = 35651584 bytes) -- ignoring
0.03.522.874 W model has unused tensor blk.32.nextn.enorm.weight (size = 16384 bytes) -- ignoring
0.03.522.881 W model has unused tensor blk.32.nextn.hnorm.weight (size = 16384 bytes) -- ignoring
0.03.522.900 W model has unused tensor blk.32.nextn.shared_head_norm.weight (size = 16384 bytes) -- ignoring
0.49.490.911 I cmn          init: llama threadpool init, n_threads = 6
0.50.137.169 I srv    load_model: initializing, n_slots = 1, n_ctx_slot = 32768, kv_unified = 'false'
0.50.185.358 W srv          init: chat template supports preserving reasoning, it is enabled by default (may use more tokens, disable via --no-reasoning-preserve)
0.50.185.494 I srv  llama_server: model loaded
0.50.185.512 I srv  llama_server: listening on http://127.0.0.1:8080
0.50.185.513 W srv  llama_server: notice: server default port will be changed to :9931 in a future release (ref: https://github.com/ggml-org/llama.cpp/pull/26508)
0.55.451.919 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = -1
0.55.452.120 I slot launch_slot_: id  0 | task 1 | processing task, is_child = 0
0.58.779.173 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1086, progress = 0.48, t =   3.33 s / 326.43 tokens per second
1.00.409.239 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   1598, progress = 0.71, t =   4.96 s / 322.37 tokens per second
1.02.047.940 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2109, progress = 0.94, t =   6.60 s / 319.75 tokens per second
1.02.477.125 I slot print_timing: id  0 | task 1 | prompt processing, n_tokens =   2237, progress = 1.00, t =   7.02 s / 318.44 tokens per second
1.12.602.248 I slot print_timing: id  0 | task 1 | n_gen =    100, tg =  10.26 t/s, tg_3s =  10.36 t/s
1.15.610.359 I slot print_timing: id  0 | task 1 | n_gen =    131, tg =  10.27 t/s, tg_3s =  10.31 t/s
1.18.624.468 I slot print_timing: id  0 | task 1 | n_gen =    162, tg =  10.27 t/s, tg_3s =  10.28 t/s
1.21.634.502 I slot print_timing: id  0 | task 1 | n_gen =    193, tg =  10.28 t/s, tg_3s =  10.30 t/s
1.24.645.229 I slot print_timing: id  0 | task 1 | n_gen =    224, tg =  10.28 t/s, tg_3s =  10.30 t/s
1.27.656.639 I slot print_timing: id  0 | task 1 | n_gen =    255, tg =  10.28 t/s, tg_3s =  10.29 t/s
1.30.667.732 I slot print_timing: id  0 | task 1 | n_gen =    286, tg =  10.28 t/s, tg_3s =  10.30 t/s
1.33.679.948 I slot print_timing: id  0 | task 1 | n_gen =    317, tg =  10.28 t/s, tg_3s =  10.29 t/s
1.36.713.077 I slot print_timing: id  0 | task 1 | n_gen =    348, tg =  10.28 t/s, tg_3s =  10.22 t/s
1.39.728.086 I slot print_timing: id  0 | task 1 | n_gen =    379, tg =  10.28 t/s, tg_3s =  10.28 t/s
1.42.742.617 I slot print_timing: id  0 | task 1 | n_gen =    410, tg =  10.28 t/s, tg_3s =  10.28 t/s
1.45.757.173 I slot print_timing: id  0 | task 1 | n_gen =    441, tg =  10.28 t/s, tg_3s =  10.28 t/s
1.48.773.409 I slot print_timing: id  0 | task 1 | n_gen =    472, tg =  10.28 t/s, tg_3s =  10.28 t/s
1.51.790.227 I slot print_timing: id  0 | task 1 | n_gen =    503, tg =  10.28 t/s, tg_3s =  10.28 t/s
1.54.808.168 I slot print_timing: id  0 | task 1 | n_gen =    534, tg =  10.28 t/s, tg_3s =  10.27 t/s
1.57.824.879 I slot print_timing: id  0 | task 1 | n_gen =    565, tg =  10.28 t/s, tg_3s =  10.28 t/s
2.00.861.039 I slot print_timing: id  0 | task 1 | n_gen =    596, tg =  10.27 t/s, tg_3s =  10.21 t/s
2.03.883.254 I slot print_timing: id  0 | task 1 | n_gen =    627, tg =  10.27 t/s, tg_3s =  10.26 t/s
2.06.911.231 I slot print_timing: id  0 | task 1 | n_gen =    658, tg =  10.27 t/s, tg_3s =  10.24 t/s
2.09.937.221 I slot print_timing: id  0 | task 1 | n_gen =    689, tg =  10.27 t/s, tg_3s =  10.24 t/s
2.12.967.571 I slot print_timing: id  0 | task 1 | n_gen =    720, tg =  10.27 t/s, tg_3s =  10.23 t/s
2.15.996.544 I slot print_timing: id  0 | task 1 | n_gen =    751, tg =  10.27 t/s, tg_3s =  10.23 t/s
2.19.020.932 I slot print_timing: id  0 | task 1 | prompt eval time =    7496.43 ms /  2241 tokens (    3.35 ms per token,   298.94 tokens per second)
2.19.020.944 I slot print_timing: id  0 | task 1 |        eval time =   76072.25 ms /   782 tokens (   97.40 ms per token,    10.27 tokens per second)
2.19.020.947 I slot print_timing: id  0 | task 1 |       total time =   83568.68 ms /  3023 tokens
2.19.020.957 I slot print_timing: id  0 | task 1 |    graphs reused =        785
2.19.021.442 I slot      release: id  0 | task 1 | stop processing: n_tokens = 3022, truncated = 0
2.19.064.621 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 231700397556
2.19.232.418 I slot launch_slot_: id  0 | task 790 | processing task, is_child = 0
2.31.849.976 I slot print_timing: id  0 | task 790 | n_gen =    100, tg =  10.40 t/s, tg_3s =  10.50 t/s
2.34.928.466 I slot print_timing: id  0 | task 790 | n_gen =    132, tg =  10.40 t/s, tg_3s =  10.39 t/s
2.38.013.715 I slot print_timing: id  0 | task 790 | n_gen =    164, tg =  10.39 t/s, tg_3s =  10.37 t/s
2.41.093.433 I slot print_timing: id  0 | task 790 | n_gen =    196, tg =  10.39 t/s, tg_3s =  10.39 t/s
2.44.175.336 I slot print_timing: id  0 | task 790 | n_gen =    228, tg =  10.39 t/s, tg_3s =  10.38 t/s
2.47.248.735 I slot print_timing: id  0 | task 790 | n_gen =    260, tg =  10.39 t/s, tg_3s =  10.41 t/s
2.50.326.832 I slot print_timing: id  0 | task 790 | n_gen =    292, tg =  10.39 t/s, tg_3s =  10.40 t/s
2.52.154.475 I slot print_timing: id  0 | task 790 | prompt eval time =    3094.43 ms /   893 tokens (    3.47 ms per token,   288.58 tokens per second)
2.52.154.487 I slot print_timing: id  0 | task 790 |        eval time =   29827.54 ms /   311 tokens (   96.22 ms per token,    10.39 tokens per second)
2.52.154.490 I slot print_timing: id  0 | task 790 |       total time =   32921.97 ms /  1204 tokens
2.52.154.493 I slot print_timing: id  0 | task 790 |    graphs reused =       1095
2.52.154.656 I slot      release: id  0 | task 790 | stop processing: n_tokens = 1265, truncated = 0
2.52.327.079 I slot get_availabl: id  0 | task -1 | selected slot by LRU, t_last = 231733530766
2.52.480.359 I slot launch_slot_: id  0 | task 1105 | processing task, is_child = 0
2.57.057.419 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   1500, progress = 0.09, t =   4.58 s / 327.73 tokens per second
2.58.549.181 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   2012, progress = 0.12, t =   6.07 s / 331.54 tokens per second
3.00.184.577 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   2524, progress = 0.15, t =   7.70 s / 327.62 tokens per second
3.01.825.305 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   3036, progress = 0.18, t =   9.34 s / 324.88 tokens per second
3.03.471.260 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   3548, progress = 0.21, t =  10.99 s / 322.82 tokens per second
3.05.123.009 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   4060, progress = 0.24, t =  12.64 s / 321.14 tokens per second
3.06.779.171 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   4572, progress = 0.27, t =  14.30 s / 319.75 tokens per second
3.08.444.934 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   5084, progress = 0.30, t =  15.96 s / 318.46 tokens per second
3.10.114.315 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   5596, progress = 0.34, t =  17.63 s / 317.34 tokens per second
3.11.792.176 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   6108, progress = 0.37, t =  19.31 s / 316.28 tokens per second
3.13.484.455 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   6620, progress = 0.40, t =  21.00 s / 315.18 tokens per second
3.15.182.187 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   7132, progress = 0.43, t =  22.70 s / 314.16 tokens per second
3.16.885.973 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   7644, progress = 0.46, t =  24.41 s / 313.21 tokens per second
3.18.595.928 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   8156, progress = 0.49, t =  26.12 s / 312.31 tokens per second
3.20.315.066 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   8668, progress = 0.52, t =  27.83 s / 311.41 tokens per second
3.22.040.605 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   9180, progress = 0.55, t =  29.56 s / 310.55 tokens per second
3.23.773.377 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =   9692, progress = 0.58, t =  31.29 s / 309.72 tokens per second
3.25.512.238 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  10204, progress = 0.61, t =  33.03 s / 308.91 tokens per second
3.27.257.921 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  10716, progress = 0.64, t =  34.78 s / 308.13 tokens per second
3.29.010.258 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  11228, progress = 0.67, t =  36.53 s / 307.37 tokens per second
3.30.766.524 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  11740, progress = 0.70, t =  38.29 s / 306.64 tokens per second
3.32.532.033 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  12252, progress = 0.73, t =  40.05 s / 305.91 tokens per second
3.34.302.497 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  12764, progress = 0.77, t =  41.82 s / 305.20 tokens per second
3.36.076.185 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  13276, progress = 0.80, t =  43.60 s / 304.53 tokens per second
3.37.854.925 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  13788, progress = 0.83, t =  45.37 s / 303.87 tokens per second
3.39.642.793 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  14300, progress = 0.86, t =  47.16 s / 303.21 tokens per second
3.41.438.077 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  14812, progress = 0.89, t =  48.96 s / 302.55 tokens per second
3.43.239.439 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  15324, progress = 0.92, t =  50.76 s / 301.90 tokens per second
3.45.046.351 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  15836, progress = 0.95, t =  52.57 s / 301.26 tokens per second
3.46.857.162 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  16348, progress = 0.98, t =  54.38 s / 300.64 tokens per second
3.47.846.633 I slot print_timing: id  0 | task 1105 | prompt processing, n_tokens =  16543, progress = 0.99, t =  55.37 s / 298.79 tokens per second
